fold,selected_structure,category,precision,recall,f1,support
0,e003__kmeans_k40,19S proteasome,0.0,0.0,0.0,3
0,e003__kmeans_k40,20S proteasome,0.0,0.0,0.0,3
0,e003__kmeans_k40,40S ribosome,0.0,0.0,0.0,6
0,e003__kmeans_k40,60S ribosome,0.0,0.0,0.0,8
0,e003__kmeans_k40,ER,0.0,0.0,0.0,49
0,e003__kmeans_k40,ER 2,0.0,0.0,0.0,3
0,e003__kmeans_k40,Golgi,0.0,0.0,0.0,31
0,e003__kmeans_k40,IMC,0.0,0.0,0.0,19
0,e003__kmeans_k40,PM - integral,0.0,0.0,0.0,27
0,e003__kmeans_k40,PM - peripheral 1,1.0,0.3,0.46153846153846156,10
0,e003__kmeans_k40,PM - peripheral 2,0.0,0.0,0.0,8
0,e003__kmeans_k40,apical 1,0.0,0.0,0.0,12
0,e003__kmeans_k40,apical 2,0.0,0.0,0.0,4
0,e003__kmeans_k40,apicoplast,0.0,0.0,0.0,33
0,e003__kmeans_k40,cytosol,0.0,0.0,0.0,120
0,e003__kmeans_k40,dense granules,0.6428571428571429,0.46153846153846156,0.5373134328358209,39
0,e003__kmeans_k40,endomembrane vesicles,0.0,0.0,0.0,7
0,e003__kmeans_k40,micronemes,0.0,0.0,0.0,11
0,e003__kmeans_k40,mitochondrion - membranes,0.0,0.0,0.0,39
0,e003__kmeans_k40,mitochondrion - soluble,0.0,0.0,0.0,54
0,e003__kmeans_k40,nucleolus,0.0,0.0,0.0,6
0,e003__kmeans_k40,nucleus - chromatin,0.625,0.19480519480519481,0.297029702970297,154
0,e003__kmeans_k40,nucleus - non-chromatin,0.0,0.0,0.0,93
0,e003__kmeans_k40,rhoptries 1,0.0,0.0,0.0,15
0,e003__kmeans_k40,rhoptries 2,0.0,0.0,0.0,10
0,e003__kmeans_k40,tubulin cytoskeleton,0.0,0.0,0.0,2
1,e003__kmeans_k40,19S proteasome,0.0,0.0,0.0,4
1,e003__kmeans_k40,20S proteasome,0.0,0.0,0.0,3
1,e003__kmeans_k40,40S ribosome,0.0,0.0,0.0,5
1,e003__kmeans_k40,60S ribosome,0.0,0.0,0.0,8
1,e003__kmeans_k40,ER,0.0,0.0,0.0,49
1,e003__kmeans_k40,ER 2,0.0,0.0,0.0,3
1,e003__kmeans_k40,Golgi,0.0,0.0,0.0,31
1,e003__kmeans_k40,IMC,0.0,0.0,0.0,19
1,e003__kmeans_k40,PM - integral,0.0,0.0,0.0,27
1,e003__kmeans_k40,PM - peripheral 1,1.0,0.3,0.46153846153846156,10
1,e003__kmeans_k40,PM - peripheral 2,0.0,0.0,0.0,9
1,e003__kmeans_k40,apical 1,0.0,0.0,0.0,12
1,e003__kmeans_k40,apical 2,0.0,0.0,0.0,4
1,e003__kmeans_k40,apicoplast,0.0,0.0,0.0,33
1,e003__kmeans_k40,cytosol,0.0,0.0,0.0,120
1,e003__kmeans_k40,dense granules,0.7058823529411765,0.3076923076923077,0.42857142857142855,39
1,e003__kmeans_k40,endomembrane vesicles,0.0,0.0,0.0,6
1,e003__kmeans_k40,micronemes,0.0,0.0,0.0,11
1,e003__kmeans_k40,mitochondrion - membranes,0.0,0.0,0.0,39
