label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
G1b,2,22,22,0.14193548387096774,1.0,0.24858757062146894,expression_summary+expression_raw,median,rank,15,0.25,60,cellcycle_phase
S,0,96,94,0.3081967213114754,0.9791666666666666,0.4688279301745636,expression_summary+expression_raw,median,rank,50,0.0,25,cellcycle_phase
C,0,88,85,0.2786885245901639,0.9659090909090909,0.43256997455470736,expression_summary+expression_raw,median,rank,50,0.0,25,cellcycle_phase
M,0,82,77,0.25245901639344265,0.9390243902439024,0.39793281653746776,expression_summary+expression_raw,median,rank,50,0.0,25,cellcycle_phase
G1b,0,32,32,0.10491803278688525,1.0,0.18991097922848665,expression_summary+expression_raw,median,rank,50,0.0,25,cellcycle_phase
G1a,0,18,17,0.05573770491803279,0.9444444444444444,0.10526315789473684,expression_summary+expression_raw,median,rank,50,0.0,25,cellcycle_phase
S,0,96,94,0.3081967213114754,0.9791666666666666,0.4688279301745636,expression_summary+expression_raw,median,rank,50,0.0,60,cellcycle_phase
C,0,88,85,0.2786885245901639,0.9659090909090909,0.43256997455470736,expression_summary+expression_raw,median,rank,50,0.0,60,cellcycle_phase
M,0,82,77,0.25245901639344265,0.9390243902439024,0.39793281653746776,expression_summary+expression_raw,median,rank,50,0.0,60,cellcycle_phase
G1b,0,32,32,0.10491803278688525,1.0,0.18991097922848665,expression_summary+expression_raw,median,rank,50,0.0,60,cellcycle_phase
G1a,0,18,17,0.05573770491803279,0.9444444444444444,0.10526315789473684,expression_summary+expression_raw,median,rank,50,0.0,60,cellcycle_phase
S,0,94,93,0.30392156862745096,0.9893617021276596,0.46499999999999997,expression_summary+expression_raw,median,rank,50,0.25,25,cellcycle_phase
C,0,86,86,0.28104575163398693,1.0,0.4387755102040817,expression_summary+expression_raw,median,rank,50,0.25,25,cellcycle_phase
M,0,79,78,0.2549019607843137,0.9873417721518988,0.4051948051948052,expression_summary+expression_raw,median,rank,50,0.25,25,cellcycle_phase
G1b,0,32,32,0.10457516339869281,1.0,0.1893491124260355,expression_summary+expression_raw,median,rank,50,0.25,25,cellcycle_phase
G1a,0,17,17,0.05555555555555555,1.0,0.10526315789473684,expression_summary+expression_raw,median,rank,50,0.25,25,cellcycle_phase
S,2,73,59,0.33714285714285713,0.8082191780821918,0.47580645161290325,expression_summary+expression_raw,median,rank,50,0.25,60,cellcycle_phase
C,2,66,52,0.29714285714285715,0.7878787878787878,0.4315352697095436,expression_summary+expression_raw,median,rank,50,0.25,60,cellcycle_phase
M,3,57,21,0.44680851063829785,0.3684210526315789,0.40384615384615385,expression_summary+expression_raw,median,rank,50,0.25,60,cellcycle_phase
G1b,2,24,24,0.13714285714285715,1.0,0.24120603015075376,expression_summary+expression_raw,median,rank,50,0.25,60,cellcycle_phase
S,0,96,95,0.30158730158730157,0.9895833333333334,0.4622871046228711,expression_summary+fitness_screens,median,rank,15,0.0,25,cellcycle_phase
C,0,88,88,0.27936507936507937,1.0,0.4367245657568239,expression_summary+fitness_screens,median,rank,15,0.0,25,cellcycle_phase
M,0,82,82,0.26031746031746034,1.0,0.4130982367758187,expression_summary+fitness_screens,median,rank,15,0.0,25,cellcycle_phase
G1b,0,32,32,0.10158730158730159,1.0,0.1844380403458213,expression_summary+fitness_screens,median,rank,15,0.0,25,cellcycle_phase
G1a,0,18,18,0.05714285714285714,1.0,0.1081081081081081,expression_summary+fitness_screens,median,rank,15,0.0,25,cellcycle_phase
M,3,43,30,0.25,0.6976744186046512,0.36809815950920244,expression_summary+fitness_screens,median,rank,15,0.0,60,cellcycle_phase
S,3,54,32,0.26666666666666666,0.5925925925925926,0.36781609195402304,expression_summary+fitness_screens,median,rank,15,0.0,60,cellcycle_phase
C,3,50,37,0.30833333333333335,0.74,0.43529411764705883,expression_summary+fitness_screens,median,rank,15,0.0,60,cellcycle_phase
G1b,3,19,13,0.10833333333333334,0.6842105263157895,0.18705035971223025,expression_summary+fitness_screens,median,rank,15,0.0,60,cellcycle_phase
S,0,96,95,0.30158730158730157,0.9895833333333334,0.4622871046228711,expression_summary+fitness_screens,median,rank,15,0.25,25,cellcycle_phase
C,0,88,88,0.27936507936507937,1.0,0.4367245657568239,expression_summary+fitness_screens,median,rank,15,0.25,25,cellcycle_phase
M,0,82,82,0.26031746031746034,1.0,0.4130982367758187,expression_summary+fitness_screens,median,rank,15,0.25,25,cellcycle_phase
G1b,0,32,32,0.10158730158730159,1.0,0.1844380403458213,expression_summary+fitness_screens,median,rank,15,0.25,25,cellcycle_phase
G1a,0,18,18,0.05714285714285714,1.0,0.1081081081081081,expression_summary+fitness_screens,median,rank,15,0.25,25,cellcycle_phase
S,0,34,28,0.2916666666666667,0.8235294117647058,0.4307692307692308,expression_summary+fitness_screens,median,rank,15,0.25,60,cellcycle_phase
M,0,32,29,0.3020833333333333,0.90625,0.453125,expression_summary+fitness_screens,median,rank,15,0.25,60,cellcycle_phase
C,0,28,23,0.23958333333333334,0.8214285714285714,0.3709677419354839,expression_summary+fitness_screens,median,rank,15,0.25,60,cellcycle_phase
C,11,49,11,0.5,0.22448979591836735,0.30985915492957744,expression_summary+fitness_screens,median,rank,50,0.0,25,cellcycle_phase
S,8,49,20,0.45454545454545453,0.40816326530612246,0.4301075268817204,expression_summary+fitness_screens,median,rank,50,0.0,25,cellcycle_phase
M,0,38,8,0.4444444444444444,0.21052631578947367,0.2857142857142857,expression_summary+fitness_screens,median,rank,50,0.0,25,cellcycle_phase
C,0,75,71,0.2874493927125506,0.9466666666666667,0.4409937888198758,expression_summary+fitness_screens,median,rank,50,0.0,60,cellcycle_phase
M,0,68,62,0.25101214574898784,0.9117647058823529,0.3936507936507936,expression_summary+fitness_screens,median,rank,50,0.0,60,cellcycle_phase
S,0,73,72,0.291497975708502,0.9863013698630136,0.44999999999999996,expression_summary+fitness_screens,median,rank,50,0.0,60,cellcycle_phase
G1b,0,29,29,0.11740890688259109,1.0,0.2101449275362319,expression_summary+fitness_screens,median,rank,50,0.0,60,cellcycle_phase
C,2,57,51,0.2849162011173184,0.8947368421052632,0.43220338983050843,expression_summary+fitness_screens,median,rank,50,0.25,25,cellcycle_phase
S,2,60,56,0.3128491620111732,0.9333333333333333,0.46861924686192474,expression_summary+fitness_screens,median,rank,50,0.25,25,cellcycle_phase
M,2,46,38,0.2122905027932961,0.8260869565217391,0.33777777777777773,expression_summary+fitness_screens,median,rank,50,0.25,25,cellcycle_phase
G1b,2,23,23,0.12849162011173185,1.0,0.22772277227722773,expression_summary+fitness_screens,median,rank,50,0.25,25,cellcycle_phase
M,1,37,34,0.2251655629139073,0.918918918918919,0.3617021276595745,expression_summary+fitness_screens,median,rank,50,0.25,60,cellcycle_phase
S,1,51,50,0.33112582781456956,0.9803921568627451,0.4950495049504951,expression_summary+fitness_screens,median,rank,50,0.25,60,cellcycle_phase
C,1,41,40,0.26490066225165565,0.975609756097561,0.4166666666666667,expression_summary+fitness_screens,median,rank,50,0.25,60,cellcycle_phase
G1b,1,20,20,0.13245033112582782,1.0,0.23391812865497078,expression_summary+fitness_screens,median,rank,50,0.25,60,cellcycle_phase
S,0,96,96,0.3037974683544304,1.0,0.46601941747572817,expression_summary+published_screens,median,rank,15,0.0,25,cellcycle_phase
C,0,88,88,0.27848101265822783,1.0,0.43564356435643564,expression_summary+published_screens,median,rank,15,0.0,25,cellcycle_phase
M,0,82,82,0.25949367088607594,1.0,0.41206030150753764,expression_summary+published_screens,median,rank,15,0.0,25,cellcycle_phase
G1b,0,32,32,0.10126582278481013,1.0,0.18390804597701146,expression_summary+published_screens,median,rank,15,0.0,25,cellcycle_phase
G1a,0,18,18,0.056962025316455694,1.0,0.10778443113772454,expression_summary+published_screens,median,rank,15,0.0,25,cellcycle_phase
S,2,67,14,0.5,0.208955223880597,0.2947368421052632,expression_summary+published_screens,median,rank,15,0.0,60,cellcycle_phase
M,1,68,27,0.3,0.39705882352941174,0.34177215189873417,expression_summary+published_screens,median,rank,15,0.0,60,cellcycle_phase
C,1,66,38,0.4222222222222222,0.5757575757575758,0.4871794871794872,expression_summary+published_screens,median,rank,15,0.0,60,cellcycle_phase
G1b,1,21,11,0.12222222222222222,0.5238095238095238,0.19819819819819817,expression_summary+published_screens,median,rank,15,0.0,60,cellcycle_phase
S,0,96,96,0.3037974683544304,1.0,0.46601941747572817,expression_summary+published_screens,median,rank,15,0.25,25,cellcycle_phase
C,0,88,88,0.27848101265822783,1.0,0.43564356435643564,expression_summary+published_screens,median,rank,15,0.25,25,cellcycle_phase
M,0,82,82,0.25949367088607594,1.0,0.41206030150753764,expression_summary+published_screens,median,rank,15,0.25,25,cellcycle_phase
G1b,0,32,32,0.10126582278481013,1.0,0.18390804597701146,expression_summary+published_screens,median,rank,15,0.25,25,cellcycle_phase
G1a,0,18,18,0.056962025316455694,1.0,0.10778443113772454,expression_summary+published_screens,median,rank,15,0.25,25,cellcycle_phase
M,1,53,28,0.27450980392156865,0.5283018867924528,0.3612903225806452,expression_summary+published_screens,median,rank,15,0.25,60,cellcycle_phase
S,2,61,22,0.39285714285714285,0.36065573770491804,0.37606837606837606,expression_summary+published_screens,median,rank,15,0.25,60,cellcycle_phase
C,1,54,36,0.35294117647058826,0.6666666666666666,0.46153846153846156,expression_summary+published_screens,median,rank,15,0.25,60,cellcycle_phase
G1b,1,17,12,0.11764705882352941,0.7058823529411765,0.20168067226890757,expression_summary+published_screens,median,rank,15,0.25,60,cellcycle_phase
S,2,73,15,0.5555555555555556,0.2054794520547945,0.3,expression_summary+published_screens,median,rank,50,0.0,25,cellcycle_phase
C,3,68,43,0.3208955223880597,0.6323529411764706,0.42574257425742573,expression_summary+published_screens,median,rank,50,0.0,25,cellcycle_phase
M,3,75,33,0.2462686567164179,0.44,0.3157894736842105,expression_summary+published_screens,median,rank,50,0.0,25,cellcycle_phase
G1b,3,27,20,0.14925373134328357,0.7407407407407407,0.24844720496894407,expression_summary+published_screens,median,rank,50,0.0,25,cellcycle_phase
S,3,76,23,0.34328358208955223,0.3026315789473684,0.3216783216783216,expression_summary+published_screens,median,rank,50,0.0,60,cellcycle_phase
C,2,67,41,0.3203125,0.6119402985074627,0.42051282051282046,expression_summary+published_screens,median,rank,50,0.0,60,cellcycle_phase
M,3,69,23,0.34328358208955223,0.3333333333333333,0.338235294117647,expression_summary+published_screens,median,rank,50,0.0,60,cellcycle_phase
G1b,2,28,20,0.15625,0.7142857142857143,0.25641025641025644,expression_summary+published_screens,median,rank,50,0.0,60,cellcycle_phase
M,14,49,8,0.42105263157894735,0.16326530612244897,0.2352941176470588,expression_summary+published_screens,median,rank,50,0.25,25,cellcycle_phase
S,3,47,11,0.5789473684210527,0.23404255319148937,0.3333333333333333,expression_summary+published_screens,median,rank,50,0.25,25,cellcycle_phase
C,10,51,12,0.5,0.23529411764705882,0.31999999999999995,expression_summary+published_screens,median,rank,50,0.25,25,cellcycle_phase
M,3,38,18,0.2857142857142857,0.47368421052631576,0.3564356435643564,expression_summary+published_screens,median,rank,50,0.25,60,cellcycle_phase
S,2,43,10,0.5882352941176471,0.23255813953488372,0.3333333333333333,expression_summary+published_screens,median,rank,50,0.25,60,cellcycle_phase
C,3,50,30,0.47619047619047616,0.6,0.5309734513274337,expression_summary+published_screens,median,rank,50,0.25,60,cellcycle_phase
S,0,91,24,0.46153846153846156,0.26373626373626374,0.3356643356643356,expression_summary+protein_features,median,rank,15,0.0,25,cellcycle_phase
C,0,82,14,0.2692307692307692,0.17073170731707318,0.20895522388059704,expression_summary+protein_features,median,rank,15,0.0,25,cellcycle_phase
M,2,79,25,0.4166666666666667,0.31645569620253167,0.35971223021582743,expression_summary+protein_features,median,rank,15,0.0,25,cellcycle_phase
G1b,9,31,8,0.32,0.25806451612903225,0.2857142857142857,expression_summary+protein_features,median,rank,15,0.0,25,cellcycle_phase
G1a,5,16,2,0.2222222222222222,0.125,0.16,expression_summary+protein_features,median,rank,15,0.0,25,cellcycle_phase
S,1,96,33,0.4520547945205479,0.34375,0.3905325443786982,expression_summary+protein_features,median,rank,15,0.0,60,cellcycle_phase
C,0,88,52,0.3561643835616438,0.5909090909090909,0.4444444444444445,expression_summary+protein_features,median,rank,15,0.0,60,cellcycle_phase
M,2,82,25,0.4166666666666667,0.3048780487804878,0.35211267605633806,expression_summary+protein_features,median,rank,15,0.0,60,cellcycle_phase
G1b,0,32,20,0.136986301369863,0.625,0.2247191011235955,expression_summary+protein_features,median,rank,15,0.0,60,cellcycle_phase
G1a,0,18,10,0.0684931506849315,0.5555555555555556,0.1219512195121951,expression_summary+protein_features,median,rank,15,0.0,60,cellcycle_phase
S,0,95,33,0.4520547945205479,0.3473684210526316,0.3928571428571429,expression_summary+protein_features,median,rank,15,0.25,25,cellcycle_phase
C,5,83,48,0.37209302325581395,0.5783132530120482,0.4528301886792453,expression_summary+protein_features,median,rank,15,0.25,25,cellcycle_phase
M,2,80,25,0.423728813559322,0.3125,0.35971223021582727,expression_summary+protein_features,median,rank,15,0.25,25,cellcycle_phase
G1b,5,32,19,0.14728682170542637,0.59375,0.2360248447204969,expression_summary+protein_features,median,rank,15,0.25,25,cellcycle_phase
G1a,5,16,9,0.06976744186046512,0.5625,0.12413793103448276,expression_summary+protein_features,median,rank,15,0.25,25,cellcycle_phase
S,1,89,33,0.4583333333333333,0.3707865168539326,0.4099378881987578,expression_summary+protein_features,median,rank,15,0.25,60,cellcycle_phase
C,0,79,51,0.3669064748201439,0.6455696202531646,0.4678899082568807,expression_summary+protein_features,median,rank,15,0.25,60,cellcycle_phase
M,2,78,24,0.47058823529411764,0.3076923076923077,0.372093023255814,expression_summary+protein_features,median,rank,15,0.25,60,cellcycle_phase
G1b,0,32,20,0.14388489208633093,0.625,0.23391812865497075,expression_summary+protein_features,median,rank,15,0.25,60,cellcycle_phase
G1a,0,17,10,0.07194244604316546,0.5882352941176471,0.1282051282051282,expression_summary+protein_features,median,rank,15,0.25,60,cellcycle_phase
S,1,96,33,0.4520547945205479,0.34375,0.3905325443786982,expression_summary+protein_features,median,rank,50,0.0,25,cellcycle_phase
C,0,87,52,0.3561643835616438,0.5977011494252874,0.44635193133047213,expression_summary+protein_features,median,rank,50,0.0,25,cellcycle_phase
M,2,81,25,0.4098360655737705,0.30864197530864196,0.352112676056338,expression_summary+protein_features,median,rank,50,0.0,25,cellcycle_phase
G1b,0,32,20,0.136986301369863,0.625,0.2247191011235955,expression_summary+protein_features,median,rank,50,0.0,25,cellcycle_phase
G1a,0,18,10,0.0684931506849315,0.5555555555555556,0.1219512195121951,expression_summary+protein_features,median,rank,50,0.0,25,cellcycle_phase
S,1,96,33,0.4520547945205479,0.34375,0.3905325443786982,expression_summary+protein_features,median,rank,50,0.0,60,cellcycle_phase
C,0,88,52,0.3561643835616438,0.5909090909090909,0.4444444444444445,expression_summary+protein_features,median,rank,50,0.0,60,cellcycle_phase
