target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,expression_summary+interactions,median,rank,50,0.0,60,42,3000,8,4,0.0,0.4175824211519853,0.6600780234070222,unassigned,18,1
compartment,expression_raw+fitness_screens,median,rank,15,0.0,60,42,3000,26,2,0.134,0.41519921201578275,0.6783198539003391,unassigned,17,1
compartment,expression_summary+expression_raw,median,rank,50,0.25,25,42,3000,22,2,0.019,0.413713580104395,0.6793807493829932,unassigned,17,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,42,3000,24,3,0.0033333333333333335,0.4094365264245035,0.6696329254727476,unassigned,18,1
compartment,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,38,3,0.08866666666666667,0.4071669535740869,0.6666666666666666,unassigned,18,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,24,4,0.12666666666666668,0.4065354197162878,0.655012853470437,unassigned,16,1
compartment,expression_summary+expression_raw+fitness_screens,median,rank,15,0.25,25,42,3000,30,2,0.07366666666666667,0.40475126988609234,0.6666666666666666,unassigned,17,1
compartment,expression_summary+expression_raw,median,rank,50,0.0,60,42,3000,22,2,0.0,0.4001118574492867,0.650472334682861,unassigned,18,1
compartment,expression_summary+expression_raw,median,rank,50,0.0,25,42,3000,22,3,0.0006666666666666666,0.4001010996485585,0.6507650765076507,unassigned,18,1
compartment,expression_raw,median,rank,15,0.0,60,42,3000,18,2,0.0,0.3978208595551356,0.6459038591740014,unassigned,18,1
compartment,expression_raw,median,rank,50,0.0,60,42,3000,18,2,0.0,0.3978208595551356,0.6459038591740014,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,20,2,0.0,0.39777004024232204,0.6458616010854817,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,15,0.0,60,42,3000,20,2,0.0,0.39777004024232204,0.6458616010854817,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,15,0.0,25,42,3000,20,2,0.0,0.39777004024232204,0.6458616010854817,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,15,0.25,60,42,3000,20,2,0.0,0.39777004024232204,0.6458616010854817,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,50,0.0,25,42,3000,20,2,0.0,0.39775153122242995,0.6458474768047069,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,50,0.0,60,42,3000,20,2,0.0,0.39775153122242995,0.6458474768047069,unassigned,18,1
compartment,expression_raw,median,rank,50,0.0,25,42,3000,18,3,0.005,0.39774087411965475,0.6480978260869564,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,50,0.25,25,42,3000,20,2,0.0,0.3976319914334957,0.6456871179533619,unassigned,18,1
compartment,fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,20,2,0.0,0.3976319914334957,0.6456871179533619,unassigned,18,1
compartment,published_screens,median,rank,50,0.0,25,42,3000,12,2,0.0,0.3963183665245249,0.6430034129692833,unassigned,18,1
compartment,published_screens,median,rank,50,0.0,60,42,3000,12,2,0.0,0.3963183665245249,0.6430034129692833,unassigned,18,1
compartment,published_screens,median,rank,15,0.0,25,42,3000,12,2,0.0,0.39629744655986965,0.6428895956383461,unassigned,18,1
compartment,published_screens,median,rank,15,0.0,60,42,3000,12,2,0.0,0.39629744655986965,0.6428895956383461,unassigned,18,1
compartment,published_screens,median,rank,15,0.25,25,42,3000,12,2,0.0,0.39621818900008815,0.6427435839200545,unassigned,18,1
compartment,published_screens,median,rank,15,0.25,60,42,3000,12,2,0.0,0.39621818900008815,0.6427435839200545,unassigned,18,1
compartment,published_screens,median,rank,50,0.25,25,42,3000,12,2,0.0,0.3961630159723095,0.6426945835229859,unassigned,18,1
compartment,published_screens,median,rank,50,0.25,60,42,3000,12,2,0.0,0.3961630159723095,0.6426945835229859,unassigned,18,1
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.25,25,42,3000,26,7,0.09833333333333333,0.3953113473096745,0.6134453781512605,unassigned,17,1
compartment,expression_raw,median,rank,50,0.25,25,42,3000,18,3,0.021333333333333333,0.393438300121197,0.6466927863563033,unassigned,18,1
compartment,fitness_screens,median,rank,15,0.25,60,42,3000,8,2,0.0,0.3912362558151575,0.6328071379547013,unassigned,18,1
compartment,fitness_screens,median,rank,15,0.0,60,42,3000,8,2,0.0,0.3912362558151575,0.6328071379547013,unassigned,18,1
compartment,fitness_screens,median,rank,15,0.0,25,42,3000,8,2,0.0,0.3912362558151575,0.6328071379547013,unassigned,18,1
compartment,fitness_screens,median,rank,15,0.25,25,42,3000,8,2,0.0,0.3912362558151575,0.6328071379547013,unassigned,18,1
compartment,fitness_screens,median,rank,50,0.0,60,42,3000,8,2,0.0,0.3909227612675042,0.6321812771801327,unassigned,18,1
compartment,fitness_screens,median,rank,50,0.0,25,42,3000,8,2,0.0,0.3909227612675042,0.6321812771801327,unassigned,18,1
compartment,fitness_screens,median,rank,50,0.25,25,42,3000,8,2,0.0,0.3909227612675042,0.6321812771801327,unassigned,18,1
compartment,fitness_screens,median,rank,50,0.25,60,42,3000,8,2,0.0,0.3909227612675042,0.6321812771801327,unassigned,18,1
compartment,expression_raw,median,rank,15,0.0,25,42,3000,18,4,0.0,0.3902864792297573,0.6309061858023283,unassigned,18,1
compartment,expression_summary+fitness_screens,median,rank,50,0.0,60,42,3000,12,2,0.166,0.3899673506609114,0.6414364640883979,unassigned,16,1
compartment,expression_summary,median,rank,15,0.0,25,42,3000,4,5,0.0,0.3879024041671246,0.6195856873822976,unassigned,18,1
compartment,expression_raw,median,rank,15,0.25,25,42,3000,18,4,0.029666666666666668,0.38757728408976083,0.6309103740296401,unassigned,17,1
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,60,42,3000,30,2,0.22233333333333333,0.38705371642722336,0.6274278987639788,unassigned,14,1
compartment,expression_summary+fitness_screens+protein_features,median,rank,15,0.25,60,42,3000,25,4,0.294,0.38690002240475335,0.5544468546637744,unassigned,12,1
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.0,25,42,3000,26,6,0.0,0.38456996018205364,0.5909090909090909,unassigned,18,1
compartment,expression_raw+published_screens+interactions,median,rank,15,0.0,25,42,3000,34,11,0.11566666666666667,0.38219911023784364,0.562937062937063,unassigned,15,1
compartment,expression_summary+expression_raw+fitness_screens,median,rank,15,0.25,60,42,3000,30,2,0.4116666666666667,0.3817594275584568,0.6183953033268101,unassigned,13,1
compartment,expression_summary+expression_raw+published_screens,median,rank,50,0.25,60,42,3000,34,2,0.196,0.3802019597128399,0.6287663445139283,unassigned,15,1
compartment,expression_summary+fitness_screens+protein_features,median,rank,50,0.25,60,42,3000,25,3,0.356,0.37902685762194954,0.5324027916251245,unassigned,12,1
compartment,expression_summary,median,rank,15,0.0,60,42,3000,4,3,0.045,0.37900094028120507,0.6208086785009862,unassigned,18,1
compartment,fitness_screens+interactions,median,rank,50,0.0,25,42,3000,12,15,0.21466666666666667,0.3776071938058428,0.5499021526418786,unassigned,15,1
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.25,60,42,3000,16,7,0.44133333333333336,0.3754716278646867,0.5233100233100234,unassigned,12,1
compartment,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,60,42,3000,39,3,0.21866666666666668,0.3747580726974867,0.5406237966884867,unassigned,13,1
compartment,expression_raw,median,rank,15,0.25,60,42,3000,18,2,0.07466666666666667,0.3741935909181187,0.6250619118375433,unassigned,17,1
compartment,expression_raw,median,rank,50,0.25,60,42,3000,18,2,0.07733333333333334,0.37286794450292976,0.6222000995520159,unassigned,18,1
compartment,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,25,42,3000,39,6,0.16466666666666666,0.37256313421077586,0.5256931608133086,unassigned,15,1
compartment,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,60,42,3000,39,3,0.218,0.3724382321930718,0.5337495122902848,unassigned,14,1
compartment,expression_raw+published_screens+protein_features,median,rank,15,0.25,25,42,3000,43,9,0.197,0.36990078525435877,0.5324869305451829,unassigned,14,1
compartment,expression_summary,median,rank,50,0.0,60,42,3000,4,2,0.06133333333333333,0.36944368818246154,0.6134122287968442,unassigned,18,1
compartment,published_screens+protein_features+interactions,median,rank,50,0.0,25,42,3000,29,13,0.059666666666666666,0.36513239352974325,0.5668623613829092,unassigned,18,1
compartment,fitness_screens+published_screens+interactions,median,rank,50,0.25,60,42,3000,24,4,0.33266666666666667,0.3645713508294209,0.5358649789029535,unassigned,14,1
compartment,protein_features+interactions,median,rank,50,0.25,60,42,3000,17,2,0.0,0.36269642482210057,0.5703054127608104,unassigned,18,1
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.25,25,42,3000,16,8,0.33466666666666667,0.36244629640164877,0.5304304799604156,unassigned,13,1
compartment,expression_raw+published_screens+interactions,median,rank,50,0.25,60,42,3000,34,5,0.154,0.361356748859052,0.5345016429353778,unassigned,15,1
compartment,fitness_screens+published_screens+interactions,median,rank,50,0.25,25,42,3000,24,13,0.4093333333333333,0.36127411822583777,0.4821548821548822,unassigned,12,0
compartment,expression_summary+fitness_screens+protein_features,median,rank,50,0.25,25,42,3000,25,8,0.2856666666666667,0.36059771289047976,0.5066666666666666,unassigned,13,1
compartment,expression_summary+published_screens+interactions,median,rank,50,0.25,25,42,3000,20,5,0.086,0.3604922730327855,0.5282363162467419,unassigned,15,1
compartment,expression_raw+fitness_screens+interactions,median,rank,50,0.25,60,42,3000,30,6,0.178,0.3604776830311025,0.5154103230597846,unassigned,15,1
compartment,expression_summary+published_screens+interactions,median,rank,50,0.0,60,42,3000,20,5,0.024666666666666667,0.36045844819235684,0.5332792207792207,unassigned,16,1
compartment,fitness_screens+protein_features+interactions,median,rank,15,0.0,25,42,3000,25,19,0.15533333333333332,0.3603609456331472,0.508044856167723,unassigned,16,1
compartment,expression_summary+fitness_screens+protein_features,median,rank,50,0.0,25,42,3000,25,7,0.06133333333333333,0.35992157516699497,0.5245901639344263,unassigned,17,1
compartment,expression_raw+published_screens+interactions,median,rank,15,0.25,25,42,3000,34,6,0.09766666666666667,0.35966901393228745,0.5239786856127886,unassigned,15,1
compartment,expression_raw+fitness_screens+interactions,median,rank,15,0.25,60,42,3000,30,6,0.15066666666666667,0.3594692422639235,0.5228185469149325,unassigned,16,1
compartment,expression_raw+protein_features,median,rank,15,0.25,25,42,3000,31,13,0.13666666666666666,0.3590182121539361,0.5501509560550151,unassigned,17,1
compartment,expression_summary,median,rank,50,0.25,60,42,3000,4,3,0.16366666666666665,0.3588088673561875,0.5982092893116955,unassigned,15,1
compartment,expression_summary+fitness_screens+protein_features,median,rank,50,0.0,60,42,3000,25,4,0.075,0.3579790748482952,0.5118082481494536,unassigned,17,1
compartment,fitness_screens+protein_features,median,rank,15,0.0,25,42,3000,21,16,0.10266666666666667,0.3574274629300371,0.5409047160731474,unassigned,16,1
compartment,expression_summary+published_screens+interactions,median,rank,50,0.25,60,42,3000,20,5,0.18966666666666668,0.3567129007416801,0.5263157894736841,unassigned,14,1
compartment,published_screens+protein_features+interactions,median,rank,15,0.0,60,42,3000,29,5,0.0,0.3562764591468087,0.5461441213653604,unassigned,18,1
compartment,expression_summary+published_screens+interactions,median,rank,50,0.0,25,42,3000,20,5,0.015333333333333332,0.35595911821173176,0.5316045380875203,unassigned,17,1
compartment,expression_raw+published_screens+interactions,median,rank,50,0.0,25,42,3000,34,5,0.012,0.3553799679089271,0.5276767676767676,unassigned,17,1
compartment,expression_raw+published_screens+interactions,median,rank,50,0.0,60,42,3000,34,4,0.001,0.35535193158852546,0.5274636510500808,unassigned,18,1
compartment,expression_raw+protein_features+interactions,median,rank,15,0.25,60,42,3000,35,3,0.025666666666666667,0.35513152594325237,0.5546597871654304,unassigned,18,1
compartment,expression_raw+published_screens+protein_features,median,rank,50,0.25,60,42,3000,43,2,0.013666666666666667,0.35467148541264243,0.5522580645161291,unassigned,17,1
compartment,expression_raw+published_screens+protein_features,median,rank,15,0.0,60,42,3000,43,2,0.0,0.35430250134620844,0.556362488159141,unassigned,18,1
compartment,expression_raw+published_screens+protein_features,median,rank,15,0.0,25,42,3000,43,2,0.0,0.35430250134620844,0.556362488159141,unassigned,18,1
compartment,expression_raw+protein_features+interactions,median,rank,15,0.25,25,42,3000,35,4,0.0036666666666666666,0.35377087039549404,0.5501269035532996,unassigned,18,1
compartment,expression_summary+protein_features+interactions,median,rank,15,0.0,25,42,3000,21,15,0.073,0.3536110192072178,0.51395657953035,unassigned,16,1
compartment,expression_summary+fitness_screens,median,rank,50,0.25,25,42,3000,12,5,0.3433333333333333,0.3534002815802662,0.5366403607666291,unassigned,13,1
compartment,expression_summary+fitness_screens+protein_features,median,rank,15,0.0,60,42,3000,25,4,0.023,0.3533046765610793,0.5028648466464443,unassigned,17,1
compartment,expression_summary+published_screens,median,rank,50,0.25,60,42,3000,16,6,0.537,0.3532356222789619,0.5446224256292906,unassigned,12,1
compartment,expression_raw+fitness_screens+interactions,median,rank,50,0.25,25,42,3000,30,6,0.118,0.353204604672872,0.5106232294617564,unassigned,16,1
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.25,60,42,3000,26,6,0.203,0.3529679146836807,0.5157182650218862,unassigned,16,1
compartment,expression_raw+published_screens+protein_features,median,rank,50,0.25,25,42,3000,43,2,0.017333333333333333,0.35289632916021274,0.5502920181700195,unassigned,17,1
compartment,expression_summary+protein_features+interactions,median,rank,15,0.25,60,42,3000,21,3,0.007333333333333333,0.3527347510193258,0.5510914267636823,unassigned,18,1
compartment,expression_raw+published_screens+interactions,median,rank,50,0.25,25,42,3000,34,5,0.07766666666666666,0.3526384949232978,0.5172866520787747,unassigned,16,1
compartment,expression_summary+protein_features,median,rank,50,0.0,25,42,3000,17,4,0.007333333333333333,0.35258996076896637,0.5205479452054794,unassigned,18,1
compartment,expression_raw+published_screens+interactions,median,rank,15,0.25,60,42,3000,34,5,0.106,0.35248261719210333,0.5256140350877193,unassigned,16,1
compartment,expression_summary+protein_features,median,rank,15,0.25,60,42,3000,17,4,0.06166666666666667,0.3523386809811738,0.5254299304793266,unassigned,17,1
compartment,expression_summary,median,rank,15,0.25,60,42,3000,4,2,0.21833333333333332,0.3515182000704186,0.6007172743574417,unassigned,16,1
compartment,expression_summary+protein_features+interactions,median,rank,50,0.0,25,42,3000,21,6,0.0033333333333333335,0.35146230788269855,0.5238668271159247,unassigned,18,1
compartment,expression_raw+published_screens+protein_features,median,rank,15,0.25,60,42,3000,43,2,0.02033333333333333,0.35145384601790297,0.5497228562112814,unassigned,17,1
compartment,expression_summary+protein_features+interactions,median,rank,15,0.25,25,42,3000,21,3,0.0,0.35119740009842837,0.5505050505050505,unassigned,18,1
