target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,60,42,3000,39,3,0.21866666666666668,1,attention_depth,0.2899914029431472,0.362144420131291,incidental,3,0
attention_depth,expression_summary+fitness_screens+protein_features,median,rank,50,0.25,60,42,3000,25,3,0.356,1,attention_depth,0.2897630760433067,0.35520684736091296,incidental,3,0
attention_depth,fitness_screens+protein_features,median,rank,15,0.0,25,42,3000,21,16,0.10266666666666667,1,attention_depth,0.28968559638029967,0.36589698046181174,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,50,0.25,60,42,3000,34,2,0.196,1,attention_depth,0.28966182377245575,0.37060478199718705,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,50,0.25,25,42,3000,12,5,0.3433333333333333,1,attention_depth,0.28949669215150703,0.36818851251840945,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,15,0.25,25,42,3000,34,14,0.36533333333333334,1,attention_depth,0.2891225840925021,0.3369458128078818,incidental,3,0
attention_depth,expression_summary+expression_raw+interactions,median,rank,50,0.25,60,42,3000,26,6,0.203,1,attention_depth,0.2886136412306633,0.34501947690595436,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,50,0.25,60,42,3000,20,5,0.18966666666666668,1,attention_depth,0.28835748263104255,0.3422459893048128,incidental,3,0
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,24,4,0.12666666666666668,1,attention_depth,0.2879660161650596,0.3678536426004574,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,50,0.25,60,42,3000,12,2,0.47633333333333333,1,attention_depth,0.28792166381298884,0.3708894878706199,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,15,0.0,25,42,3000,22,5,0.007333333333333333,1,attention_depth,0.28768885469932787,0.3656884875846501,incidental,3,0
attention_depth,expression_summary+fitness_screens+interactions,median,rank,50,0.0,25,42,3000,16,9,0.13966666666666666,1,attention_depth,0.2876681480159408,0.3378598587724064,incidental,3,0
attention_depth,expression_summary,median,rank,50,0.25,60,42,3000,4,3,0.16366666666666665,1,attention_depth,0.2876180704138603,0.36764199655765917,incidental,3,0
attention_depth,protein_features+interactions,median,rank,50,0.25,25,42,3000,17,12,0.03766666666666667,1,attention_depth,0.28743113250989805,0.34723670490093844,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,15,0.25,25,42,3000,22,6,0.139,1,attention_depth,0.28706355919255605,0.3654749006861683,incidental,3,0
attention_depth,expression_summary+fitness_screens+interactions,median,rank,15,0.0,25,42,3000,16,4,0.008333333333333333,1,attention_depth,0.2866160030340044,0.33904761904761904,incidental,3,0
attention_depth,expression_summary+fitness_screens+interactions,median,rank,50,0.0,60,42,3000,16,6,0.187,1,attention_depth,0.2865246151634218,0.3367164179104477,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,20,2,0.0,1,attention_depth,0.28652152478419374,0.36657993639780284,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.25,25,42,3000,20,2,0.0,1,attention_depth,0.28652152478419374,0.36657993639780284,incidental,3,0
attention_depth,expression_summary+expression_raw+interactions,median,rank,15,0.25,60,42,3000,26,7,0.16333333333333333,1,attention_depth,0.2864624962511938,0.3454038997214485,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.0,25,42,3000,20,2,0.0,1,attention_depth,0.28635321463060304,0.36636810170470957,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.0,60,42,3000,20,2,0.0,1,attention_depth,0.28635321463060304,0.36636810170470957,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.0,60,42,3000,4,3,0.045,1,attention_depth,0.2861683629653639,0.3589424572317263,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.0,60,42,3000,20,2,0.0,1,attention_depth,0.2861011207377145,0.36605080831408776,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,20,2,0.0,1,attention_depth,0.2861011207377145,0.36605080831408776,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.0,25,42,3000,20,2,0.0,1,attention_depth,0.2861011207377145,0.36605080831408776,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.25,60,42,3000,20,2,0.0,1,attention_depth,0.2861011207377145,0.36605080831408776,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,50,0.0,60,42,3000,12,2,0.166,1,attention_depth,0.2860885165142105,0.36767256330211584,incidental,3,0
attention_depth,expression_summary+expression_raw+protein_features,median,rank,50,0.25,60,42,3000,35,4,0.15533333333333332,1,attention_depth,0.285800611580115,0.3616093068347067,incidental,3,0
attention_depth,published_screens,median,rank,15,0.25,60,42,3000,12,2,0.0,1,attention_depth,0.28578898041671813,0.3657474600870827,incidental,3,0
attention_depth,published_screens,median,rank,15,0.25,25,42,3000,12,2,0.0,1,attention_depth,0.28578898041671813,0.3657474600870827,incidental,3,0
attention_depth,published_screens,median,rank,15,0.0,25,42,3000,12,2,0.0,1,attention_depth,0.28575128112308495,0.3658536585365854,incidental,3,0
attention_depth,published_screens,median,rank,15,0.0,60,42,3000,12,2,0.0,1,attention_depth,0.28575128112308495,0.3658536585365854,incidental,3,0
attention_depth,expression_raw+protein_features+interactions,median,rank,15,0.0,60,42,3000,35,8,0.051,1,attention_depth,0.28561134389483644,0.34597875569044,incidental,3,0
attention_depth,expression_summary,median,rank,50,0.0,60,42,3000,4,2,0.06133333333333333,1,attention_depth,0.2855039135660268,0.3656509695290859,incidental,3,0
attention_depth,published_screens,median,rank,50,0.25,25,42,3000,12,2,0.0,1,attention_depth,0.2854057019986847,0.36554132712456344,incidental,3,0
attention_depth,published_screens,median,rank,50,0.25,60,42,3000,12,2,0.0,1,attention_depth,0.2854057019986847,0.36554132712456344,incidental,3,0
attention_depth,published_screens,median,rank,50,0.0,25,42,3000,12,2,0.0,1,attention_depth,0.2853212920705742,0.3654349723596159,incidental,3,0
attention_depth,published_screens,median,rank,50,0.0,60,42,3000,12,2,0.0,1,attention_depth,0.2853212920705742,0.3654349723596159,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,50,0.25,25,42,3000,20,5,0.086,1,attention_depth,0.28522434311782763,0.33709016393442626,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.25,60,42,3000,4,2,0.21833333333333332,1,attention_depth,0.2851034977329624,0.36416394631846205,incidental,3,0
attention_depth,expression_summary+protein_features+interactions,median,rank,15,0.0,60,42,3000,21,6,0.0,1,attention_depth,0.28510119169288184,0.3419999999999999,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,50,0.0,60,42,3000,20,5,0.024666666666666667,1,attention_depth,0.2849211920002759,0.33754863813229574,incidental,3,0
attention_depth,fitness_screens,median,rank,15,0.25,60,42,3000,8,2,0.0,1,attention_depth,0.28491207243545236,0.36390272487547615,incidental,3,0
attention_depth,fitness_screens,median,rank,15,0.0,60,42,3000,8,2,0.0,1,attention_depth,0.28491207243545236,0.36390272487547615,incidental,3,0
attention_depth,fitness_screens,median,rank,15,0.0,25,42,3000,8,2,0.0,1,attention_depth,0.28491207243545236,0.36390272487547615,incidental,3,0
attention_depth,fitness_screens,median,rank,15,0.25,25,42,3000,8,2,0.0,1,attention_depth,0.28491207243545236,0.36390272487547615,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,15,0.25,60,42,3000,20,5,0.189,1,attention_depth,0.2848162842642472,0.3348264277715566,incidental,3,0
attention_depth,expression_summary+fitness_screens+interactions,median,rank,50,0.25,60,42,3000,16,7,0.44133333333333336,1,attention_depth,0.28473734385129484,0.32387312186978295,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.0,25,42,3000,4,5,0.0,1,attention_depth,0.28442348540515516,0.35562310030395133,incidental,3,0
attention_depth,fitness_screens,median,rank,50,0.25,25,42,3000,8,2,0.0,1,attention_depth,0.28425548921205096,0.3629434183523893,incidental,3,0
attention_depth,fitness_screens,median,rank,50,0.0,25,42,3000,8,2,0.0,1,attention_depth,0.28425548921205096,0.3629434183523893,incidental,3,0
attention_depth,fitness_screens,median,rank,50,0.25,60,42,3000,8,2,0.0,1,attention_depth,0.28425548921205096,0.3629434183523893,incidental,3,0
attention_depth,fitness_screens,median,rank,50,0.0,60,42,3000,8,2,0.0,1,attention_depth,0.28425548921205096,0.3629434183523893,incidental,3,0
attention_depth,expression_raw+fitness_screens+protein_features,median,rank,15,0.0,60,42,3000,39,3,0.029666666666666668,1,attention_depth,0.2842078581623661,0.36012296881862105,incidental,3,0
attention_depth,expression_summary+fitness_screens+protein_features,median,rank,15,0.0,25,42,3000,25,8,0.057,1,attention_depth,0.2841835172643305,0.3577661431064572,incidental,3,0
attention_depth,expression_summary+expression_raw+protein_features,median,rank,15,0.25,25,42,3000,35,9,0.13766666666666666,1,attention_depth,0.28390460487668506,0.3385714285714286,incidental,3,0
attention_depth,expression_raw+fitness_screens+interactions,median,rank,50,0.25,60,42,3000,30,6,0.178,1,attention_depth,0.2837518718174875,0.33861277990169303,incidental,3,0
attention_depth,expression_summary+fitness_screens+interactions,median,rank,15,0.0,60,42,3000,16,3,0.0003333333333333333,1,attention_depth,0.28373383910388783,0.3384030418250951,incidental,3,0
attention_depth,expression_summary+protein_features+interactions,median,rank,50,0.0,25,42,3000,21,6,0.0033333333333333335,1,attention_depth,0.28366195388638504,0.3408521303258146,incidental,3,0
attention_depth,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,60,42,3000,39,3,0.218,1,attention_depth,0.28328115658087144,0.3542600896860986,incidental,3,0
attention_depth,expression_summary+interactions,median,rank,50,0.25,60,42,3000,8,2,0.0,1,attention_depth,0.2832523685517291,0.3473564525298465,incidental,3,0
attention_depth,expression_raw+protein_features,median,rank,15,0.25,60,42,3000,31,2,0.009,1,attention_depth,0.2831819896737474,0.360297332750328,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,60,42,3000,30,2,0.22233333333333333,1,attention_depth,0.28269034792593295,0.36209439528023596,incidental,3,0
attention_depth,fitness_screens+protein_features,median,rank,15,0.0,60,42,3000,21,4,0.01,1,attention_depth,0.28257567070038025,0.35701906412478335,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,50,0.0,25,42,3000,20,5,0.015333333333333332,1,attention_depth,0.28246816139938374,0.33557692307692305,incidental,3,0
attention_depth,expression_summary+expression_raw+interactions,median,rank,50,0.0,60,42,3000,26,7,0.084,1,attention_depth,0.2823292813480951,0.3220055710306407,incidental,3,0
attention_depth,expression_raw+fitness_screens+protein_features,median,rank,15,0.0,25,42,3000,39,5,0.015,1,attention_depth,0.2818088954136518,0.3587051618547682,incidental,3,0
