fold,selected_structure,n_train,n_test,macro_f1,macro_precision,macro_recall,coverage,covered_accuracy
0,e007__hdb_mcs30_ms0_eom,698,175,0.13408349641226353,0.2625,0.09033362209216336,0.24571428571428572,0.4883720930232558
1,e002__kmeans_k40,698,175,0.1479908231368187,0.35496137849079024,0.09546366920915296,0.21142857142857144,0.6216216216216216
2,e008__kmeans_k40,698,175,0.17335497835497835,0.32842592592592595,0.12148576982399797,0.32,0.5178571428571429
3,e007__kmeans_k40,699,174,0.19085972850678734,0.30986842105263157,0.14129409351927807,0.3620689655172414,0.5555555555555556
4,e008__kmeans_k40,699,174,0.13461081402257874,0.29140350877192983,0.0924645390070922,0.2413793103448276,0.5476190476190477
