gene_id,proposed,cluster,cluster_training_support,cluster_training_probability,evidence_status,nested_cv_precision,nested_cv_recall,nested_cv_f1
TGME49_285870,C,28,34,0.6938775510204082,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_249780,C,28,34,0.6938775510204082,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_222840,C,28,34,0.6938775510204082,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_224110,C,32,14,0.7,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_213030,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_279380,C,28,34,0.6938775510204082,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_213069,M,11,50,0.704225352112676,inferred_from_held_out_structure,0.6200464396284829,0.2310823311748381,0.33623501498501496
TGME49_208450,M,11,50,0.704225352112676,inferred_from_held_out_structure,0.6200464396284829,0.2310823311748381,0.33623501498501496
TGME49_251540,M,11,50,0.704225352112676,inferred_from_held_out_structure,0.6200464396284829,0.2310823311748381,0.33623501498501496
TGME49_247460,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_318430,C,28,34,0.6938775510204082,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_283510,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_309760,M,11,50,0.704225352112676,inferred_from_held_out_structure,0.6200464396284829,0.2310823311748381,0.33623501498501496
TGME49_290700,M,11,50,0.704225352112676,inferred_from_held_out_structure,0.6200464396284829,0.2310823311748381,0.33623501498501496
TGME49_208790,C,28,34,0.6938775510204082,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_271970,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
