fold,selected_structure,n_train,n_test,macro_f1,macro_precision,macro_recall,coverage,covered_accuracy
0,e011__hdb_mcs20_ms10_leaf,3061,766,0.03642620820040175,0.07456973173884938,0.02572011322011322,0.07571801566579635,0.5517241379310345
1,e005__hdb_mcs20_ms10_leaf,3061,766,0.04931469629271827,0.10061989292758523,0.032901713670944445,0.08224543080939947,0.5714285714285714
2,e001__hdb_mcs20_ms10_leaf,3062,765,0.04674935201250991,0.09027777777777778,0.03199957936800042,0.07712418300653595,0.6779661016949152
3,e005__hdb_mcs20_ms10_leaf,3062,765,0.04709904040068258,0.0879120879120879,0.03336137546663863,0.05620915032679739,0.6511627906976745
4,e005__hdb_mcs20_ms10_leaf,3062,765,0.04849014492862107,0.11435915131567305,0.03558852535096879,0.08888888888888889,0.5588235294117647
