gene_id	gene_name
TGGT1_203620	N/A
TGGT1_203630	N/A
TGGT1_203665	N/A
TGGT1_203682	N/A
TGGT1_203685	N/A
TGGT1_203688	N/A
TGGT1_203690	N/A
TGGT1_203700	N/A
TGGT1_203705	N/A
TGGT1_203710	N/A
TGGT1_203720	N/A
TGGT1_203730	N/A
TGGT1_203735	N/A
TGGT1_203740	N/A
TGGT1_203750	N/A
TGGT1_203760	N/A
TGGT1_203770	N/A
TGGT1_203780	N/A
TGGT1_203790	N/A
TGGT1_203800	N/A
TGGT1_203810	N/A
TGGT1_203820	N/A
TGGT1_203830	N/A
TGGT1_203840	N/A
TGGT1_203860	N/A
TGGT1_203870	N/A
TGGT1_203875	N/A
TGGT1_203880	N/A
TGGT1_203890	N/A
TGGT1_203900	N/A
TGGT1_203910	N/A
TGGT1_203930	N/A
TGGT1_203940	N/A
TGGT1_203950	N/A
TGGT1_203960	N/A
TGGT1_203970	N/A
TGGT1_203980	N/A
TGGT1_203985	N/A
TGGT1_203990	N/A
TGGT1_204000	N/A
TGGT1_204010	N/A
TGGT1_204020	N/A
TGGT1_204040	N/A
TGGT1_204045	N/A
TGGT1_204050	N/A
TGGT1_204055	N/A
TGGT1_204060	N/A
TGGT1_204070	N/A
TGGT1_204080	N/A
TGGT1_204090	N/A
TGGT1_204100	N/A
TGGT1_204110	N/A
TGGT1_204120	N/A
TGGT1_204130	N/A
TGGT1_204140	N/A
TGGT1_204150	N/A
TGGT1_204160	N/A
TGGT1_204270	N/A
TGGT1_204280	N/A
TGGT1_204290	N/A
TGGT1_204300	N/A
TGGT1_204310	N/A
TGGT1_204315	N/A
TGGT1_204320	N/A
TGGT1_204325	N/A
TGGT1_204330	N/A
TGGT1_204340	N/A
TGGT1_204350	N/A
TGGT1_204360	N/A
TGGT1_204370	N/A
TGGT1_204380	N/A
TGGT1_204390	N/A
TGGT1_204395	N/A
TGGT1_204400	N/A
TGGT1_204410	N/A
TGGT1_204420	N/A
TGGT1_204440	N/A
TGGT1_204460	N/A
TGGT1_204468	N/A
TGGT1_204472	N/A
TGGT1_204480	N/A
TGGT1_204490	N/A
TGGT1_204500	N/A
TGGT1_204505	N/A
TGGT1_204510	N/A
TGGT1_204520	N/A
TGGT1_204530	N/A
TGGT1_204540	N/A
TGGT1_204550	N/A
TGGT1_204560	N/A
TGGT1_204870	N/A
TGGT1_204880	N/A
TGGT1_205000	N/A
TGGT1_205010	N/A
TGGT1_205020	N/A
TGGT1_205030	N/A
TGGT1_205040	N/A
TGGT1_205050	N/A
TGGT1_205060	N/A
TGGT1_205070	N/A
TGGT1_205080	N/A
TGGT1_205090	N/A
TGGT1_205100	N/A
TGGT1_205110	N/A
TGGT1_205120	N/A
TGGT1_205130	N/A
TGGT1_205140	N/A
TGGT1_205150	N/A
TGGT1_205160	N/A
TGGT1_205170	N/A
TGGT1_205180	N/A
TGGT1_205190	N/A
TGGT1_205200	N/A
TGGT1_205210	N/A
TGGT1_205220	N/A
TGGT1_205230	N/A
TGGT1_205240	N/A
TGGT1_205250	N/A
TGGT1_205265	N/A
TGGT1_205280	N/A
TGGT1_205290	N/A
TGGT1_205300	N/A
TGGT1_205320	N/A
TGGT1_205330	N/A
TGGT1_205340	N/A
TGGT1_205350	N/A
TGGT1_205360	N/A
TGGT1_205370	N/A
TGGT1_205380	N/A
TGGT1_205390	N/A
TGGT1_205398	N/A
TGGT1_205402	N/A
TGGT1_205410	N/A
TGGT1_205420	N/A
TGGT1_205425	N/A
TGGT1_205430	N/A
TGGT1_205440	N/A
TGGT1_205450	N/A
TGGT1_205460	N/A
TGGT1_205470	N/A
TGGT1_205480	N/A
TGGT1_205490	N/A
TGGT1_205500	N/A
TGGT1_205510	N/A
TGGT1_205520	N/A
TGGT1_205540	N/A
TGGT1_205550	N/A
TGGT1_205558	N/A
TGGT1_205562	N/A
TGGT1_205570	N/A
TGGT1_205580	N/A
TGGT1_205590	N/A
TGGT1_205600	N/A
TGGT1_205615	N/A
TGGT1_205625	N/A
TGGT1_205630	N/A
TGGT1_205640	N/A
TGGT1_205650	N/A
TGGT1_205658	N/A
TGGT1_205662	N/A
TGGT1_205670	N/A
TGGT1_205680	N/A
TGGT1_205690	N/A
TGGT1_205700	N/A
TGGT1_205710	N/A
TGGT1_205720	N/A
TGGT1_205730	N/A
TGGT1_205740	N/A
TGGT1_205750	N/A
TGGT1_205760	N/A
TGGT1_206290	N/A
TGGT1_206300	N/A
TGGT1_206310	N/A
TGGT1_206320	N/A
TGGT1_206330	N/A
TGGT1_206340	N/A
TGGT1_206350	N/A
TGGT1_206360	N/A
TGGT1_206380	N/A
TGGT1_206390	N/A
TGGT1_206400	N/A
TGGT1_206415	N/A
TGGT1_206430	N/A
TGGT1_206440	N/A
TGGT1_206450	N/A
TGGT1_206460	N/A
TGGT1_206470	N/A
TGGT1_206480	N/A
TGGT1_206490	N/A
TGGT1_206500	N/A
TGGT1_206510	N/A
TGGT1_206520	N/A
TGGT1_206540	N/A
TGGT1_206550	N/A
TGGT1_206560	N/A
TGGT1_206570	N/A
TGGT1_206580	N/A
TGGT1_206590	N/A
TGGT1_206600	N/A
TGGT1_206610	N/A
TGGT1_206620	N/A
TGGT1_206630	N/A
TGGT1_206640	N/A
TGGT1_206650	N/A
TGGT1_206660	N/A
TGGT1_206670	N/A
TGGT1_206680	N/A
TGGT1_206690	N/A
TGGT1_206695	N/A
TGGT1_206700	N/A
TGGT1_206710	N/A
TGGT1_206910	N/A
TGGT1_207005	N/A
TGGT1_207010	N/A
TGGT1_207015	N/A
TGGT1_207020	N/A
TGGT1_207030	N/A
TGGT1_207040	N/A
TGGT1_207050	N/A
TGGT1_207060	N/A
TGGT1_207070	N/A
TGGT1_207080	N/A
TGGT1_207100	N/A
TGGT1_207110	N/A
TGGT1_207120	N/A
TGGT1_207130	SAG2Y
TGGT1_207140	SAG2X
TGGT1_207150	SAG2D
TGGT1_207160	SAG2C
TGGT1_207170	N/A
TGGT1_207180	N/A
TGGT1_207200	N/A
TGGT1_207210	N/A
TGGT1_207230	N/A
TGGT1_207240	N/A
TGGT1_207250	N/A
TGGT1_207350	N/A
TGGT1_207360	N/A
TGGT1_207370	N/A
TGGT1_207390	N/A
TGGT1_207400	N/A
TGGT1_207407	N/A
TGGT1_207410	N/A
TGGT1_207420	N/A
TGGT1_207430	N/A
TGGT1_207440	N/A
TGGT1_207450	N/A
TGGT1_207460A	N/A
TGGT1_207460B	N/A
TGGT1_207470	N/A
TGGT1_207480	N/A
TGGT1_207590	N/A
TGGT1_207600	N/A
TGGT1_207610	N/A
TGGT1_207620	N/A
TGGT1_207630	N/A
TGGT1_207640	N/A
TGGT1_207650	N/A
TGGT1_207665	N/A
TGGT1_207680	N/A
TGGT1_207690	N/A
TGGT1_207700	N/A
TGGT1_207710	N/A
TGGT1_207720	N/A
TGGT1_207730	N/A
TGGT1_207740	N/A
TGGT1_207750	N/A
TGGT1_207760	N/A
TGGT1_207770	N/A
TGGT1_207780	N/A
TGGT1_207790	N/A
TGGT1_207800	N/A
TGGT1_207820	N/A
TGGT1_207830	N/A
TGGT1_207840	N/A
TGGT1_207865	N/A
TGGT1_207875	N/A
TGGT1_207880	N/A
TGGT1_207900	N/A
TGGT1_207910	N/A
TGGT1_207920	N/A
TGGT1_207930	N/A
TGGT1_207940	N/A
TGGT1_207950	N/A
TGGT1_207955	N/A
TGGT1_207960	N/A
TGGT1_207965	N/A
TGGT1_207970	N/A
TGGT1_207980	N/A
TGGT1_207990	N/A
TGGT1_208010	N/A
TGGT1_208020	N/A
TGGT1_208030	N/A
TGGT1_208040	N/A
TGGT1_208050	N/A
TGGT1_208070	N/A
TGGT1_208080	N/A
TGGT1_208090	N/A
TGGT1_208200	N/A
TGGT1_208300	N/A
TGGT1_208310	N/A
TGGT1_208320	N/A
TGGT1_208330	N/A
TGGT1_208340	N/A
TGGT1_208350	N/A
TGGT1_208360	N/A
TGGT1_208370	N/A
TGGT1_208380	N/A
TGGT1_208390	N/A
TGGT1_208400A	N/A
TGGT1_208400B	N/A
TGGT1_208410	N/A
TGGT1_208420	N/A
TGGT1_208430	N/A
TGGT1_208440	N/A
TGGT1_208450	N/A
TGGT1_208490	N/A
TGGT1_208500	N/A
TGGT1_208510	N/A
TGGT1_208530	N/A
TGGT1_208540	N/A
TGGT1_208550	N/A
TGGT1_208560	N/A
TGGT1_208570	N/A
TGGT1_208580	N/A
TGGT1_208590	N/A
TGGT1_208710	N/A
TGGT1_208718	N/A
TGGT1_208722	N/A
TGGT1_208730	N/A
TGGT1_208740	N/A
TGGT1_208750	N/A
TGGT1_208760	N/A
TGGT1_208770	N/A
TGGT1_208780	N/A
TGGT1_208790	N/A
TGGT1_208800	N/A
TGGT1_208810	N/A
TGGT1_208820	N/A
TGGT1_208830	N/A
TGGT1_208842	N/A
TGGT1_208850	N/A
TGGT1_208910	N/A
TGGT1_208970	N/A
TGGT1_208980	N/A
TGGT1_208990	N/A
TGGT1_209000	N/A
TGGT1_209010	N/A
TGGT1_209020	N/A
TGGT1_209030	N/A
TGGT1_209040	N/A
TGGT1_209045	N/A
TGGT1_209050	N/A
TGGT1_209060	N/A
TGGT1_209070	N/A
TGGT1_209080	N/A
TGGT1_209090	N/A
TGGT1_209095	N/A
TGGT1_209100	N/A
TGGT1_209108	N/A
TGGT1_209120	N/A
TGGT1_209130	N/A
TGGT1_209140	N/A
TGGT1_209150	N/A
TGGT1_209160	N/A
TGGT1_209170	N/A
TGGT1_209180	N/A
TGGT1_209190	N/A
TGGT1_209200	N/A
TGGT1_209210	N/A
TGGT1_209240	N/A
TGGT1_209250	N/A
TGGT1_209260	N/A
TGGT1_209270	N/A
TGGT1_209280	N/A
TGGT1_209290	N/A
TGGT1_209300	N/A
TGGT1_209410	N/A
TGGT1_209420	N/A
TGGT1_209430	N/A
TGGT1_209440	N/A
TGGT1_209450	N/A
TGGT1_209460	N/A
TGGT1_209470	N/A
TGGT1_209480	N/A
TGGT1_209485	N/A
TGGT1_209490	N/A
TGGT1_209500	N/A
TGGT1_209510	N/A
TGGT1_209515	N/A
TGGT1_209520	N/A
TGGT1_209530	N/A
TGGT1_209540	N/A
TGGT1_209550	N/A
TGGT1_209560	N/A
TGGT1_209570	N/A
TGGT1_209580	N/A
TGGT1_209583	N/A
TGGT1_209585	N/A
TGGT1_209590	N/A
TGGT1_209600	N/A
TGGT1_209610	N/A
TGGT1_209620	N/A
TGGT1_209630	N/A
TGGT1_209640	N/A
TGGT1_209650A	N/A
TGGT1_209650B	N/A
TGGT1_209670	N/A
TGGT1_209680	N/A
TGGT1_209690	N/A
TGGT1_209700	N/A
TGGT1_209705	N/A
TGGT1_209710	N/A
TGGT1_209720	N/A
TGGT1_209730	N/A
TGGT1_209740	N/A
TGGT1_209755A	N/A
TGGT1_209755B	N/A
TGGT1_209770	N/A
TGGT1_209790	N/A
TGGT1_209800	N/A
TGGT1_209810	N/A
TGGT1_209820	N/A
TGGT1_209830	N/A
TGGT1_209850	N/A
TGGT1_209860	N/A
TGGT1_209870	N/A
TGGT1_209880	N/A
TGGT1_209890	N/A
TGGT1_209900	N/A
TGGT1_209910	N/A
TGGT1_209920A	N/A
TGGT1_209920B	N/A
TGGT1_209930	N/A
TGGT1_209940	N/A
TGGT1_209945	N/A
TGGT1_209950	N/A
TGGT1_209960	N/A
TGGT1_209970	N/A
TGGT1_209985	N/A
TGGT1_210095	N/A
TGGT1_210210	N/A
TGGT1_210220	N/A
TGGT1_210230	N/A
TGGT1_210235	N/A
TGGT1_210245	N/A
TGGT1_210255	N/A
TGGT1_210260	N/A
TGGT1_210270	N/A
TGGT1_210280	N/A
TGGT1_210300	N/A
TGGT1_210310	N/A
TGGT1_210320	N/A
TGGT1_210330	N/A
TGGT1_210345	N/A
TGGT1_210360	N/A
TGGT1_210370	N/A
TGGT1_210380	N/A
TGGT1_210390	N/A
TGGT1_210400	N/A
TGGT1_210408	N/A
TGGT1_210412	N/A
TGGT1_210420	N/A
TGGT1_210430	N/A
TGGT1_210440	N/A
TGGT1_210450	N/A
TGGT1_210460	N/A
TGGT1_210470	N/A
TGGT1_210478	N/A
TGGT1_210482	N/A
TGGT1_210490	N/A
TGGT1_210682	N/A
TGGT1_210690	N/A
TGGT1_210700	N/A
TGGT1_210715	N/A
TGGT1_210730	N/A
TGGT1_210740	N/A
TGGT1_210750	N/A
TGGT1_210760	N/A
TGGT1_210770	N/A
TGGT1_210778	N/A
TGGT1_210781	N/A
TGGT1_210783	N/A
TGGT1_210787	N/A
TGGT1_210790	N/A
TGGT1_210800	N/A
TGGT1_210810	N/A
TGGT1_210815	N/A
TGGT1_210820	N/A
TGGT1_210830	N/A
TGGT1_210840	N/A
TGGT1_210950	N/A
TGGT1_210960	N/A
TGGT1_210970	N/A
TGGT1_210975	N/A
TGGT1_210980	N/A
TGGT1_210990	N/A
TGGT1_211000	N/A
TGGT1_211010	N/A
TGGT1_211015	N/A
TGGT1_211020	N/A
TGGT1_211030	N/A
TGGT1_211040	N/A
TGGT1_211050	N/A
TGGT1_211060	N/A
TGGT1_211070	N/A
TGGT1_211080	N/A
TGGT1_211090	N/A
TGGT1_211150	N/A
TGGT1_211220	N/A
TGGT1_211230	N/A
TGGT1_211240	N/A
TGGT1_211250	N/A
TGGT1_211260	N/A
TGGT1_211270	N/A
TGGT1_211280	N/A
TGGT1_211290	N/A
TGGT1_211300	N/A
TGGT1_211310	N/A
TGGT1_211320	N/A
TGGT1_211330	N/A
TGGT1_211340	N/A
TGGT1_211350	N/A
TGGT1_211360	N/A
TGGT1_211370	N/A
TGGT1_211380	N/A
TGGT1_211385	N/A
TGGT1_211390	N/A
TGGT1_211400	N/A
TGGT1_211410	N/A
TGGT1_211420	N/A
TGGT1_211430	N/A
TGGT1_211440	N/A
TGGT1_211450	N/A
TGGT1_211460	N/A
TGGT1_211470	N/A
TGGT1_211480	N/A
TGGT1_211600	N/A
TGGT1_211610	N/A
TGGT1_211630	N/A
TGGT1_211640	N/A
TGGT1_211650	N/A
TGGT1_211660	N/A
TGGT1_211670	N/A
TGGT1_211675	N/A
TGGT1_211680	N/A
TGGT1_211690	N/A
TGGT1_211695	N/A
TGGT1_211700	N/A
TGGT1_211710	N/A
TGGT1_211720	N/A
TGGT1_211730	N/A
TGGT1_211850	N/A
TGGT1_211860	N/A
TGGT1_211870	N/A
TGGT1_211880	N/A
TGGT1_211890	N/A
TGGT1_211910	N/A
TGGT1_212030	N/A
TGGT1_212045	N/A
TGGT1_212060	N/A
TGGT1_212075	N/A
TGGT1_212090	N/A
TGGT1_212100	N/A
TGGT1_212110	N/A
TGGT1_212130	N/A
TGGT1_212140	N/A
TGGT1_212145	N/A
TGGT1_212150	N/A
TGGT1_212160	N/A
TGGT1_212170	N/A
TGGT1_212180	N/A
TGGT1_212190	N/A
TGGT1_212200	N/A
TGGT1_212210	N/A
TGGT1_212220	N/A
TGGT1_212240	N/A
TGGT1_212250	N/A
TGGT1_212260	N/A
TGGT1_212270	N/A
TGGT1_212275	N/A
TGGT1_212280	N/A
TGGT1_212290	N/A
TGGT1_212300	N/A
TGGT1_212310	N/A
TGGT1_212410	N/A
TGGT1_212420	N/A
TGGT1_212710	N/A
TGGT1_212725	N/A
TGGT1_212735	N/A
TGGT1_212740	N/A
TGGT1_212760	N/A
TGGT1_212770	N/A
TGGT1_212775	N/A
TGGT1_212780	N/A
TGGT1_212800	N/A
TGGT1_212810	N/A
TGGT1_212820	N/A
TGGT1_212840	N/A
TGGT1_212850	N/A
TGGT1_212860	N/A
TGGT1_212880	N/A
TGGT1_212900	N/A
TGGT1_212910	N/A
TGGT1_212920	N/A
TGGT1_212930	N/A
TGGT1_212937	N/A
TGGT1_212940	N/A
TGGT1_212950	N/A
TGGT1_212955	N/A
TGGT1_212960A	N/A
TGGT1_212960B	N/A
TGGT1_212970	N/A
TGGT1_212980	N/A
TGGT1_212990	N/A
TGGT1_213000	N/A
TGGT1_213010	N/A
TGGT1_213020	N/A
TGGT1_213030	N/A
TGGT1_213040	N/A
TGGT1_213050	N/A
TGGT1_213060	N/A
TGGT1_213065	N/A
TGGT1_213067	N/A
TGGT1_213069	N/A
TGGT1_213072	N/A
TGGT1_213100	N/A
TGGT1_213115	N/A
TGGT1_213240	N/A
TGGT1_213255	N/A
TGGT1_213280	N/A
TGGT1_213290	N/A
TGGT1_213300	N/A
TGGT1_213310	N/A
TGGT1_213325	N/A
TGGT1_213340	N/A
TGGT1_213350	N/A
TGGT1_213360	N/A
TGGT1_213370	N/A
TGGT1_213380	N/A
TGGT1_213388	N/A
TGGT1_213392	N/A
TGGT1_213400	N/A
TGGT1_213410	N/A
TGGT1_213415	N/A
TGGT1_213420	N/A
TGGT1_213430	N/A
TGGT1_213445	N/A
TGGT1_213460	N/A
TGGT1_213480	N/A
TGGT1_213490	N/A
TGGT1_213520	N/A
TGGT1_213530	N/A
TGGT1_213550	N/A
TGGT1_213560	N/A
TGGT1_213570	N/A
TGGT1_213580	N/A
TGGT1_213590	N/A
TGGT1_213600	N/A
TGGT1_213610	N/A
TGGT1_213620	N/A
TGGT1_213635	N/A
TGGT1_213650	N/A
TGGT1_213660	N/A
TGGT1_213670	N/A
TGGT1_213680	N/A
TGGT1_213690	N/A
TGGT1_213700	N/A
TGGT1_213710	N/A
TGGT1_213720	N/A
TGGT1_213730	N/A
TGGT1_213740	N/A
TGGT1_213746	N/A
TGGT1_213748	N/A
TGGT1_213752	N/A
TGGT1_213760	N/A
TGGT1_213770	N/A
TGGT1_213780	N/A
TGGT1_213790	N/A
TGGT1_213800	N/A
TGGT1_213810	N/A
TGGT1_213820	N/A
TGGT1_213830	N/A
TGGT1_213840	N/A
TGGT1_213850	N/A
TGGT1_213860	N/A
TGGT1_213870	N/A
TGGT1_213880	N/A
TGGT1_213885	N/A
TGGT1_213890	N/A
TGGT1_213900	N/A
TGGT1_213910	N/A
TGGT1_213920	N/A
TGGT1_213930	N/A
TGGT1_213940	N/A
TGGT1_213950	N/A
TGGT1_213960	N/A
TGGT1_213970	N/A
TGGT1_214070	N/A
TGGT1_214080	N/A
TGGT1_214090	N/A
TGGT1_214100	N/A
TGGT1_214110	N/A
TGGT1_214115	N/A
TGGT1_214120	N/A
TGGT1_214130	N/A
TGGT1_214140	N/A
TGGT1_214150	N/A
TGGT1_214160	N/A
TGGT1_214170	N/A
TGGT1_214180	N/A
TGGT1_214190	N/A
TGGT1_214200	N/A
TGGT1_214210	N/A
TGGT1_214220	N/A
TGGT1_214230	N/A
TGGT1_214240	N/A
TGGT1_214250	N/A
TGGT1_214260	N/A
TGGT1_214270	N/A
TGGT1_214280	N/A
TGGT1_214290	N/A
TGGT1_214295	N/A
TGGT1_214300	N/A
TGGT1_214310	N/A
TGGT1_214320	N/A
TGGT1_214330	N/A
TGGT1_214340	N/A
TGGT1_214350	N/A
TGGT1_214370	N/A
TGGT1_214380	N/A
TGGT1_214385	N/A
TGGT1_214390	N/A
TGGT1_214400	N/A
TGGT1_214420	N/A
TGGT1_214430	N/A
TGGT1_214440	N/A
TGGT1_214470	N/A
TGGT1_214480	N/A
TGGT1_214490	N/A
TGGT1_214500	N/A
TGGT1_214510	N/A
TGGT1_214520	N/A
TGGT1_214530	N/A
TGGT1_214540	N/A
TGGT1_214545	N/A
TGGT1_214550	N/A
TGGT1_214560	N/A
TGGT1_214570	N/A
TGGT1_214575	N/A
TGGT1_214580	N/A
TGGT1_214590	N/A
TGGT1_214600	N/A
TGGT1_214610	N/A
TGGT1_214620	N/A
TGGT1_214630	N/A
TGGT1_214740	N/A
TGGT1_214750	N/A
TGGT1_214760	N/A
TGGT1_214770	N/A
TGGT1_214780	N/A
TGGT1_214790	N/A
TGGT1_214800	N/A
TGGT1_214810	N/A
TGGT1_214820	N/A
TGGT1_214830	N/A
TGGT1_214835	N/A
TGGT1_214840	N/A
TGGT1_214850	N/A
TGGT1_214860	N/A
TGGT1_214870	N/A
TGGT1_214880	N/A
TGGT1_214900	N/A
TGGT1_214910	N/A
TGGT1_214920	N/A
TGGT1_214930	N/A
TGGT1_214940	N/A
TGGT1_214950	N/A
TGGT1_214960	N/A
TGGT1_214970	N/A
TGGT1_214980	N/A
TGGT1_214990	N/A
TGGT1_215010	N/A
TGGT1_215020	N/A
TGGT1_215030	N/A
TGGT1_215040	N/A
TGGT1_215050	N/A
TGGT1_215060	N/A
TGGT1_215070	N/A
TGGT1_215080	N/A
TGGT1_215090	N/A
TGGT1_215100	N/A
TGGT1_215130	N/A
TGGT1_215140	N/A
TGGT1_215150	N/A
TGGT1_215160	N/A
TGGT1_215165	N/A
TGGT1_215170	N/A
TGGT1_215180	N/A
TGGT1_215185	N/A
TGGT1_215195	N/A
TGGT1_215210	N/A
TGGT1_215220	N/A
TGGT1_215230	N/A
TGGT1_215250	N/A
TGGT1_215260	N/A
TGGT1_215270	N/A
TGGT1_215280	N/A
TGGT1_215290	N/A
TGGT1_215300	N/A
TGGT1_215320	N/A
TGGT1_215328	N/A
TGGT1_215340	N/A
TGGT1_215343	N/A
TGGT1_215347	N/A
TGGT1_215350	N/A
TGGT1_215360	N/A
TGGT1_215370	N/A
TGGT1_215380	N/A
TGGT1_215385	N/A
TGGT1_215390	N/A
TGGT1_215400	N/A
TGGT1_215410	N/A
TGGT1_215420	N/A
TGGT1_215425	N/A
TGGT1_215430	N/A
TGGT1_215440	N/A
TGGT1_215450	N/A
