Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_212710	N/A	phenylalanine-4-hydroxylase	TGME49_212710
TGME49_212725	N/A	hypothetical protein	TGME49_212725
TGME49_212735	N/A	transporter, major facilitator family protein	TGME49_212735
TGME49_212740	AAH2	aromatic amino acid hydrolase AAH2	TGME49_212740
TGME49_212750	N/A	tRNA-Met	TGME49_212750
TGME49_212760	N/A	hypothetical protein	TGME49_212760
TGME49_212770	IMC34	inner membrane complex protein IMC34	TGME49_212770
TGME49_212775	N/A	hypothetical protein	TGME49_212775
TGME49_212780	N/A	hypothetical protein	TGME49_212780
TGME49_212800	SPC24	kinetochore protein SPC24, putative	TGME49_212800
TGME49_212810	N/A	hypothetical protein	TGME49_212810
TGME49_212820	N/A	ubiquitin family protein	TGME49_212820
TGME49_212830	N/A	expressed protein JLP1	TGME49_212830
TGME49_212840	N/A	HIT zinc finger protein	TGME49_212840
TGME49_212850	N/A	PI31 domain-containing protein	TGME49_212850
TGME49_212860	N/A	hypothetical protein	TGME49_212860
TGME49_212880	CEP250	centrosomal protein CEP250	TGME49_212880
TGME49_212900	N/A	hypothetical protein	TGME49_212900
TGME49_212910	ROM3	rhomboid protease ROM3	TGME49_212910
TGME49_212920	N/A	hypothetical protein	TGME49_212920
TGME49_212930	N/A	NifU family domain-containing protein	TGME49_212930
TGME49_212937	N/A	hypothetical protein	TGME49_212937
TGME49_212940	N/A	condensin-2 complex subunit H2, putative	TGME49_212940
TGME49_212950	N/A	ADP-ribosylation factor family protein 2, putative	TGME49_212950
TGME49_212960	N/A	pre-mRNA-splicing regulator WTAP	TGME49_212960
TGME49_212970	N/A	protein kinase (incomplete catalytic triad)	TGME49_212970
TGME49_212980	N/A	KH domain-containing protein	TGME49_212980
TGME49_212990	N/A	IMC sutures component ISC3 paralog	TGME49_212990
TGME49_213000	N/A	replication factor C, subunit 5, putative	TGME49_213000
TGME49_213010	N/A	hypothetical protein	TGME49_213010
TGME49_213020	N/A	RING zinc finger protein	TGME49_213020
TGME49_213030	N/A	clathrin light chain, putative	TGME49_213030
TGME49_213040	CENPC	centromere protein CENP-C	TGME49_213040
TGME49_213050	N/A	hypothetical protein	TGME49_213050
TGME49_213060	N/A	WD domain, G-beta repeat-containing protein	TGME49_213060
TGME49_213065	N/A	hypothetical protein	TGME49_213065
TGME49_213067	GRA36	dense granule protein GRA36	TGME49_213067
TGME49_213069	ATP11	ATP synthase mitochondrial F1 complex assembly factor 1, putative	TGME49_213069
TGME49_213072	SLY1	protein SLY1	TGME49_213072
TGME49_213100	N/A	hypothetical protein	TGME49_213100
TGME49_213115	N/A	hypothetical protein	TGME49_213115
TGME49_213240	N/A	hypothetical protein	TGME49_213240
TGME49_213255	N/A	hypothetical protein	TGME49_213255
TGME49_213280	SRS25	SAG-related sequence SRS25	TGME49_213280
TGME49_213290	N/A	hypothetical protein	TGME49_213290
TGME49_213300	N/A	hypothetical protein	TGME49_213300
TGME49_213310	N/A	hypothetical protein	TGME49_213310
TGME49_213325	TBC18	TBC domain-containing protein TBC18	TGME49_213325
TGME49_213340	N/A	GMC oxidoreductase	TGME49_213340
TGME49_213350	RPS15	ribosomal protein RPS15	TGME49_213350
TGME49_213360	N/A	leucine rich repeat-containing protein	TGME49_213360
TGME49_213370	FRM3	formin FRM3	TGME49_213370
TGME49_213380	N/A	hypothetical protein	TGME49_213380
TGME49_213388	N/A	hypothetical protein	TGME49_213388
TGME49_213392	N/A	surface antigen repeat-containing protein	TGME49_213392
TGME49_213400	N/A	zinc finger (CCCH type) motif-containing protein	TGME49_213400
TGME49_213410	N/A	small nuclear ribonucleoprotein f (snrnp-f), putative	TGME49_213410
TGME49_213415	N/A	hypothetical protein	TGME49_213415
TGME49_213420	N/A	RAP domain-containing protein	TGME49_213420
TGME49_213460	N/A	hypothetical protein	TGME49_213460
TGME49_213480	N/A	hypothetical protein	TGME49_213480
TGME49_213490	N/A	hypothetical protein	TGME49_213490
TGME49_213500	N/A	tRNA-Ile	TGME49_213500
TGME49_213510	N/A	tRNA-Tyr	TGME49_213510
TGME49_213520	N/A	peptidase M20D, amidohydrolase	TGME49_213520
TGME49_213530	N/A	hypothetical protein	TGME49_213530
TGME49_213550	DHHC4	palmitoyltransferase DHHC4	TGME49_213550
TGME49_213560	N/A	hypothetical protein	TGME49_213560
TGME49_213570	N/A	hypothetical protein	TGME49_213570
TGME49_213580	RPL41	ribosomal protein L41	TGME49_213580
TGME49_213590	N/A	hypothetical protein	TGME49_213590
TGME49_213600	N/A	hypothetical protein	TGME49_213600
TGME49_213610	N/A	hypothetical protein	TGME49_213610
TGME49_213610	N/A	hypothetical protein	TGME49_213610
TGME49_213620	N/A	ABC1 family protein	TGME49_213620
TGME49_213635	N/A	hypothetical protein	TGME49_213635
TGME49_213650	N/A	ATP-binding domain 1 family protein	TGME49_213650
TGME49_213660	N/A	zinc finger (CCCH type) motif-containing protein	TGME49_213660
TGME49_213670	N/A	MIC60 domain-containing protein	TGME49_213670
TGME49_213680	N/A	MmgE/PrpD family protein	TGME49_213680
TGME49_213690	N/A	E3 ubiquitin-protein ligase RBX1, putative	TGME49_213690
TGME49_213700	N/A	coiled-coil domain-containing protein	TGME49_213700
TGME49_213710	N/A	WD domain, G-beta repeat-containing protein	TGME49_213710
TGME49_213720	N/A	dynein regulatory complex subunit 7, putative	TGME49_213720
TGME49_213730	N/A	lanthionine synthetase C family protein	TGME49_213730
TGME49_213740	N/A	methyltransferase, putative	TGME49_213740
TGME49_213746	N/A	hypothetical protein	TGME49_213746
TGME49_213748	N/A	hypothetical protein	TGME49_213748
TGME49_213752	N/A	herpesviridae ul52/ul70 dna primase	TGME49_213752
TGME49_213760	N/A	hypothetical protein	TGME49_213760
TGME49_213770	N/A	Superkiller viralicidic activity 2 family 2, putative	TGME49_213770
TGME49_213780	N/A	radical SAM domain-containing protein	TGME49_213780
TGME49_213790	N/A	CRAL/TRIO domain-containing protein	TGME49_213790
TGME49_213800	N/A	protein phosphatase 2b regulatory subunit, putative	TGME49_213800
TGME49_213810	ISCA	iron-sulfur cluster protein ISCA	TGME49_213810
TGME49_213820	N/A	hypothetical protein	TGME49_213820
TGME49_213830	UFC1	Ufm1-conjugating enzyme 1	TGME49_213830
TGME49_213840	N/A	choline transporter-like protein, putative	TGME49_213840
TGME49_213850	N/A	MORN repeat-containing protein	TGME49_213850
TGME49_213860	N/A	hypothetical protein	TGME49_213860
TGME49_213870	N/A	UBA/TS-N domain-containing protein	TGME49_213870
TGME49_213880	N/A	hypothetical protein	TGME49_213880
TGME49_213890	N/A	Myb family DNA-binding domain-containing protein	TGME49_213890
TGME49_213900	N/A	regulator of chromosome condensation RCC1	TGME49_213900
TGME49_213910	N/A	hypothetical protein	TGME49_213910
TGME49_213920	N/A	hypothetical protein	TGME49_213920
TGME49_213930	N/A	exosome complex component RRP45, putative	TGME49_213930
TGME49_213940	N/A	CHCH domain-containing protein	TGME49_213940
TGME49_213950	N/A	hypothetical protein	TGME49_213950
TGME49_213970	N/A	ribosomal RNA small subunit methyltransferase B, putative	TGME49_213970
TGME49_214070	N/A	hypothetical protein	TGME49_214070
TGME49_214080	N/A	toxofilin	TGME49_214080
TGME49_214090	N/A	signal peptidase	TGME49_214090
TGME49_214100	N/A	hypothetical protein	TGME49_214100
TGME49_214110	N/A	protein yipf5, putative	TGME49_214110
TGME49_214115	N/A	hypothetical protein	TGME49_214115
TGME49_214120	N/A	hypothetical protein	TGME49_214120
TGME49_214130	N/A	hypothetical protein	TGME49_214130
TGME49_214140	N/A	hypothetical protein	TGME49_214140
TGME49_214150	TIM23	mitochondrial import inner membrane translocase subunit TIM23	TGME49_214150
TGME49_214160	N/A	hypothetical protein	TGME49_214160
TGME49_214170	N/A	hypothetical protein	TGME49_214170
TGME49_214180	EPSL	epsin-like protein EPSL	TGME49_214180
TGME49_214190	SRS46	SAG-related sequence SRS46	TGME49_214190
TGME49_214200	N/A	WD domain, G-beta repeat-containing protein	TGME49_214200
TGME49_214210	N/A	rRNA pseudouridine synthase	TGME49_214210
TGME49_214220	N/A	hypothetical protein	TGME49_214220
TGME49_214230	N/A	Dopey, N-terminal domain-containing protein	TGME49_214230
TGME49_214240	N/A	bromodomain-containing protein	TGME49_214240
TGME49_214250	QCR11	cytochrome b-c1 complex subunit 11	TGME49_214250
TGME49_214260	N/A	alpha-glucan water dikinase 1, putative	TGME49_214260
TGME49_214270	N/A	translation initiation factor IF-2, putative	TGME49_214270
TGME49_214280	N/A	phosphoadenosine phosphosulfate reductase family protein	TGME49_214280
TGME49_214290	N/A	DJ-1 family protein	TGME49_214290
TGME49_214295	N/A	hypothetical protein	TGME49_214295
TGME49_214300	N/A	hypothetical protein	TGME49_214300
TGME49_214310	N/A	hypothetical protein	TGME49_214310
TGME49_214320	GT1	facilitative glucose transporter GT1	TGME49_214320
TGME49_214330	N/A	DnaJ domain-containing protein	TGME49_214330
TGME49_214340	N/A	hypothetical protein	TGME49_214340
TGME49_214350	N/A	GTP-binding protein, putative	TGME49_214350
TGME49_214360	N/A	tRNA-Glu	TGME49_214360
TGME49_214370	N/A	hypothetical protein	TGME49_214370
TGME49_214385	N/A	hypothetical protein	TGME49_214385
TGME49_214400	N/A	hypothetical protein	TGME49_214400
TGME49_214410	N/A	hypothetical protein	TGME49_214410
TGME49_214420	N/A	hypothetical protein	TGME49_214420
TGME49_214430	N/A	hypothetical protein	TGME49_214430
TGME49_214440	N/A	4'-phosphopantetheinyl transferase superfamily protein	TGME49_214440
TGME49_214450	N/A	tRNA-Ile	TGME49_214450
TGME49_214470	ULP1	ubiquitin-like protease ULP1	TGME49_214470
TGME49_214480	N/A	replication factor a protein 3 protein	TGME49_214480
TGME49_214490	N/A	peptidase M16 inactive domain-containing protein	TGME49_214490
TGME49_214500	N/A	ankyrin repeat-containing protein	TGME49_214500
TGME49_214510	N/A	hypothetical protein	TGME49_214510
TGME49_214520	GTF2H4	general transcription factor IIH polypeptide 4 GTF2H4	TGME49_214520
TGME49_214530	N/A	DnaJ domain-containing protein	TGME49_214530
TGME49_214540	N/A	hypothetical protein	TGME49_214540
TGME49_214560	N/A	hypothetical protein	TGME49_214560
TGME49_214570	N/A	hypothetical protein	TGME49_214570
TGME49_214575	N/A	hypothetical protein	TGME49_214575
TGME49_214580	N/A	tetratricopeptide repeat-containing protein	TGME49_214580
TGME49_214590	N/A	micro-fibrillar-associated protein 1	TGME49_214590
TGME49_214600	N/A	hypothetical protein	TGME49_214600
TGME49_214610	TRS85	trafficking protein particle complex subunit TRS85	TGME49_214610
TGME49_214620	PHYb	prolyl hydroxylase PHYb	TGME49_214620
TGME49_214630	N/A	hypothetical protein	TGME49_214630
TGME49_214740	N/A	hypothetical protein	TGME49_214740
TGME49_214750	N/A	hypothetical protein	TGME49_214750
TGME49_214760	N/A	erythronate-4-phosphate dehydrogenase domain-containing protein	TGME49_214760
TGME49_214770	RAB1B	ras-related protein RAB1B	TGME49_214770
TGME49_214780	N/A	hydrolase, NUDIX family protein	TGME49_214780
TGME49_214783	N/A	hypothetical protein	TGME49_214783
TGME49_214787	N/A	hypothetical protein	TGME49_214787
TGME49_214790	N/A	glycoprotein	TGME49_214790
TGME49_214800	N/A	hypothetical protein	TGME49_214800
TGME49_214810	N/A	PRA1 family protein, putative	TGME49_214810
TGME49_214820	N/A	DNA repair protein DRE	TGME49_214820
TGME49_214830	N/A	exportin-T, putative	TGME49_214830
TGME49_214835	N/A	hypothetical protein	TGME49_214835
TGME49_214840	AP2X7	AP2 domain transcription factor AP2X-7	TGME49_214840
TGME49_214850	N/A	1-deoxy-D-xylulose 5-phosphate reductoisomerase, putative	TGME49_214850
TGME49_214860	N/A	hypothetical protein	TGME49_214860
TGME49_214870	N/A	ribosomal protein L9, N-terminal domain-containing protein	TGME49_214870
TGME49_214880	AC4	apical cap protein AC4	TGME49_214880
TGME49_214900	N/A	hypothetical protein	TGME49_214900
TGME49_214910	N/A	hypothetical protein	TGME49_214910
TGME49_214920	N/A	GPI-anchored wall transfer protein GWT1, putative	TGME49_214920
TGME49_214930	N/A	ATP synthase-associated protein	TGME49_214930
TGME49_214940	M2AP	MIC2-associated protein M2AP	TGME49_214940
TGME49_214950	N/A	hypothetical protein	TGME49_214950
TGME49_214960	AP2X8	AP2 domain transcription factor AP2X-8	TGME49_214960
TGME49_214970	MCM2	DNA replication licensing factor MCM2	TGME49_214970
TGME49_214980	N/A	hypothetical protein	TGME49_214980
TGME49_214990	N/A	hypothetical protein	TGME49_214990
TGME49_215010	N/A	hypothetical protein	TGME49_215010
TGME49_215020	N/A	hypothetical protein	TGME49_215020
TGME49_215030	N/A	helicase, putative	TGME49_215030
TGME49_215040	N/A	HEAT repeat-containing protein	TGME49_215040
TGME49_215055	N/A	hypothetical protein	TGME49_215055
TGME49_215060	N/A	small GTP-binding protein sar1, putative	TGME49_215060
TGME49_215070	FD	ferredoxin FD	TGME49_215070
TGME49_215080	N/A	hypothetical protein	TGME49_215080
TGME49_215090	N/A	ATP binding protein, putative	TGME49_215090
TGME49_215100	N/A	PP-loop family protein	TGME49_215100
TGME49_215110	N/A	tRNA-Thr	TGME49_215110
TGME49_215120	N/A	tRNA-Thr	TGME49_215120
TGME49_215130	N/A	adaptor-related protein complex 3, sigma 2 subunit	TGME49_215130
TGME49_215140	N/A	hypothetical protein	TGME49_215140
TGME49_215150	AP2X9	AP2 domain transcription factor AP2X-9	TGME49_215150
TGME49_215160	N/A	hypothetical protein	TGME49_215160
TGME49_215165	N/A	hypothetical protein	TGME49_215165
TGME49_215170	N/A	serine/threonine-protein phosphatase 2A catalytic subunit beta isoform, putative	TGME49_215170
TGME49_215210	N/A	F-box domain-containing protein	TGME49_215210
TGME49_215220	GRA22	dense granule protein GRA22	TGME49_215220
TGME49_215230	N/A	RNA recognition motif-containing protein	TGME49_215230
TGME49_215250	N/A	thiamin pyrophosphokinase, catalytic domain-containing protein	TGME49_215250
TGME49_215260	N/A	carbamoylphosphate synthetase	TGME49_215260
TGME49_215270	N/A	hypothetical protein	TGME49_215270
TGME49_215280	SDHB	succinate dehydrogenase [ubiquinone] iron-sulfur subunit SDHB	TGME49_215280
TGME49_215290	N/A	saccharopine dehydrogenase domain-containing protein	TGME49_215290
TGME49_215300	N/A	hypothetical protein	TGME49_215300
TGME49_215320	N/A	ODAD3 domain-containing protein	TGME49_215320
TGME49_215328	N/A	transporter, putative	TGME49_215328
TGME49_215347	N/A	hypothetical protein	TGME49_215347
TGME49_215350	N/A	hypothetical protein	TGME49_215350
TGME49_215360	GRA62	dense granule protein GRA62	TGME49_215360
TGME49_215370	N/A	hypothetical protein	TGME49_215370
TGME49_215380	N/A	hypothetical protein	TGME49_215380
TGME49_215385	N/A	transporter, major facilitator family protein	TGME49_215385
TGME49_215390	N/A	TIM10 family protein, putative	TGME49_215390
TGME49_215400	N/A	RNA recognition motif-containing protein	TGME49_215400
TGME49_215410	N/A	DPCD family protein	TGME49_215410
TGME49_215420	N/A	synaptobrevin homolog YKT6, putative	TGME49_215420
TGME49_215430	MYS	mitochondrial marker protein MYS	TGME49_215430
TGME49_215440	N/A	WWE domain-containing protein	TGME49_215440
TGME49_215450	N/A	aquaporin 1	TGME49_215450
TGME49_215460	RPS24	ribosomal protein RPS24	TGME49_215460
TGME49_215470	RPL10A	ribosomal protein RPL10A	TGME49_215470
TGME49_215480	N/A	Adenosine/AMP deaminase domain-containing protein	TGME49_215480
TGME49_215490	NPT1	novel putative transporter NPT1	TGME49_215490
TGME49_215500	N/A	TPR repeat-containing protein	TGME49_215500
TGME49_215510	N/A	MraW methylase family protein	TGME49_215510
TGME49_215520	N/A	hypothetical protein	TGME49_215520
TGME49_215530	N/A	hypothetical protein	TGME49_215530
TGME49_215540	N/A	hypothetical protein	TGME49_215540
TGME49_215550	N/A	exonuclease V, putative	TGME49_215550
TGME49_215560	PRMT5	histone arginine methyltransferase PRMT5	TGME49_215560
TGME49_215570	AP2X11	AP2 domain transcription factor AP2X-11	TGME49_215570
TGME49_215590	SDHA	flavoprotein subunit of succinate dehydrogenase SDHA	TGME49_215590
TGME49_215600	N/A	hypothetical protein	TGME49_215600
TGME49_215610	ICAP11	ATP synthase-associated protein	TGME49_215610
TGME49_215620	N/A	hypothetical protein	TGME49_215620
TGME49_215640	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_215640
TGME49_215650	N/A	hypothetical protein	TGME49_215650
TGME49_215660	N/A	hypothetical protein	TGME49_215660
TGME49_215670	N/A	cAMP-dependent protein kinase	TGME49_215670
TGME49_215680	SAG2E	SAG-related sequence SRS18	TGME49_215680
TGME49_215690	N/A	hypothetical protein	TGME49_215690
TGME49_215700	N/A	phosphatidylinositol 3- and 4-kinase	TGME49_215700
TGME49_215710	N/A	hypothetical protein	TGME49_215710
TGME49_215730	N/A	Gas41, putative	TGME49_215730
TGME49_215740	N/A	notchless, putative	TGME49_215740
TGME49_215750	N/A	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	TGME49_215750
TGME49_215775	ROP8	rhoptry protein ROP8	TGME49_215775
TGME49_215785	ROP2A	rhoptry protein ROP2A	TGME49_215785
TGME49_215885	N/A	hypothetical protein	TGME49_215885
TGME49_215890	N/A	hypothetical protein	TGME49_215890
TGME49_215895	N/A	AP2 domain-containing protein	TGME49_215895
TGME49_215900	N/A	hypothetical protein	TGME49_215900
TGME49_215910	N/A	hypothetical protein	TGME49_215910
TGME49_215920	N/A	hypothetical protein	TGME49_215920
TGME49_215930	MED21	mediator complex subunit MED21	TGME49_215930
TGME49_215940	AT1	acetyl-CoA transporter AT1	TGME49_215940
TGME49_215950	N/A	hypothetical protein	TGME49_215950
TGME49_215955	N/A	hypothetical protein	TGME49_215955
TGME49_215960	N/A	hypothetical protein	TGME49_215960
TGME49_215970	N/A	hypothetical protein	TGME49_215970
TGME49_215980	N/A	hypothetical protein	TGME49_215980
TGME49_215990	N/A	helicase, putative	TGME49_215990
TGME49_216000	ALV3	alveolin domain containing intermediate filament IMC3	TGME49_216000
TGME49_216010	RPL24	ribosomal protein RPL24	TGME49_216010
TGME49_216020	UFSP	Ufm1-specific protease UFSP	TGME49_216020
TGME49_216030	N/A	VHS domain-containing protein	TGME49_216030
TGME49_216040	N/A	30S ribosomal protein S15, putative	TGME49_216040
TGME49_216050	N/A	tetratricopeptide repeat-containing protein	TGME49_216050
TGME49_216053	N/A	hypothetical protein	TGME49_216053
TGME49_216055	N/A	hypothetical protein	TGME49_216055
TGME49_216060	N/A	hypothetical protein	TGME49_216060
TGME49_216070	N/A	transmembrane protein TqsA-like, putative	TGME49_216070
TGME49_216080	AKMT	apical complex lysine methyltransferase	TGME49_216080
TGME49_216090	N/A	hypothetical protein	TGME49_216090
TGME49_216120	N/A	hypothetical protein	TGME49_216120
TGME49_216130	N/A	ubiquitin conjugating enzyme E2, putative	TGME49_216130
TGME49_216140	ANK1	tetratricopeptide repeat-containing protein ANK1	TGME49_216140
TGME49_216150	N/A	peptidase family M3 protein	TGME49_216150
TGME49_216155	N/A	hypothetical protein	TGME49_216155
TGME49_216160	N/A	hypothetical protein	TGME49_216160
TGME49_216170	NFS2	cysteine desulfurase NFS2	TGME49_216170
TGME49_216180	N/A	hypothetical protein	TGME49_216180
TGME49_216190	N/A	hypothetical protein	TGME49_216190
TGME49_216200	N/A	hypothetical protein	TGME49_216200
TGME49_216210	N/A	hypothetical protein	TGME49_216210
TGME49_216220	AP2XI5	AP2 domain transcription factor AP2XI-5	TGME49_216220
TGME49_216240	N/A	hypothetical protein	TGME49_216240
TGME49_216250	N/A	RecF/RecN/SMC N terminal domain-containing protein	TGME49_216250
TGME49_216260	N/A	eukaryotic initiation factor-2B, gamma subunit, putative	TGME49_216260
TGME49_216270	N/A	hypothetical protein	TGME49_216270
TGME49_216275	N/A	ACR, YggU family COG1872 domain-containing protein	TGME49_216275
TGME49_216280	N/A	adenylate cyclase alpha 2	TGME49_216280
TGME49_216285	N/A	zinc finger, c2h2 type domain-containing protein	TGME49_216285
TGME49_216290	N/A	hypothetical protein	TGME49_216290
TGME49_216335	N/A	hypothetical protein	TGME49_216335
TGME49_216370	GLP2	golgi localizing protein GLP2	TGME49_216370
TGME49_216375	N/A	hypothetical protein	TGME49_216375
TGME49_216380	ATP2A	phospholipid-translocating P-type ATPase, flippase subfamily protein	TGME49_216380
TGME49_216390	N/A	RNA methyltransferase, TrmH family protein	TGME49_216390
TGME49_216400	N/A	meiotic recombination protein DMC1 family protein	TGME49_216400
TGME49_216410	N/A	hypothetical protein	TGME49_216410
TGME49_216415	N/A	hypothetical protein	TGME49_216415
TGME49_216420	N/A	hypothetical protein	TGME49_216420
TGME49_216430	TBC7	TBC domain-containing protein TBC7	TGME49_216430
TGME49_216435	N/A	hypothetical protein	TGME49_216435
TGME49_216440	OTU8	OTU domain-containing protein OTU8	TGME49_216440
TGME49_216450	N/A	proteasome subunit alpha type-3, putative	TGME49_216450
TGME49_216460	N/A	hypothetical protein	TGME49_216460
TGME49_216470	N/A	hypothetical protein	TGME49_216470
TGME49_216480	N/A	NMD3 family protein	TGME49_216480
TGME49_216490	N/A	hypothetical protein	TGME49_216490
TGME49_216500	N/A	tRNA synthetase, putative	TGME49_216500
TGME49_216510	N/A	thioredoxin, putative	TGME49_216510
TGME49_216530	N/A	ribosome recycling factor protein	TGME49_216530
TGME49_216540	N/A	dolichyl-phosphate beta-glucosyltransferase	TGME49_216540
TGME49_216550	N/A	tRNA-Lys	TGME49_216550
TGME49_216560	N/A	methyltransferase domain-containing protein	TGME49_216560
TGME49_216570	N/A	tRNA-Arg	TGME49_216570
TGME49_216580	N/A	hypothetical protein	TGME49_216580
TGME49_216585	N/A	hypothetical protein	TGME49_216585
TGME49_216590	N/A	HEAT repeat-containing protein	TGME49_216590
TGME49_216600	APE	exonuclease III APE	TGME49_216600
TGME49_216610	N/A	ribosomal RNA large subunit methyltransferase J protein	TGME49_216610
TGME49_216620	N/A	EF hand domain-containing protein	TGME49_216620
TGME49_216630	N/A	trigger factor protein, putative	TGME49_216630
TGME49_216640	N/A	GHMP kinase, putative	TGME49_216640
TGME49_216650	MSC1A	mature soluble cytoskeleton protein MSC1A	TGME49_216650
TGME49_216660	N/A	hypothetical protein	TGME49_216660
TGME49_216670	FUBP2	FUSE-binding protein 2 / KH-type splicing regulatory protein	TGME49_216670
TGME49_216680	PP6S	serine/threonine protein phosphatase 6 structural subunit PP6S	TGME49_216680
TGME49_216700	N/A	peptide deformylase, putative	TGME49_216700
TGME49_216710	ApiAT5-4	apicomplexan amino acid transporter ApiAT5-4	TGME49_216710
TGME49_216720	N/A	hypothetical protein	TGME49_216720
TGME49_216730	MCM3	DNA replication licensing factor MCM3, putative	TGME49_216730
TGME49_216740	N/A	riboflavin kinase	TGME49_216740
TGME49_216750	LEO1	Paf1/RNA polymerase II complex component LEO1	TGME49_216750
TGME49_216760	N/A	RNA pseudouridine synthase superfamily protein	TGME49_216760
TGME49_216770	N/A	hypothetical protein	TGME49_216770
TGME49_216780	N/A	hypothetical protein	TGME49_216780
TGME49_216785	N/A	hypothetical protein	TGME49_216785
TGME49_216790	N/A	ATP-binding cassette sub-family E member 1, putative	TGME49_216790
TGME49_216800	N/A	flagellar/basal body protein	TGME49_216800
TGME49_216810	N/A	5'-nucleotidase, C-terminal domain-containing protein	TGME49_216810
TGME49_216820	TFP1	transporter facilitator protein TFP1	TGME49_216820
TGME49_216830	N/A	DTW domain-containing protein	TGME49_216830
TGME49_216840	N/A	hypothetical protein	TGME49_216840
TGME49_216850	N/A	hypothetical protein	TGME49_216850
TGME49_216860	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide DDX39	TGME49_216860
TGME49_216870	N/A	DNA excision repair helicase	TGME49_216870
TGME49_216875	N/A	cpw-wpc domain-containing protein	TGME49_216875
TGME49_216880	POC1	POC1 centriolar protein, putative	TGME49_216880
TGME49_216890	N/A	hypothetical protein	TGME49_216890
TGME49_216900	N/A	cytokine induced apoptosis inhibitor 1 family protein	TGME49_216900
TGME49_216910	N/A	hypothetical protein	TGME49_216910
TGME49_216920	MED8	mediator complex subunit MED8	TGME49_216920
TGME49_216930	N/A	cholinephosphate cytidylyltransferase	TGME49_216930
TGME49_216940	N/A	hypothetical protein	TGME49_216940
TGME49_216950	N/A	helicase	TGME49_216950
TGME49_216960	N/A	elongation factor Tu GTP binding domain-containing protein	TGME49_216960
TGME49_216965	N/A	leucine rich repeat-containing protein	TGME49_216965
TGME49_216970	N/A	coronin, putative	TGME49_216970
TGME49_216980	N/A	WDR8 protein isoform 3 family protein	TGME49_216980
TGME49_216990	N/A	LysM domain-containing protein	TGME49_216990
TGME49_217000	N/A	hypothetical protein	TGME49_217000
TGME49_217010	N/A	CD2BP2-like protein	TGME49_217010
TGME49_217020	N/A	ATPase, AFG1 family protein	TGME49_217020
TGME49_217030	N/A	hypothetical protein	TGME49_217030
TGME49_217040	N/A	hypothetical protein	TGME49_217040
TGME49_217050	N/A	ADA2-A transcriptional co-activator SAGA component	TGME49_217050
TGME49_217160	N/A	Der1 family protein	TGME49_217160
TGME49_217220	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_217220
TGME49_217340	N/A	hypothetical protein	TGME49_217340
TGME49_217350	METTL3	N6-adenosine-methyltransferase subunit METTL3	TGME49_217350
TGME49_217360	N/A	hypothetical protein	TGME49_217360
TGME49_217370	N/A	hypothetical protein	TGME49_217370
TGME49_217380	N/A	hypothetical protein	TGME49_217380
TGME49_217390	N/A	hypothetical protein	TGME49_217390
TGME49_217400	N/A	hypothetical protein	TGME49_217400
TGME49_217410	N/A	hypothetical protein	TGME49_217410
TGME49_217420	N/A	hypothetical protein	TGME49_217420
TGME49_217430	PI1	protease inhibitor PI1	TGME49_217430
TGME49_217440	N/A	HCNGP family protein	TGME49_217440
TGME49_217450	GTF2H5	general transcription factor IIH polypeptide 5 GTF2H5	TGME49_217450
TGME49_217460	N/A	glutaminyl-tRNA synthetase (GlnRS)	TGME49_217460
TGME49_217470	N/A	hypothetical protein	TGME49_217470
TGME49_217480	N/A	hypothetical protein	TGME49_217480
TGME49_217490	N/A	hypothetical protein	TGME49_217490
TGME49_217500	N/A	HMG (high mobility group) box domain-containing protein	TGME49_217500
TGME49_217510	IMC19	inner membrane complex protein IMC19	TGME49_217510
TGME49_217520	N/A	hypothetical protein	TGME49_217520
TGME49_217530	GRA63	dense granule protein GRA63	TGME49_217530
TGME49_217540	SR2	serine/arginine-rich splicing factor SR2	TGME49_217540
TGME49_217550	N/A	dynactin subunit 6, putative	TGME49_217550
TGME49_217555	N/A	hypothetical protein	TGME49_217555
TGME49_217560	POLR2L	DNA-directed RNA polymerase II RPB10	TGME49_217560
TGME49_217570	RPS27	ribosomal protein RPS27	TGME49_217570
TGME49_217580	POLR3F	DNA-directed RNA polymerase III RPC6	TGME49_217580
TGME49_217590	N/A	50S ribosomal protein L17, putative	TGME49_217590
TGME49_217600	CDPK9	calcium-dependent protein kinase CDPK9	TGME49_217600
TGME49_217610	N/A	hypothetical protein	TGME49_217610
TGME49_217620	N/A	translation initiation factor IF-1, putative	TGME49_217620
TGME49_217630	N/A	hypothetical protein	TGME49_217630
TGME49_217640	N/A	hypothetical protein	TGME49_217640
TGME49_217650	N/A	GAS8 domain-containing protein	TGME49_217650
TGME49_217660	N/A	Tctex-1 family protein	TGME49_217660
TGME49_217665	N/A	hypothetical protein	TGME49_217665
TGME49_217670	RPS6	ribosomal protein RPS6	TGME49_217670
TGME49_217680	GRA57	dense granule protein GRA57	TGME49_217680
TGME49_217688	N/A	hypothetical protein	TGME49_217688
TGME49_217692	N/A	hypothetical protein	TGME49_217692
