Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_202180	N/A	hypothetical protein	TGME49_202180
TGME49_202190	N/A	hypothetical protein	TGME49_202190
TGME49_202200	N/A	hypothetical protein	TGME49_202200
TGME49_202205	N/A	hypothetical protein	TGME49_202205
TGME49_202210	N/A	nucleoside diphosphate kinase	TGME49_202210
TGME49_202220	ISAP1	IMC suture-associated protein ISAP1	TGME49_202220
TGME49_202230	HDAC5	histone deacetylase HDAC5	TGME49_202230
TGME49_202240	N/A	RAP domain-containing protein	TGME49_202240
TGME49_202250	N/A	hypothetical protein	TGME49_202250
TGME49_202255	N/A	hypothetical protein	TGME49_202255
TGME49_202285	N/A	EGF family domain-containing protein	TGME49_202285
TGME49_202290	N/A	membrane protein, putative	TGME49_202290
TGME49_202300	N/A	inosine triphosphate pyrophosphatase, putative	TGME49_202300
TGME49_202310	N/A	O-sialoglycoprotein endopeptidase	TGME49_202310
TGME49_202320	N/A	tRNA-Glu	TGME49_202320
TGME49_202330	N/A	hypothetical protein	TGME49_202330
TGME49_202340	N/A	proline dehydrogenase	TGME49_202340
TGME49_202350	N/A	50S ribosomal protein L21, putative	TGME49_202350
TGME49_202360	N/A	methylase, putative	TGME49_202360
TGME49_202370	N/A	T-complex protein 1, epsilon subunit (TCP-1-epsilon), putative	TGME49_202370
TGME49_202375	N/A	hypothetical protein	TGME49_202375
TGME49_202380	N/A	rab GDI alpha, putative	TGME49_202380
TGME49_202390	MSC1B	mature soluble cytoskeleton protein MSC1B	TGME49_202390
TGME49_202400	N/A	calcium binding egf domain-containing protein	TGME49_202400
TGME49_202410	N/A	CRAL/TRIO domain-containing protein	TGME49_202410
TGME49_202420	N/A	hypothetical protein	TGME49_202420
TGME49_202430	N/A	hypothetical protein	TGME49_202430
TGME49_202440	N/A	hypothetical protein	TGME49_202440
TGME49_202445	N/A	hypothetical protein	TGME49_202445
TGME49_202450	N/A	hypothetical protein	TGME49_202450
TGME49_202460	DGK1	diacylglycerol kinase accessory domain (presumed) domain-containing protein	TGME49_202460
TGME49_202470	N/A	rRNA metabolism protein, SBDS family protein	TGME49_202470
TGME49_202480	N/A	hypothetical protein	TGME49_202480
TGME49_202490	AP2VIIA7	AP2 domain transcription factor AP2VIIa-7	TGME49_202490
TGME49_202500	GAPM1A	glideosome-associated protein with multiple-membrane spans GAPM1A	TGME49_202500
TGME49_202510	GAPM1B	glideosome-associated protein with multiple-membrane spans GAPM1B	TGME49_202510
TGME49_202520	N/A	hypothetical protein	TGME49_202520
TGME49_202530	N/A	aspartate-tRNA ligase	TGME49_202530
TGME49_202540	PDE1	3'5'-cyclic nucleotide phosphodiesterase PDE1	TGME49_202540
TGME49_202550	BCC6	basal complex component BCC6	TGME49_202550
TGME49_202568	N/A	FAM32A domain-containing protein	TGME49_202568
TGME49_202572	N/A	ribophorin i protein	TGME49_202572
TGME49_202580	ClpB5	chaperone protein ClpB5, putative	TGME49_202580
TGME49_202590	N/A	hypothetical protein	TGME49_202590
TGME49_202600	N/A	hypothetical protein	TGME49_202600
TGME49_202610	PPM3D	protein phosphatase PPM3D	TGME49_202610
TGME49_202620	GRA64	dense granule protein GRA64	TGME49_202620
TGME49_202630	N/A	ATP-dependent metallopeptidase HflB subfamily protein	TGME49_202630
TGME49_202640	PUS1	tRNA pseudouridine synthase 1	TGME49_202640
TGME49_202650	N/A	hypothetical protein	TGME49_202650
TGME49_202660	N/A	tRNA-Gly	TGME49_202660
TGME49_202670	N/A	tRNA-Gly	TGME49_202670
TGME49_202680	QCR2	cytochrome b-c1 complex subunit 2	TGME49_202680
TGME49_202690	POLR2I	DNA-directed RNA polymerase II RPB9	TGME49_202690
TGME49_202700	N/A	hypothetical protein	TGME49_202700
TGME49_202720	N/A	RNB family domain-containing protein	TGME49_202720
TGME49_202730	N/A	hypothetical protein	TGME49_202730
TGME49_202735	N/A	hypothetical protein	TGME49_202735
TGME49_202740	N/A	pseudouridine synthase, putative	TGME49_202740
