layers,test_genes,supported_genes,coverage,evaluation,accuracy,macro_f1,balanced_accuracy,log_loss,brier,selective_accuracy,macro_average_precision
coexpression,3827,3075,0.803501437157042,out_of_fold,0.11549516592631304,0.12026258831907471,0.16974085119743226,2.8165475476640642,0.9294111749283382,0.14373983739837398,0.12148887499241687
domain,3827,610,0.15939378102952703,out_of_fold,0.05774758296315652,0.11096573868930192,0.07352470362458183,3.1456464286630155,0.9420200075177915,0.3622950819672131,0.08457683566000763
domain+coexpression+struct,3827,3341,0.8730075777371309,out_of_fold,0.20198588973085968,0.19512545011242763,0.27203240727595956,2.736281560925688,0.9092545271754211,0.23136785393594733,0.177605169933717
struct,3827,1101,0.2876927096942775,out_of_fold,0.09824928142147897,0.16717771653536226,0.15627233331569887,3.0376134455514867,0.9258746187032008,0.34150772025431425,0.13768283803267892
