task,method,features,test_genes,supported_genes,coverage,evaluation,accuracy,macro_f1,balanced_accuracy,log_loss,brier,selective_accuracy,macro_average_precision,mae,rmse,r2,spearman,interval_coverage,mean_interval_width
compartment,boosted,published,3827,3827,1.0,out_of_fold,0.517115233864646,0.3902442303168133,0.3581304345628155,1.5460212329947802,0.6369973893239163,0.517115233864646,0.4491544137665801,,,,,,
compartment,boosted,published_af3,3827,3827,1.0,out_of_fold,0.5199895479487849,0.40120037452488094,0.367683144868372,1.5411179602725862,0.6337529513034809,0.5199895479487849,0.4524465058101572,,,,,,
compartment,boosted,published_af3_esm,3827,3827,1.0,out_of_fold,0.5623203553697413,0.4344229576812219,0.3967017652218781,1.4334063305336546,0.5878065425970256,0.5623203553697413,0.4957726885853414,,,,,,
compartment,linear,published,3827,3827,1.0,out_of_fold,0.46015155474261826,0.3819994252541694,0.3631744065114494,1.6888149108018558,0.6919753122222029,0.46015155474261826,0.3958336255398549,,,,,,
compartment,linear,published_af3,3827,3827,1.0,out_of_fold,0.45989025346224194,0.3840765129505162,0.36472551229377975,1.685736394980072,0.6903175897585738,0.45989025346224194,0.39746714856124316,,,,,,
compartment,linear,published_af3_esm,3827,3827,1.0,out_of_fold,0.5147635223412594,0.4186148343183922,0.3956176119008559,1.5614181571785288,0.6433209277622484,0.5147635223412594,0.43714175666119315,,,,,,
compartment,linear,shuffled_labels,3827,3827,1.0,out_of_fold,0.13718317219754378,0.03553361481290156,0.038239946107574856,2.9179979680913535,0.9331747403065316,0.13718317219754378,0.03963936261191966,,,,,,
compartment,multiview,published,3827,3827,1.0,out_of_fold,0.36373138228377316,0.25260521452804735,0.23681892149411268,2.4022081484551694,0.8648150661781514,0.36373138228377316,0.18030756576941512,,,,,,
compartment,neighbors,published,3827,3827,1.0,out_of_fold,0.39038411288215313,0.2825984172289418,0.2605306375731429,2.321723991586753,0.8506028731984914,0.39038411288215313,0.2225482604433539,,,,,,
compartment,pca,published,3827,3827,1.0,out_of_fold,0.35902795923700026,0.25363887676425056,0.24466362212703827,2.4226565958415844,0.8667680234791741,0.35902795923700026,0.19355405277252863,,,,,,
compartment,prior,published,3827,3827,1.0,out_of_fold,0.20094068460935458,0.012870723706232844,0.038461538461538464,2.651288809634542,0.8993725582355764,0.20094068460935458,0.03855208588570196,,,,,,
compartment,umap,published,3827,3827,1.0,out_of_fold,0.31434544029265743,0.2277230045692703,0.23014754405485774,2.544202496762249,0.880103693815268,0.31434544029265743,0.16943347985593682,,,,,,
compartment,umap,published_3d,3827,3827,1.0,out_of_fold,0.30493859419911157,0.21463813051514957,0.2197576476265833,2.5749680367780363,0.8833681534288464,0.30493859419911157,0.16621084955173268,,,,,,
protein_ibaq_log2,boosted,published,748,748,1.0,out_of_fold,,,,,,,,1.9402092207847206,2.55581442997615,0.4259870931558958,0.682494455234674,0.9117647058823529,8.796724090655136
protein_ibaq_log2,boosted,published_af3,748,748,1.0,out_of_fold,,,,,,,,1.9402092207847206,2.55581442997615,0.4259870931558958,0.682494455234674,0.9117647058823529,8.796724090655136
protein_ibaq_log2,boosted,published_af3_esm,748,748,1.0,out_of_fold,,,,,,,,1.9078987786696264,2.507701867338958,0.44739497621508717,0.6922891870201725,0.9491978609625669,9.936880699920522
protein_ibaq_log2,linear,published,748,748,1.0,out_of_fold,,,,,,,,2.0847658733443213,3.022695195612664,0.19711797760624028,0.649671273859064,0.9131016042780749,9.794248741252735
protein_ibaq_log2,linear,published_af3,748,748,1.0,out_of_fold,,,,,,,,2.0837268860766223,3.015131452918861,0.20113108154865933,0.6518942551583286,0.910427807486631,9.633393653984646
protein_ibaq_log2,linear,published_af3_esm,748,748,1.0,out_of_fold,,,,,,,,2.078560134073797,3.007991874698386,0.20490991136907233,0.6559805402543037,0.9077540106951871,9.15101656647987
protein_ibaq_log2,linear,shuffled_labels,748,748,1.0,out_of_fold,,,,,,,,3.161110372999248,4.132371680531692,-0.5005890581514552,0.006381953135432141,0.9077540106951871,12.54238942379453
protein_ibaq_log2,multiview,published,748,748,1.0,out_of_fold,,,,,,,,2.0576145665807304,2.66426035935227,0.3762416845593962,0.6378930112545167,0.929144385026738,9.767901243211783
protein_ibaq_log2,neighbors,published,748,748,1.0,out_of_fold,,,,,,,,2.0037941813148885,2.597870167180008,0.4069409910271219,0.6705653425551158,0.9278074866310161,9.763498629939358
protein_ibaq_log2,pca,published,748,748,1.0,out_of_fold,,,,,,,,2.016484682337163,2.600261397674069,0.4058487166906247,0.6594222215608254,0.9385026737967914,10.014769912764887
protein_ibaq_log2,prior,published,748,748,1.0,out_of_fold,,,,,,,,2.6933097058025592,3.387855580008757,-0.008585683879997363,-0.055688430908906045,0.9224598930481284,11.605218703386436
protein_ibaq_log2,umap,published,748,748,1.0,out_of_fold,,,,,,,,2.0326470215855226,2.6502671329094043,0.3827766838116007,0.6380413380817416,0.9358288770053476,9.815776179552842
