gene_id	mrna_remaining_5h_actinomycin
TGME49_200400	0.6689029862995727
TGME49_202300	0.6710693884128677
TGME49_202470	0.13824371390009896
TGME49_202640	0.46510028046763136
TGME49_202750	0.39415490811529663
TGME49_202770	0.6159461858988399
TGME49_203290	0.36979589059243273
TGME49_203600	0.16415352017388193
TGME49_203780	0.5138769843159877
TGME49_204070	0.4867193720111748
TGME49_204080	0.6210231639824715
TGME49_204360	0.337332302587734
TGME49_204520	0.5389877751404701
TGME49_204530	0.4273910119745769
TGME49_205050	0.47371914326475495
TGME49_205230	0.6022732383477687
TGME49_205490	0.23020066912350315
TGME49_205520	0.3745930440417334
TGME49_205615	0.4053933561153547
TGME49_205630	0.6877898987831478
TGME49_206360	0.26388445749560246
TGME49_207230	0.33467853074077364
TGME49_207460	0.3852726311208538
TGME49_207470	0.2615521040619529
TGME49_207640	0.24821461628185637
TGME49_207680	0.6561252969739811
TGME49_207970	0.38343757828302055
TGME49_208390	0.3912111907588021
TGME49_208400	0.5405224436694052
TGME49_208430	0.17338728031215367
TGME49_208490	0.61932966617613
TGME49_208550	0.34250998647752723
TGME49_208710	0.4750575436339335
TGME49_209050	0.5376003684833492
TGME49_209095	0.3003805173345014
TGME49_209160	0.2912075552285327
TGME49_209450	0.30018514257008083
TGME49_209485	0.5610862537398762
TGME49_209930	0.30303375185242754
TGME49_210430	0.40564315164860404
TGME49_210975	0.42221789563532713
TGME49_211010	0.5285933448092986
TGME49_211220	0.5701685384278589
TGME49_211300	0.70829369556416
TGME49_212160	0.5803850218203956
TGME49_212270	0.5163563890068102
TGME49_212830	0.2188954903479335
TGME49_212860	0.6771079247152255
TGME49_212920	0.5949438795361962
TGME49_212970	0.2990826314583044
TGME49_213060	0.48710061239203234
TGME49_213072	0.7131507443746122
TGME49_213690	0.6158065909448024
TGME49_213700	0.5864932865867574
TGME49_213790	0.5256877625759594
TGME49_213920	0.27220209090514264
TGME49_214070	0.14767387511779473
TGME49_214160	0.7218389591639885
TGME49_214270	0.39930068120252016
TGME49_214400	0.24176088478394875
TGME49_214530	0.6188267693335369
TGME49_214740	0.33223045480430907
TGME49_214835	0.38859343243061667
TGME49_214840	0.5199184746459252
TGME49_214920	0.729330255269669
TGME49_216000	0.34472209722118063
TGME49_216030	0.7467105258795268
TGME49_216040	0.46262429210273875
TGME49_216090	0.27876569634763276
TGME49_216400	0.24620249101549926
TGME49_216650	0.6983744289844199
TGME49_216670	0.4343969949281237
TGME49_216880	0.7158977453268213
TGME49_216940	0.37897211009934817
TGME49_217040	0.6638807579383884
TGME49_217420	0.1256932885864477
TGME49_217540	0.33366245875326817
TGME49_217610	0.3357524312499449
TGME49_217660	0.3344629488522124
TGME49_217665	0.2135240517290495
TGME49_217770	0.7057568678713304
TGME49_217810	0.3318948997353414
TGME49_218790	0.5706894407411601
TGME49_218910	0.7239548060386879
TGME49_219080	0.2793808061561745
TGME49_219160	0.1386994352895555
TGME49_219270	0.6969551847926172
TGME49_219300	0.6712858160114017
TGME49_219610	0.1635338673319574
TGME49_219630	0.21629440856150897
TGME49_219730	0.5038118941136132
TGME49_219810	0.5452319072053013
TGME49_219832	0.5950424848263666
TGME49_220132	0.6209333740799033
TGME49_220160	0.25552028359396745
TGME49_220170	0.18259688153435447
TGME49_220250	0.428907937297581
TGME49_220310	0.2640079827848032
TGME49_220340	0.4545383368940699
TGME49_220850	0.4497253453407066
TGME49_221270	0.4891847792323709
TGME49_221295	0.49810252926069865
TGME49_221450	0.6900203094699879
TGME49_221585	0.05682390129464166
TGME49_221675	0.5671502065016519
TGME49_221880	0.482134248858862
TGME49_222130	0.49560242719861475
TGME49_222140	0.7438924391505317
TGME49_222155	0.4195818150123898
TGME49_222880	0.241871631391173
TGME49_222930	0.08459912312235134
TGME49_222940	0.4426167690181611
TGME49_223080	0.5394947179071484
TGME49_223520	0.1261125800294955
TGME49_223560	0.6736145904775777
TGME49_223725	0.6793460515179941
TGME49_223810	0.307107310522299
TGME49_223985	0.44228523308827317
TGME49_224810	0.5843325455609782
TGME49_224840	0.3458916628106327
TGME49_224960	0.14765764739020826
TGME49_225090	0.3174081951455488
TGME49_225105	0.1625177127068931
TGME49_225170	0.6936347964300519
TGME49_225200	0.43004768460958925
TGME49_225210	0.6315537469210626
TGME49_225315	0.23032436226379452
TGME49_225440	0.4795136620329777
TGME49_225510	0.4820162510946
TGME49_226060	0.5693464981668926
TGME49_226100	0.320337711178446
TGME49_226270	0.6448954312195312
TGME49_226310	0.45803113674060913
TGME49_226755	0.49699912411680586
TGME49_226920	0.41121095970177907
TGME49_227330	0.49645604972533436
TGME49_227440	0.27420551386617126
TGME49_227820	0.45125638523874106
TGME49_227840	0.5206052821275027
TGME49_228020	0.22958873848878328
TGME49_228145	0.2593388688129043
TGME49_228160	0.1458840527507711
TGME49_228980	0.7443082890958816
TGME49_229010	0.14735497687867058
TGME49_229020	0.39006626885537976
TGME49_230110	0.6866390853733065
TGME49_230460	0.3423411173621891
TGME49_230940	0.5925331124666381
TGME49_231420	0.5013620469954336
TGME49_231470	0.4797523254658467
TGME49_232260	0.6286308494915699
TGME49_232740	0.37936512971836356
TGME49_233030	0.5132153279653987
TGME49_233157	0.27217558711480555
TGME49_233390	0.5333899918902176
TGME49_234900	0.6354695518760961
TGME49_235470	0.7115605057458828
TGME49_235680	0.1646886218200612
TGME49_235920	0.5470413092113957
TGME49_235980	0.4599565348270274
TGME49_236150	0.5988014843103403
TGME49_236210	0.7053877544864514
TGME49_236520	0.36080358105490545
TGME49_236560	0.5581862847432305
TGME49_236630	0.3639953442928676
TGME49_236830	0.3464723936642357
TGME49_236970	0.7133039469481711
TGME49_237195	0.2097181777270479
TGME49_237230	0.3690365308153445
TGME49_237270	0.6492818459258956
TGME49_237280	0.4417774486738016
TGME49_237510	0.3626801520328156
TGME49_238010	0.29531179705317595
TGME49_238250	0.3502748362339512
