bmdm_tpm	host_id	host_name
719.8365754	P34884	Mif
708.4523479	P17433	Spi1
701.3653676	P12265	Gusb
694.2452313	O89053	Coro1a
680.2619817	P54227	Stmn1
679.333047	P03911	mt-Nd4
677.0506309	P11152	Lpl
675.8265148	P13020	Gsn
674.6244974	P84096	Rhog
670.8114266	P10810	Cd14
670.3685216	Q9D8N0	Eef1g
665.0332796	P30993	C5ar1
658.998073	Q99LR1	Abhd12
657.805144	P47738	Aldh2
651.3987056	Q9CZX8	Rps19
650.740831	Q07813	Bax
648.2108468	P18572	Bsg
645.792288	Q9WV32	Arpc1b
643.5511291	P68510	Ywhah
639.133642	P21107	Tpm3
626.0674928	Q9Z0S9	Rabac1
624.6362965	P40124	Cap1
621.3077225	P29341	Pabpc1
620.2116825	O35405	Pld3
619.4947608	Q9D7I0	Shisa5
612.2296954	Q6ZWY3	Rps27l
605.4554164	P07356	Anxa2
602.7224763	Q05685	Folr2
598.4239255	P21956	Mfge8
592.4550848	P54369	Oaz1
591.150686	P51881	Slc25a5
591.0167354	P60766	Cdc42
588.6492527	Q8R107	Prelid1
588.1125684	P62880	Gnb2
586.8702732	Q9CPX8	Uqcr11
585.8026544	P04202	Tgfb1
580.7264755	P68040	Gnb2l1
580.2389652	P99029	Prdx5
577.3226618	Q62465	Vat1
575.6637025	Q91VI7	Rnh1
573.0213007	Q61592	Gas6
570.616703	Q60692	Psmb6
567.8742829	Q9DB10	Smdt1
565.1873077	P09411	Pgk1
561.9487066	O09159	Man2b1
561.1228887	P28662	Bri3
559.1409851	Q9QUI0	Rhoa
555.0755274	P35980	Rpl18
551.1452481	P08207	S100a10
547.0429366	P17095	Hmga1
544.5078578	Q9WUM3	Coro1b
542.7898499	Q9JMG1	Edf1
542.7539285	P48024	Eif1
541.687315	P08030	Aprt
541.5693831	Q9CXL1	Tmem50a
541.5410303	P56384	Atp5g3
535.5903874	Q8VE43	Metrnl
533.2122762	Q91V37	Atp6v0b
532.3097864	O88668	Creg1
531.5521844	P84078	Arf1
531.0161592	P17918	Pcna
530.1379566	P56383	Atp5g2
529.3617248	Q03265	Atp5a1
528.7117061	O70131	Ninj1
525.3014495	Q9DBZ5	Eif3k
525.2172646	P47879	Igfbp4
523.4211329	Q64337	Sqstm1
519.2072839	P14148	Rpl7
515.5780593	Q9CZM2	Rpl15
514.0891464	P49710	Hcls1
510.7539877	Q9CQ22	Lamtor1
509.7024068	P17665	Cox7c
508.091608	P12023	App
505.9238788	Q80YW0	Cyth4
504.5435695	Q9D1K2	Atp6v1f
503.9153362	Q8K1T1	Lrrc25
501.9717151	Q9DCP9	Dazap2
499.7661493	O70492	Snx3
499.7357872	Q9ESY9	Ifi30
495.8582572	P27784	Ccl6
491.9051734	Q64519	Sdc3
488.6866138	Q9R1Q9	Atp6ap1
486.7108334	Q91VK4	Itm2c
486.1260981	Q9CPQ8	Atp5l
478.2473107	P29595	Nedd8
472.9611581	P09103	P4hb
471.5359936	Q63844	Mapk3
469.3354669	Q8R1I1	Uqcr10
465.6950499	Q9DCX2	Atp5h
462.9762796	Q91YI4	Arrb2
461.9117572	Q91WK2	Eif3h
459.1580658	Q9Z2H6	Clec4d
457.9415814	Q9CQ75	Ndufa2
456.0795391	P20029	Hspa5
455.5233045	P56135	Atp5j2
455.0117769	P06745	Gpi1
453.1222615	Q8VDN2	Atp1a1
447.6250501	P63082	Atp6v0c
445.1870983	Q9JL62	Gltp
441.5751131	Q61387	Cox7a2l
441.4420616	Q9D8M3	Slc48a1
438.4254866	Q9CQJ5	Prr13
438.0131021	P57774	Npy
437.508306	Q05816	Fabp5
437.278778	P70296	Pebp1
437.2590042	P53566	Cebpa
434.9562104	Q9D1G1	Rab1b
434.7607424	P10852	Slc3a2
431.4107825	P41133	Id3
431.1854564	O55234	Psmb5
425.7095864	P37040	Por
423.3588323	Q9D3D9	Atp5d
422.0956688	O35465	Fkbp8
420.7505802	P62317	Snrpd2
419.1514697	Q99KX1	Mlf2
417.5917293	P26041	Msn
416.7964866	P70158	Smpdl3a
414.7233468	Q9CQN6	Tmem14c
414.5371867	Q9D6N5	Drap1
414.0705127	Q8BK64	Ahsa1
412.105385	Q99P72	Rtn4
412.052953	P51670	Ccl9
409.8768004	Q9CX56	Psmd8
408.698992	O09167	Rpl21
408.4866858	P68372	Tubb4b
407.4151567	Q8K1B8	Fermt3
405.3947856	O88876	Dhrs3
405.0790727	O70251	Eef1b2
403.4715018	Q8K003	Tma7
403.0852975	Q922Y1	Ubxn1
398.447566	P48678	Lmna
397.6591851	P59999	Arpc4
395.9616321	P97825	Hn1
395.0579833	P27048	Snrpb
394.7277913	P60843	Eif4a1
393.8634597	Q9CPW4	Arpc5
392.747291	Q9D8B3	Chmp4b
392.1152699	P61967	Ap1s1
390.5607024	Q60854	Serpinb6a
389.3110773	P84091	Ap2m1
387.1273629	Q3U898	Myeov2
386.6388507	P62814	Atp6v1b2
386.0586224	Q91VR8	Brk1
385.4494843	Q9DCD0	Pgd
385.212244	P51410	Rpl9
380.5853668	Q791T5	Mtch1
380.2719022	Q9ESF4	Grina
377.961772	Q7TSN2	AF251705
377.4636	Q9JHS3	Lamtor2
376.2389362	P63001	Rac1
375.0095568	Q3THE2	Myl12b
374.4331211	Q8VC04	Tmem106a
374.2172106	O55142	Rpl35a
373.7033743	P51150	Rab7
371.2054776	P40142	Tkt
370.0526118	P56382	Atp5e
368.5193344	Q8BFR4	Gns
368.4230253	Q9Z1P6	Ndufa7
367.4836993	Q9JKW0	Arl6ip1
364.0026994	Q8R1F0	D8Ertd738e
361.8321749	Q9R233	Tapbp
360.9483669	P56379	2010107E04Rik
360.5545563	Q8BG07	Pld4
359.642312	P54116	Stom
358.3614842	P84084	Arf5
357.1841131	P99026	Psmb4
353.1249692	P48026	Sat1
351.9036828	P68373	Tuba1c
349.7683688	Q9CZ13	Uqcrc1
346.3716631	Q99LU8	BC005537
345.9458493	Q80VP1	Epn1
344.5403044	Q9D1I2	1110007C09Rik
343.6932042	P50518	Atp6v1e1
342.223997	Q9R1Q7	Plp2
341.8443382	Q00941	Csf2ra
341.1410634	Q921J4	Ube2s
340.6391577	Q62048	Pea15a
340.0335015	O88342	Wdr1
337.6958316	Q62425	Ndufa4
337.4393858	Q99JY9	Actr3
337.2625235	Q9DCH4	Eif3f
