gene_id	bzsub_A_expr	bzsub_B_expr	bzsub_C_expr	bzsub_D_expr	bzsub_E_expr
TGME49_224460	0.2396502107	0.4278714921	0.2842076747	0.4004651906	0.1791079216
TGME49_237470	0.1284812874	0.1468056899	0.254872999	0.3322224964	0.02168926
TGME49_238180	0.07574632113	0.08081997847	0.1514301154	0.2097251373	0.2409565556
TGME49_236890	0.7249293456	1.250658854	0.8291888659	0.4222460311	0.314597461
TGME49_202890	0.04195709473	0.0529328159	0.07370890668	0.218166094	0.1259637298
TGME49_251840	0.3027563492	0.151693275	0.2278330852	0.2604375324	0.2490313508
TGME49_262970	0.6325430377	0.5962692178	0.4893019905	0.425797346	0.1460460871
TGME49_309760	0.5170668613	0.9183093637	0.5971125411	0.4548610961	0.1011264608
TGME49_237240	0.3952706382	0.5796918552	0.5639343869	0.3947046062	0.3175926106
TGME49_306020	0.09058243285	0.020710684	0.04529024849	0.04913597555	0.17672503
TGME49_291930	0.291294795	0.6331720645	0.323358156	0.2627503236	0.1023883734
TGME49_290890	0.1626309776	0.2634909271	0.2598788483	0.3005447336	0.03915555996
TGME49_249790	0.08997982724	0.06857995255	0.1499775901	0.3512739688	0.1882455174
TGME49_220230	0.01557874262	0.05813738649	0.08147132672	0.03319501615	0.009396425141
TGME49_247450	0.1512205375	0.2482840649	0.2072568382	0.322002932	0.146827934
TGME49_318690	0.02772673431	0.1035388753	0.09607158843	0.03164973148	0.0305725282
TGME49_255430	0.0368964763	0.05674347405	0.07913217865	0.1973409434	0.03844288358
TGME49_276990	0.2332505265	0.1553343588	0.1521272659	0.1497976808	0.1427027832
TGME49_318360	0.0836436884	0.1692369357	0.1316729234	0.1836895598	0.07893274108
TGME49_297760	0.05930619079	0.09933921037	0.0819109076	0.2485954513	0.08787920927
TGME49_243800	0.01097419967	0.02419876234	0.0364990997	0.1150541443	0.03471329458
TGME49_265280	0.01702004459	0.03976009931	0.05429328693	0.1292172078	0
TGME49_280550	0.03911250455	0.08640417704	0.08479129917	0.1534656388	0.05158417306
TGME49_306220	0.1484382586	0.295904818	0.2273708266	0.2235793447	0.05655517033
TGME49_253030	0.1525217886	0.0908860584	0.08552245384	0.1197783974	0.0389986478
TGME49_285150	0.1727628367	0.0446591719	0.09332823531	0.1193695502	0.5042527344
TGME49_289940	0.002788864615	0.03175391991	0.05100966434	0.03742705408	0
TGME49_263710	0.02094061151	0.04858763951	0.08103047877	0.07977970346	0.02230828941
TGME49_267050	0.3678855338	0.2723413052	0.5009825977	0.824672823	0.7520181218
TGME49_203710	0.07761972262	0.06899532904	0.1283319615	0.312623123	0.178443331
TGME49_254290	0.04782592456	0.002491766795	0.002365963442	0.02106516957	0.1685577121
TGME49_284660	0.2624337094	0.2953990289	0.3898488791	0.522195088	0.1635499608
TGME49_254940	0.3449223214	0.4598742804	0.4804565169	0.5186924229	0.2446585578
TGME49_313240	0.02355826658	0.07134786046	0.06150790761	0.09149147847	0.02172444321
TGME49_227820	0.09144905148	0.0259080938	0.03472589711	0.08414857525	0.05050692346
TGME49_226030	0.3537147189	0.2249383697	0.1334022339	0.3738406006	0.8269869424
TGME49_276110	0.01275240404	0.002139530969	0.03209854986	0.1815581118	0.06180140965
TGME49_275610	0.01335340616	0.002948451093	0.01189470434	0.09279629487	0.5486244251
TGME49_213690	0.06711490671	0.07113725589	0.1511966706	0.2099687697	0.114680686
TGME49_213392	0.08201432418	0.1214770618	0.1283603308	0.2531598536	0.1885606597
TGME49_298050	0.009749273099	0.02531707353	0.0664506549	0.07325666622	0.01229799211
TGME49_290840	0.0507798589	0.1092238484	0.118536324	0.125868328	0.01259871983
TGME49_244530	0.5434448723	1.108070544	0.6311103912	0.2022786939	0.05537420496
TGME49_218960	0.253105151	0.1879924354	0.1790756048	0.1372326472	0.1308210548
TGME49_222160	0.2235504661	0.188263288	0.3959544897	0.4516074155	0.2718677647
TGME49_221460	0.1407549802	0.2030945971	0.2035402555	0.339442098	0.1035011557
TGME49_264940	0.251938213	0.14101062	0.1826700321	0.2546279316	0.03745308915
TGME49_293790	2.827827647	3.11309477	3.630855219	2.275088695	0.7005749872
TGME49_291140	0.2946459146	0.3348258134	0.4495128829	0.4788910487	0.2875559409
TGME49_286690	0.02279318923	0.09688616538	0.05842468387	0.0662964874	0
TGME49_295730	0.149821648	0.1560971326	0.3342319771	0.2983270325	0
TGME49_313060	0.07203109327	0.1503694948	0.1449837158	0.1462360594	0.009396425141
TGME49_295950	0.1603507108	0.3200056189	0.2898151452	0.1272296466	0.03715040049
TGME49_306930	0.1621993822	0.0929912185	0.2736502529	0.4254540211	0.5744341134
TGME49_313280	0.04999525351	0.1502831975	0.1121219021	0.0694620909	0.01206898291
TGME49_233760	0.03550025289	0.09338415714	0.1039875302	0.03414373871	0.1701500884
TGME49_309420	0.01163342398	0.04178584338	0.04792657637	0.035555243	0.2005781597
TGME49_204880	0.1070548269	0.002128943089	0.02051275499	0.0176957052	0.7650124642
TGME49_319658	0.003603622392	0.0293302584	0.0380528633	0.05919887572	0.01542226073
TGME49_242260	0.1184757813	0.06174606997	0.06789999292	0.03576307937	0.08004229752
TGME49_201270	0.1029029641	0.1402463715	0.227486543	0.1911085583	0.05279483014
TGME49_268370	0.08946486522	0.1879722005	0.1301193178	0.2165968831	0.07364820892
TGME49_269690	0.7239298805	1.04531924	0.9351576466	0.6270065679	0.2025079855
TGME49_290970	0.2707281817	0.2311172611	0.3821720188	0.606778483	0.5254432613
TGME49_287250	0.0086006674	0.1069829655	0.02302542367	0.01319865018	0
TGME49_226710	0.111194255	0.009722237015	0.03396666568	0.1317295377	0.2784946715
TGME49_305020	0.01565075545	0.06947275163	0.05870143183	0.06546462069	0
TGME49_292300	0.009314906163	0.0539308156	0.0398931952	0.03486054792	0.09244020058
TGME49_208510	0.007069049361	0.04922166192	0.03762398245	0.0503316766	0
TGME49_266920	1.129857827	0.9844188165	1.077910114	0.8329931726	0.5496840235
TGME49_244000	0.2569903969	0.4891101451	0.3724040567	0.2413770168	0.04366092438
TGME49_267690	0.02242411265	0.0488521617	0.07523365393	0.1100492455	0.02327983785
TGME49_213030	0.4371198091	0.1632522133	0.3021317752	0.5045826882	0.9396137166
TGME49_218358	0.07896609524	0.1931075572	0.1649390328	0.08369518082	0.009396425141
TGME49_293180	0.1367971562	0.2810700388	0.1409943722	0.3085999603	0.07461095682
TGME49_234610	0.05134879102	0.1218327163	0.1160687734	0.1129834033	0.02487064016
TGME49_258130	0.04983868581	0.06741507404	0.1037033588	0.1897314972	0.1785381958
TGME49_268182	0.01710633145	0.001990743282	0	0	0.02348065115
TGME49_301400	1.427638176	1.971055919	1.637940635	1.064763868	0.7270546574
TGME49_208390	0.06357965198	0.06690849602	0.111577981	0.2637153223	0.08781564975
TGME49_250940	0	0.0478808615	0.01765758676	0.007954315453	0.04037543166
TGME49_231865	0.01754288167	0.004790880463	0.001963222376	0	0
TGME49_300611	1.571929249	1.487953723	1.527526365	0.9445515312	0.9348644968
TGME49_211280	0.0147344674	0.002265483602	0.00425217123	0	0
TGME49_301340	0.1776931983	0.2875855943	0.2620706787	0.2780845366	0.1764739111
TGME49_202610	0.08980709069	0.1982367289	0.1016863695	0.2241924605	0.0621475401
TGME49_309865	0.01302338689	0.01518101408	0.04544673285	0.1427332385	0.02862712249
TGME49_310180	0.5270759081	0.4122993289	0.5774505555	1.204740357	1.077278129
TGME49_203740	0.003284605276	0.01498716016	0.004479011248	0.1054044535	0.06148571194
TGME49_291170	0.04295734048	0.05761208385	0.08641078585	0.2161920518	0.06188078573
TGME49_231992	0.03883030205	0.004746501016	0.002494242293	0.003250632246	0.1300329886
TGME49_211350	0.013734169	0.04282060956	0.05221186016	0.06913830114	0.08981415081
TGME49_231210	0.2240682941	0.1258973221	0.1652230643	0.07450707383	0.3753455048
TGME49_216335	0.02645858117	0.002192895737	0.008612909627	0.01358064217	0
TGME49_253070	0.02399310125	0.0075329094	0.002365963442	0.01570950387	0
TGME49_293370	0.04117619066	0.1462272704	0.06696086431	0.0967735595	0.01542226073
TGME49_281620	0.006026196421	0.009728216757	0.05659002242	0.08623010164	0.01145738438
TGME49_312340	0.005475219474	0.0331170916	0.03029893254	0.08026784489	0
TGME49_208842	0.01635040341	0.02598524334	0.0572673887	0.1149498116	0.04821887521
TGME49_263760	0.006879605328	0.03479509812	0.04240927526	0.05377543954	0.02768413738
TGME49_244380	0.1139032298	0.1816482952	0.1802631702	0.2629120287	0.1696009736
TGME49_289950	0.08133240622	0.1630995396	0.1331826923	0.1383350385	0.1276912495
TGME49_246600	0.1768916681	0.09257821336	0.1213991212	0.1123972398	0.2008497726
TGME49_269470	0.03083566389	0.002509325817	0.01363948367	0.003590357732	0.02854304521
TGME49_239290	0.02981912954	0	0.009172144299	0.01619721389	0.0274871892
TGME49_283860	0.07423108355	0.03326734162	0.03864016029	0.02293661662	0.07387658432
TGME49_240570	0.0754154056	0.1638826945	0.09484570055	0.1091155283	0.3319766376
TGME49_266310	0.06813954322	0.01193281819	0.04099199473	0.01483138578	0.1332363997
TGME49_244060	0.388854038	0.3011355856	0.2669888793	0.2256129444	0.5007107092
TGME49_244190	0.5227263402	0.3067459134	0.3864604214	0.4109213718	1.224469264
TGME49_286480	0.06628021051	0.14575379	0.1334815872	0.08879637484	0.1161878504
TGME49_201150	0.04369749092	0.1124309318	0.1229234714	0.05542939755	0.08361861119
TGME49_209900	0.0471728743	0.02064162274	0.03501882713	0.2170650295	0.6451635736
TGME49_224570	0.06227382362	0.002653173077	0.04062716203	0.03988340505	0.0347300588
TGME49_226560	0.2659775069	0.4593937497	0.343256911	0.3297773672	0.1051748053
TGME49_263870	0.0231603228	0.051639399	0.06598520374	0.09393113273	0.06426296438
TGME49_203620	0.01242747399	0.02689855973	0.04656815145	0.1204958225	0.03886179248
TGME49_297060	1.061864501	0.4706491374	1.071242759	1.418948908	0.6589900562
TGME49_202760	0.1073072855	0.2425050873	0.1971797423	0.08389892101	0.03198104389
TGME49_293600	0.03281848503	0.06165057259	0.08513959406	0.1288769347	0.03145634969
TGME49_288685	0.03995997966	0.1214468928	0.06988564865	0.1351896019	0
TGME49_249390	0.2754289982	0.4081795364	0.3766364593	0.419049615	0.1299656711
TGME49_320430	0.1174057897	0.1802915922	0.1954870484	0.2646460237	0.09331491911
TGME49_271780	0.06093795626	0.01747791947	0.02565206685	0.04715088797	0.04018047703
TGME49_297280	0.04800762314	0.04227325647	0.004645729142	0	0
TGME49_225810	0.1120300991	0.1239353708	0.1476034494	0.3770455131	0.2249205237
TGME49_318620	0.006160428609	0.05458813558	0.03202222456	0.04086663851	0
TGME49_222910	0.05824025317	0.0741024966	0.1143767025	0.167076069	0.2374269243
TGME49_235140	0.2332205513	0.405708988	0.3909502594	0.1798451451	0.04528823218
TGME49_316620	0.1612089326	0.04973503603	0.1097611758	0.1305668335	0.2532133023
TGME49_290180	0.006874598622	0.02536806993	0.03246463611	0.07113321354	0.05404084893
TGME49_355210	1.494024446	1.353498356	1.425452963	1.031979828	1.293306916
TGME49_203370	0.05018249653	0.1710956796	0.07804307404	0.06420227003	0.04081035346
TGME49_272660	0.3748369069	0.07844829897	0.3170136312	0.4449548726	0.6896796005
TGME49_225530	0.08987008445	0.206996133	0.1133409766	0.1879316632	0.1838901981
TGME49_239310	0.2495177183	0.1392885174	0.1983603315	0.1883334639	0.09267841251
TGME49_249690	0.03293720372	0.05662750322	0.08540156393	0.1173315117	0.1001110672
TGME49_247600	0.1780148226	0.07413506907	0.08738473103	0.144353371	0.4017546924
TGME49_293480	0.08728793793	0.01681388761	0.07390265147	0.04527492017	0.09624373804
TGME49_261970	0.2615817317	0.2533219948	0.5357377559	0.3248589986	0.01206492847
TGME49_293550	0.2602683445	0.144536311	0.1670047883	0.1302570068	0.5645469104
TGME49_211610	0.04010028971	0.131818724	0.09234530628	0.04301101342	0.02607470321
TGME49_239440	0.0751719289	0.1266466286	0.1238927315	0.1975426872	0.08425864203
TGME49_259660	0.1701679917	0.2149020075	0.1547190417	0.5020063887	0.2911428252
TGME49_272590	0.04681213607	0.02432216173	0.1393452308	0.1875189354	0.025292188
TGME49_265780	0.06068787724	0.008250262962	0.01446368774	0.04444997081	0.1585702772
TGME49_233100	0.298773093	0.4786677845	0.3939281152	0.3622698438	0.1153813056
TGME49_220170	0.1285485401	0.2168857775	0.2196857265	0.2122644634	0.04486723885
TGME49_252480	0.02204234233	0.03094694702	0.04691394177	0.1717022958	0.05436111785
TGME49_247460	0.1589759496	0.1889922261	0.1735157419	0.3530442223	0.5726555058
TGME49_267820	0.04295113947	0.007191292133	0.02964303826	0.01186413936	0
TGME49_307270	0.1978968632	0.2693007018	0.2859314877	0.3761697955	0.1240975233
