gene_id	n_m6a_peaks
TGME49_297640	2
TGME49_307000	2
TGME49_215920	2
TGME49_268580	2
TGME49_216040	2
TGME49_257625	2
TGME49_315220	2
TGME49_257350	2
TGME49_202860	2
TGME49_257650	2
TGME49_201680	2
TGME49_221970	2
TGME49_313418	2
TGME49_313030	2
TGME49_223940	2
TGME49_297245	2
TGME49_259168	2
TGME49_221500	2
TGME49_212290	2
TGME49_205460	2
TGME49_205110	2
TGME49_260620	2
TGME49_204120	2
TGME49_203720	2
TGME49_227650	2
TGME49_244840	2
TGME49_306600	2
TGME49_314000	2
TGME49_208390	2
TGME49_300055	2
TGME49_294880	2
TGME49_293550	2
TGME49_293510	2
TGME49_218570	2
TGME49_247020	2
TGME49_305540	2
TGME49_222155	2
TGME49_292010	2
TGME49_299040	2
TGME49_245540	2
TGME49_320480	2
TGME49_209095	2
TGME49_277500	2
TGME49_277980	2
TGME49_207940	2
TGME49_208200	2
TGME49_278600	2
TGME49_208490	2
TGME49_251600	2
TGME49_209420	2
TGME49_249390	2
TGME49_209870	2
TGME49_252440	2
TGME49_321360	2
TGME49_321290	2
TGME49_220175	2
TGME49_220510	2
TGME49_212860	2
TGME49_289150	2
TGME49_288920	2
TGME49_246475	2
TGME49_289200	2
TGME49_301250	2
TGME49_320610	2
TGME49_320130	2
TGME49_320110	2
TGME49_320000	2
TGME49_319910	2
TGME49_277880	2
TGME49_319850	2
TGME49_211480	2
TGME49_211420	2
TGME49_211220	2
TGME49_210980	2
TGME49_265440	2
TGME49_264660	2
TGME49_251390	2
TGME49_320470	2
TGME49_249950	2
TGME49_249820	2
TGME49_248960	2
TGME49_305980	2
TGME49_248520	2
TGME49_267350	2
TGME49_248300	2
TGME49_266910	2
TGME49_266670	2
TGME49_266030	2
TGME49_265500	2
TGME49_265010	2
TGME49_264900	2
TGME49_246570	2
TGME49_213072	2
TGME49_208420	2
TGME49_240840	2
TGME49_284170	2
TGME49_216375	2
TGME49_252310	2
TGME49_244280	2
TGME49_241830	2
TGME49_241180	2
TGME49_316090	2
TGME49_286440	2
TGME49_240630	2
TGME49_275802	2
TGME49_241165	2
TGME49_285760	2
TGME49_285425	2
TGME49_315470	2
TGME49_285700	2
TGME49_217010	2
TGME49_316570	2
TGME49_240070	2
TGME49_286450	2
TGME49_216930	2
TGME49_243760	2
TGME49_243600	2
TGME49_286928	2
TGME49_314020	2
TGME49_246190	2
TGME49_246050	1
TGME49_221580	1
TGME49_216600	1
TGME49_222940	1
TGME49_245746	1
TGME49_248390	1
TGME49_311740	1
TGME49_245660	1
TGME49_222910	1
TGME49_245620	1
TGME49_248490	1
TGME49_223690	1
TGME49_310490	1
TGME49_316310	1
TGME49_212090	1
TGME49_310390	1
TGME49_223590	1
TGME49_246120	1
TGME49_311290	1
TGME49_221685	1
TGME49_212310	1
TGME49_316350	1
TGME49_315810	1
TGME49_212240	1
TGME49_246970	1
TGME49_212150	1
TGME49_246630	1
TGME49_247350	1
TGME49_216090	1
TGME49_224140	1
TGME49_277990	1
TGME49_314710	1
TGME49_226090	1
TGME49_312820	1
TGME49_312990	1
TGME49_227640	1
TGME49_220880	1
TGME49_226570	1
TGME49_314390	1
TGME49_248940	1
TGME49_227280	1
TGME49_314310	1
TGME49_313385	1
TGME49_227600	1
TGME49_287515	1
TGME49_227620	1
TGME49_222880	1
TGME49_226000	1
TGME49_315310	1
TGME49_220920	1
TGME49_278230	1
TGME49_249370	1
TGME49_221450	1
TGME49_245460	1
TGME49_249910	1
TGME49_312105	1
TGME49_250330	1
TGME49_224580	1
TGME49_224600	1
TGME49_221530	1
TGME49_312260	1
TGME49_221420	1
TGME49_312500	1
