Gene ID	Fold Change (Avg)	Avg Ref
TGME49_203230	-4.9	27.38
TGME49_203240	-2.2	56.51
TGME49_203250	13.8	0.79
TGME49_203260	-1.5	11.8
TGME49_203270	-1.3	17.73
TGME49_203280	-1.2	35.8
TGME49_203290	-351.6	1515.31
TGME49_203300	-1.7	29.42
TGME49_203310	-26	5104.51
TGME49_203320	-1.2	10.49
TGME49_203330	52.2	0.08
TGME49_203340	108.7	1.55
TGME49_203350	-1.9	36.73
TGME49_203358	-1.7	22.81
TGME49_203362	1.2	31.46
TGME49_203370	1.7	41.61
TGME49_203375	1	0.16
TGME49_203380	-1.1	58.39
TGME49_203390	-3.9	136.93
TGME49_203400	-1.6	132.68
TGME49_203420	-2.1	25.92
TGME49_203440	-1.3	6.83
TGME49_203450	-1.4	111.97
TGME49_203450	-1.4	111.97
TGME49_203460	1.1	57.65
TGME49_203470	1	0.43
TGME49_203480	-1.1	16.98
TGME49_203490	1.6	35.76
TGME49_203500	2336.6	2.01
TGME49_203505	107.1	0.51
TGME49_203510	-1.1	47.82
TGME49_203520	-1.3	14.63
TGME49_203540	-6.8	82.93
TGME49_203590	48.6	0.04
TGME49_203600	2.9	155.62
TGME49_203610	-1.1	56.01
TGME49_203620	1.1	31.87
TGME49_203630	3.2	1082.38
TGME49_203665	-1.2	2.54
TGME49_203682	-3.1	0.68
TGME49_203685	6.3	1.45
TGME49_203688	1.8	4.78
TGME49_203690	-1.4	31.41
TGME49_203700	-1.3	112.07
TGME49_203705	-2.5	27.92
TGME49_203710	-1.8	49.2
TGME49_203720	-3.7	350.45
TGME49_203730	-1.7	32.72
TGME49_203740	-57.9	202.91
TGME49_203750	1.2	19.53
TGME49_203760	1.5	22.51
TGME49_203770	15.4	2.67
TGME49_203780	1.7	33.98
TGME49_203790	-2992.4	930.76
TGME49_203800	52.6	0.4
TGME49_203810	-1.7	88.15
TGME49_203815	-28.2	40.31
TGME49_203820	-6.7	117.05
TGME49_203830	2.2	20.13
TGME49_203840	1	12.02
TGME49_203860	1	13.19
TGME49_203870	1.5	41.87
TGME49_203880	-126.4	72.85
TGME49_203890	12	0.42
TGME49_203900	75.1	0
TGME49_203910	-3.2	49.08
TGME49_203930	-68.2	364.34
TGME49_203940	1.3	12.68
TGME49_203950	-1.6	21.61
TGME49_203960	-1.1	25.6
TGME49_203970	1	29.43
TGME49_203980	-2	74.53
TGME49_203985	1	0.18
TGME49_203990	-11.9	562.66
TGME49_204000	122.6	0.68
TGME49_204010	12.7	4.04
TGME49_204020	1.8	1292.81
TGME49_204040	-2.6	42.16
TGME49_204045	-2.1	8.78
TGME49_204050	-1010.7	996.33
TGME49_204060	-4.3	39.8
TGME49_204070	-1	28.03
TGME49_204080	-3.4	66.55
TGME49_204090	-2.2	7.81
TGME49_204100	-2.2	18.48
TGME49_204110	-2.3	19
TGME49_204120	-1.1	26.49
TGME49_204130	-200.2	315.12
TGME49_204140	-1.2	7.44
TGME49_204160	-1.2	28.2
TGME49_204270	-1.6	40.49
