gene_id	gene_name	previous_ids	product
PF3D7_0105900	N/A	Previous IDs: MAL1P1.49;PFA0290w	3'-5' exonuclease, putative
PF3D7_0106000	N/A	Previous IDs: MAL1P1.50;PFA0295c	conserved protein, unknown function
PF3D7_0106100	N/A	Previous IDs: MAL1P1.52;PFA0300c	V-type proton ATPase subunit C, putative
PF3D7_0106200	N/A	Previous IDs: MAL1P1.53;PFA0305c	EF hand domain-containing protein, putative
PF3D7_0106300	ATP6	Previous IDs: MAL1P1.54;PFA0310c	calcium-transporting ATPase
PF3D7_0106400	N/A	Previous IDs: MAL1P1.55;PFA0315w	pre-rRNA-processing protein TSR2, putative
PF3D7_0106500	N/A	Previous IDs: MAL1P1.56;PFA0320w	conserved Plasmodium protein, unknown function
PF3D7_0106600	N/A	Previous IDs: MAL1P1.57;PFA0325w	conserved Plasmodium protein, unknown function
PF3D7_0106700	AARP2	Previous IDs: MAL1P1.58;PFA0330w	small ribosomal subunit assembling AARP2 protein
PF3D7_0106800	RAB5c	Previous IDs: MAL1P1.59;PFA0335w	ras-related protein Rab-5C
PF3D7_0106900	IspD	Previous IDs: MAL1P1.60;PFA0340w	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative
PF3D7_0107000	CEN1	Previous IDs: MAL1P1.61;PFA0345w	centrin-1
PF3D7_0107100	N/A	Previous IDs: MAL1P1.63;PFA0350c	conserved protein, unknown function
PF3D7_0107200	CCR4-3	Previous IDs: MAL1P1.64;PFA0350w;PFA0355w;PFA0355w:exon:1	CCR4 domain-containing protein 3, putative
PF3D7_0107300	N/A	Previous IDs: MAL1P1.65;PFA0360c	conserved Plasmodium protein, unknown function
PF3D7_0107400	ATPk	Previous IDs: MAL1P2.02;PFA0370w	ATP synthase-associated protein, putative
PF3D7_0107500	NCR1	Previous IDs: MAL1P2.03;PFA0375c	Niemann-Pick type C1-related protein
PF3D7_0107600	eIK2	Previous IDs: MAL1P2.04;PFA0380w	eukaryotic translation initiation factor 2-alpha kinase 2, putative
PF3D7_0107700	N/A	Previous IDs: MAL1P2.05;PFA0385w	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative
PF3D7_0107800	MRE11	Previous IDs: MAL1P2.06;PFA0390w	double-strand break repair protein MRE11
PF3D7_0107900	N/A	Previous IDs: PFA0395c;PFA0395w	conserved Plasmodium protein, unknown function
PF3D7_0108000	N/A	Previous IDs: MAL1P2.08;PFA0400c	proteasome subunit beta type-3, putative
PF3D7_0108100	N/A	Previous IDs: MAL1P2.09;PFA0405w	conserved protein, unknown function
PF3D7_0108300	ARP	Previous IDs: MAL1P2.10;PFA0410w	conserved Plasmodium protein, unknown function
PF3D7_0108400	N/A	Previous IDs: MAL1P2.12;PF3D7_0108400.1;PF3D7_0108400.2;PFA0415c	mitochondrial carrier protein, putative
PF3D7_0108400	N/A	Previous IDs: MAL1P2.12;PF3D7_0108400.1;PF3D7_0108400.2;PFA0415c	mitochondrial carrier protein, putative
PF3D7_0108500	N/A	Previous IDs: MAL1P2.13;PFA0420w	ELM2 domain-containing protein, putative
PF3D7_0108600	N/A	Previous IDs: MAL1P2.14;PFA0425c	DnaJ domain-containing protein, putative
PF3D7_0108700	PSOP24	Previous IDs: MAL1P2.15;PFA0430c	secreted ookinete protein, putative
PF3D7_0108800	N/A	Previous IDs: MAL1P2.16;PFA0435w	mitochondrial carrier protein, putative
PF3D7_0108900	N/A	Previous IDs: PF01TR005;PF01TR005:ncRNA	non-coding RNA
PF3D7_0109000	PHIL1	Previous IDs: MAL1P2.17;PFA0440w	photosensitized INA-labeled protein PHIL1
PF3D7_0109100	CCp5	Previous IDs: MAL1P2.18;PFA0445w	LCCL domain-containing protein
PF3D7_0109200	CFIM25	Previous IDs: MAL1P2.19;PFA0450c	cleavage and polyadenylation specificity factor subunit 5, putative
PF3D7_0109300	N/A	Previous IDs: MAL1P2.20;PFA0455c	elongation of fatty acids protein, putative
PF3D7_0109400	N/A	Previous IDs: MAL1P2.21;PFA0460c	tubulin-specific chaperone a, putative
PF3D7_0109500	N/A	Previous IDs: MAL1P2.22;PFA0465c	N-acetyltransferase, GNAT family, putative
PF3D7_0109600	CoSP	Previous IDs: MAL1P2.23;PFA0470c	cold-shock protein
PF3D7_0109700	RRP36	Previous IDs: MAL1P2.24;PFA0475c	rRNA biogenesis protein RRP36, putative
PF3D7_0109800	cPheRS	Previous IDs: MAL1P2.25;PFA0480w	phenylalanine--tRNA ligase alpha subunit
PF3D7_0109850	N/A	Previous IDs: MAL1P2.26;PF3D7_0109900;PF3D7_0109900.1;PF3D7_0109900.2;PFA0485w	phosphatidate cytidylyltransferase, putative
