gene_id	febrile_phospho_max_abs_log2fc	febrile_phospho_n_sites_up	febrile_phospho_n_sites_down
PF3D7_0317200	0.639672	0	0
PF3D7_0317300	0.779768	0	0
PF3D7_0317400	0.915607	0	0
PF3D7_0317500	0.229477	0	0
PF3D7_0317600	0.136958	0	0
PF3D7_0317700	0.494278	0	0
PF3D7_0318200	0.774472	0	0
PF3D7_0318600	0.547737	0	0
PF3D7_0319100	0.165903	0	0
PF3D7_0319500	0.145237	0	0
PF3D7_0319600	0.565758	0	0
PF3D7_0319700	0.555813	0	0
PF3D7_0319900	0.353888	0	0
PF3D7_0320000	0.530011	0	0
PF3D7_0320600	0.105377	0	0
PF3D7_0320900	0.205447	0	0
PF3D7_0321500	0.135067	0	0
PF3D7_0321600	0.236168	0	0
PF3D7_0321700	0.373681	0	0
PF3D7_0321800	0.302398	0	0
PF3D7_0321900	0.787968	0	0
PF3D7_0322000	0.266377	0	0
PF3D7_0322100	0.0673227	0	0
PF3D7_0322400	0.450017	0	0
PF3D7_0322900	0.503088	0	0
PF3D7_0323100	0.435186	0	0
PF3D7_0323500	0.201858	0	0
PF3D7_0323600	0.318128	0	0
PF3D7_0323700	0.511373	0	0
PF3D7_0323800	0.486487	0	0
PF3D7_0401800	1.32618	5	0
PF3D7_0401900	0.212157	0	0
PF3D7_0402000	3.40641	2	0
PF3D7_0402100	0.681717	0	0
PF3D7_0402300	0.00187683	0	0
PF3D7_0402400	1.31265	1	0
PF3D7_0403100	0.205513	0	0
PF3D7_0403200	0.373637	0	0
PF3D7_0403600	0.491748	0	0
PF3D7_0404300	0.589547	0	0
PF3D7_0404600	0.550363	0	0
PF3D7_0405100	0.529687	0	0
PF3D7_0405400	0.621492	0	0
PF3D7_0405700	0.642082	0	0
PF3D7_0406100	0.127393	0	0
PF3D7_0406500	0.590963	0	0
PF3D7_0407300	0.466988	0	0
PF3D7_0407700	0.0661373	0	0
PF3D7_0407800	1.0239	0	1
PF3D7_0407900	0.189132	0	0
PF3D7_0408300	0.979468	0	0
PF3D7_0408500	0.568792	0	0
PF3D7_0409100	0.0434928	0	0
PF3D7_0409300	0.0326576	0	0
PF3D7_0409600	0.329453	0	0
PF3D7_0409800	0.599992	0	0
PF3D7_0410000	0.194747	0	0
PF3D7_0410600	0.430138	0	0
PF3D7_0410800	0.225487	0	0
PF3D7_0410900	0.514028	0	0
PF3D7_0411000	0.216917	0	0
PF3D7_0411300	0.053771	0	0
PF3D7_0411800	0.371433	0	0
PF3D7_0411900	0.289008	0	0
PF3D7_0412000	0.0561361	0	0
PF3D7_0413700	0.425498	0	0
PF3D7_0413900	0.079958	0	0
PF3D7_0414500	0.147702	0	0
PF3D7_0414900	0.322878	0	0
PF3D7_0415200	0.369013	0	0
PF3D7_0415300	0.454933	0	0
PF3D7_0415400	0.226987	0	0
PF3D7_0415800	0.599258	0	0
PF3D7_0415900	0.337573	0	0
PF3D7_0416000	0.324603	0	0
PF3D7_0416200	0.430533	0	0
PF3D7_0416300	0.286963	0	0
PF3D7_0416400	0.147487	0	0
PF3D7_0416800	0.368923	0	0
PF3D7_0416900	0.268883	0	0
PF3D7_0417400	0.307302	0	0
PF3D7_0417800	0.198273	0	0
PF3D7_0418100	0.226147	0	0
PF3D7_0418300	0.332673	0	0
PF3D7_0418600	0.542827	0	0
PF3D7_0418700	0.370872	0	0
PF3D7_0419500	0.214243	0	0
PF3D7_0419600	0.219882	0	0
PF3D7_0419800	0.239278	0	0
PF3D7_0419900	0.773842	0	0
PF3D7_0420000	0.505893	0	0
PF3D7_0420100	0.266438	0	0
PF3D7_0420300	0.540302	0	0
PF3D7_0420600	0.682542	0	0
PF3D7_0422200	0.343607	0	0
PF3D7_0422400	0.467437	0	0
PF3D7_0422500	0.320882	0	0
PF3D7_0423000	0.0288877	0	0
PF3D7_0423500	0.576097	0	0
PF3D7_0423600	0.325479	0	0
PF3D7_0423700	0.0134621	0	0
PF3D7_0424500	1.11824	2	0
PF3D7_0424600	1.34326	2	0
PF3D7_0424700	2.61403	1	0
PF3D7_0425100	0.0637083	0	0
PF3D7_0425200	0.121304	0	0
PF3D7_0500800	2.02356	3	1
PF3D7_0501000	1.2938	1	0
PF3D7_0501200	1.50865	2	0
PF3D7_0501300	0.984118	0	0
PF3D7_0501400	0.891598	0	0
PF3D7_0501800	0.346098	0	0
PF3D7_0502000	0.0582581	0	0
PF3D7_0502100	0.252023	0	0
PF3D7_0502600	0.538978	0	0
PF3D7_0503200	0.268482	0	0
PF3D7_0503300	1.09604	0	1
PF3D7_0503500	0.0891123	0	0
PF3D7_0504000	0.670047	0	0
PF3D7_0504100	0.0302019	0	0
PF3D7_0504600	0.107998	0	0
PF3D7_0504700	0.351102	0	0
PF3D7_0504800	0.440402	0	0
PF3D7_0505000	0.633193	0	0
PF3D7_0505100	0.270123	0	0
PF3D7_0505500	0.664258	0	0
PF3D7_0505700	0.589651	0	0
PF3D7_0505800	0.311048	0	0
PF3D7_0505900	0.542873	0	0
PF3D7_0506100	0.332993	0	0
PF3D7_0506200	0.125648	0	0
PF3D7_0506500	0.350318	0	0
PF3D7_0506800	0.452072	0	0
PF3D7_0506900	0.638677	0	0
PF3D7_0507100	0.417892	0	0
PF3D7_0507600	0.342927	0	0
PF3D7_0507800	0.528848	0	0
PF3D7_0508300	0.269837	0	0
PF3D7_0508500	0.0569925	0	0
PF3D7_0508700	0.252618	0	0
PF3D7_0509000	0.194072	0	0
PF3D7_0509100	0.309707	0	0
PF3D7_0509400	0.394167	0	0
PF3D7_0509500	0.190167	0	0
PF3D7_0509800	0.369232	0	0
PF3D7_0510100	0.710862	0	0
PF3D7_0510200	0.176057	0	0
PF3D7_0510500	0.367377	0	0
PF3D7_0511000	0.448982	0	0
PF3D7_0511300	0.487742	0	0
PF3D7_0511500	0.608118	0	0
PF3D7_0511800	0.197853	0	0
PF3D7_0512000	0.0182371	0	0
PF3D7_0512300	0.267093	0	0
PF3D7_0512600	0.0317326	0	0
PF3D7_0513200	0.245972	0	0
PF3D7_0513300	0.840077	0	0
PF3D7_0513600	0.978713	0	0
PF3D7_0513800	0.0319777	0	0
PF3D7_0514100	0.0423384	0	0
PF3D7_0515000	0.442903	0	0
PF3D7_0515300	0.161407	0	0
PF3D7_0515700	0.742172	0	0
PF3D7_0515900	0.186947	0	0
PF3D7_0516200	0.382803	0	0
PF3D7_0516400	0.614918	0	0
PF3D7_0516700	0.248822	0	0
PF3D7_0516800	0.618517	0	0
PF3D7_0516900	0.416822	0	0
PF3D7_0517000	0.503443	0	0
PF3D7_0517300	1.09038	0	1
PF3D7_0517400	0.963408	0	0
PF3D7_0517500	0.239268	0	0
PF3D7_0517700	0.425579	0	0
PF3D7_0518500	0.137207	0	0
PF3D7_0519000	0.196622	0	0
PF3D7_0519400	0.515488	0	0
PF3D7_0519500	0.235347	0	0
PF3D7_0519600	0.327262	0	0
PF3D7_0519700	0.519012	0	0
PF3D7_0519800	0.528872	0	0
PF3D7_0520000	0.771258	0	0
PF3D7_0520100	0.254552	0	0
PF3D7_0520200	0.139317	0	0
PF3D7_0520600	0.0666418	0	0
PF3D7_0520700	0.384652	0	0
PF3D7_0520900	0.350248	0	0
PF3D7_0521000	0.556111	0	0
PF3D7_0521700	0.143473	0	0
PF3D7_0522100	0.0879831	0	0
PF3D7_0522200	0.231467	0	0
PF3D7_0523000	0.887098	0	0
PF3D7_0523400	0.184418	0	0
PF3D7_0523900	0.379587	0	0
PF3D7_0524000	1.2456	1	0
PF3D7_0525000	0.334682	0	0
PF3D7_0525100	0.178327	0	0
PF3D7_0525200	0.230702	0	0
PF3D7_0525800	0.949327	0	0
PF3D7_0526200	0.0329571	0	0
PF3D7_0526500	0.222898	0	0
PF3D7_0526800	0.324908	0	0
PF3D7_0527000	0.179632	0	0
PF3D7_0527500	0.0714369	0	0
PF3D7_0527600	0.255208	0	0
PF3D7_0527900	0.148478	0	0
PF3D7_0528100	0.611352	0	0
PF3D7_0528400	0.489328	0	0
PF3D7_0528700	0.222472	0	0
PF3D7_0528800	0.285362	0	0
PF3D7_0529400	0.742673	0	0
PF3D7_0529800	0.512888	0	0
PF3D7_0530000	0.242223	0	0
PF3D7_0530900	0.457813	0	0
PF3D7_0531400	0.0371084	0	0
PF3D7_0532100	0.765792	0	0
PF3D7_0532300	1.7148	0	2
PF3D7_0532400	1.21287	1	0
PF3D7_0601900	1.30793	0	1
PF3D7_0602000	0.481772	0	0
PF3D7_0602100	0.119171	0	0
PF3D7_0602500	0.533712	0	0
PF3D7_0602600	0.580667	0	0
PF3D7_0602900	0.204342	0	0
PF3D7_0603000	0.268317	0	0
PF3D7_0603100	0.276867	0	0
PF3D7_0603400	0.742991	0	0
PF3D7_0603500	0.343058	0	0
PF3D7_0603600	0.683632	0	0
PF3D7_0604300	0.280684	0	0
PF3D7_0604500	0.743987	0	0
PF3D7_0605100	0.241207	0	0
PF3D7_0605300	0.120363	0	0
PF3D7_0605800	0.665093	0	0
PF3D7_0606000	0.567068	0	0
PF3D7_0606100	0.327742	0	0
PF3D7_0606500	0.479292	0	0
PF3D7_0606600	0.265388	0	0
PF3D7_0606700	0.718586	0	0
PF3D7_0607000	0.561447	0	0
PF3D7_0607200	0.152197	0	0
PF3D7_0608500	0.102417	0	0
PF3D7_0608700	0.0738068	0	0
PF3D7_0608800	0.485762	0	0
PF3D7_0608900	0.430938	0	0
PF3D7_0609000	0.392267	0	0
PF3D7_0609100	0.265007	0	0
PF3D7_0609300	0.168518	0	0
PF3D7_0609700	0.354553	0	0
PF3D7_0609900	0.149897	0	0
PF3D7_0610200	0.509733	0	0
PF3D7_0610400	0.241858	0	0
PF3D7_0610600	0.812448	0	0
PF3D7_0610800	0.0442829	0	0
PF3D7_0610900	0.800222	0	0
PF3D7_0611400	0.758012	0	0
PF3D7_0611600	0.697892	0	0
PF3D7_0611800	0.490858	0	0
PF3D7_0612100	0.0566173	0	0
PF3D7_0612200	0.320896	0	0
PF3D7_0612900	0.251333	0	0
PF3D7_0613300	0.683563	0	0
PF3D7_0613500	0.0500374	0	0
PF3D7_0613700	0.368592	0	0
PF3D7_0613800	0.853682	0	0
PF3D7_0614300	0.674112	0	0
PF3D7_0614400	0.656118	0	0
PF3D7_0614500	0.278292	0	0
PF3D7_0614800	0.227902	0	0
PF3D7_0614900	0.108222	0	0
PF3D7_0615000	0.123022	0	0
PF3D7_0615400	0.508183	0	0
PF3D7_0615600	0.203722	0	0
PF3D7_0615800	0.100742	0	0
PF3D7_0615900	0.129313	0	0
PF3D7_0616200	0.294783	0	0
PF3D7_0616300	0.166778	0	0
PF3D7_0616600	0.342352	0	0
PF3D7_0616900	0.339387	0	0
PF3D7_0617100	0.613933	0	0
PF3D7_0617200	0.658603	0	0
PF3D7_0617300	0.215299	0	0
PF3D7_0617800	0.537518	0	0
PF3D7_0617900	0.875473	0	0
PF3D7_0618000	1.16902	0	1
PF3D7_0618700	0.164204	0	0
PF3D7_0618900	0.208551	0	0
PF3D7_0619000	0.574078	0	0
PF3D7_0619200	0.0598822	0	0
PF3D7_0619300	0.402258	0	0
PF3D7_0619400	0.558302	0	0
PF3D7_0619500	0.333743	0	0
PF3D7_0619700	0.616763	0	0
PF3D7_0619900	0.155337	0	0
PF3D7_0621100	0.240408	0	0
PF3D7_0621200	0.431791	0	0
PF3D7_0621800	0.317468	0	0
PF3D7_0621900	0.206512	0	0
PF3D7_0622200	0.319077	0	0
PF3D7_0622500	0.128102	0	0
PF3D7_0622800	0.228557	0	0
PF3D7_0622900	0.140602	0	0
PF3D7_0623100	0.863523	0	0
PF3D7_0623600	0.0240526	0	0
PF3D7_0623800	0.488077	0	0
PF3D7_0623900	0.433722	0	0
PF3D7_0624000	0.521132	0	0
PF3D7_0624600	1.08677	0	2
PF3D7_0624900	0.0277271	0	0
PF3D7_0625000	0.280248	0	0
PF3D7_0625200	0.369317	0	0
PF3D7_0625800	0.0360174	0	0
PF3D7_0626000	0.229698	0	0
PF3D7_0626400	0.363797	0	0
PF3D7_0626800	0.197594	0	0
PF3D7_0627100	0.321133	0	0
PF3D7_0627300	0.118728	0	0
PF3D7_0627500	0.0294628	0	0
PF3D7_0627700	0.0297976	0	0
PF3D7_0627800	0.639338	0	0
