gene_id	surface_apicoplast_log2fc	surface_apicoplast_stringent	surface_mitochondrion_log2fc	surface_mitochondrion_stringent	surface_er_log2fc	surface_er_stringent
TGME49_230690	3.459431619	0	2.807354922	0	2.502500341	0
TGME49_230850	0.7983661388	0	1.362570079	0	1	0
TGME49_230860	3.584962501	1				
TGME49_230940	3.415037499	0	2.222392421	0		
TGME49_231070	2	0	3.584962501	0	1.777607579	0
TGME49_231160	0.3625700794	0	0.6571122865	0	0.4930400113	0
TGME49_231210	4	1	3.415037499	1	3.415037499	0
TGME49_231370	3.807354922	1				
TGME49_231630	0.3685390372	0	0.6550099982	0	0.5295493804	0
TGME49_231640	0.5373095251	0	0.7427829208	0	0.6744606516	0
TGME49_232050	3.459431619	1			5.502500341	1
TGME49_232190	3.544320516	0				
TGME49_232250	2.874469118	0	2.938599455	0	2.662965013	0
TGME49_232300	1.478047297	0	2.378511623	0	3.222392421	0
TGME49_232340	2.121015401	0	3.969626351	0	3.566346823	0
TGME49_232410	0.6662626028	0	0.9743133563	0	1.308549065	0
TGME49_232440	3.938599455	0	3.544320516	0	3.544320516	0
TGME49_232550	3.772589504	0	3.807354922	0	3.321928095	0
TGME49_232600	3.459431619	1				
TGME49_232710	1.874469118	0	1.584962501	0		
TGME49_232940	2.584962501	0	3.736965594	0		
TGME49_233100	2.874469118	0	2.432959407	0	3.415037499	0
TGME49_233460	1.180572246	0	1.540568381	0	1.807354922	0
TGME49_233500	4.247927513	1				
TGME49_233540	2.115477217	0				
TGME49_233680	4.058893689	0	3.807354922	0	4.247927513	0
TGME49_234470	2.321928095	0				
TGME49_235160	2.874469118	0	2.502500341	0	2.874469118	0
TGME49_235340	1.716207034	0	1.678071905	0	1.485426827	0
TGME49_235380	1.050626073	0	1.63005039	0	1.415037499	0
TGME49_235470	2.874469118	0	2.847996907	0	4.415037499	0
TGME49_235490	1.584962501	0				
TGME49_235620	1.584962501	0				
TGME49_235970	2.222392421	0	2.321928095	0	2.736965594	0
TGME49_236040	5.392317423	0	4.754887502	0	4.718818247	0
TGME49_236110	1.736965594	0				
TGME49_236930	2	0			4.857980995	0
TGME49_236950	0.5025003405	0	0.7004397181	0	0.6520766966	0
TGME49_237280	1.415037499	0	3.502500341	0		
TGME49_238390	2.874469118	0			4.772589504	1
TGME49_238400	2.874469118	0				
TGME49_238950	4.142957954	1			4.303780748	1
TGME49_239100	2	0				
TGME49_239260	0.1634987323	0	0.5933747405	0	0.0406419845	0
TGME49_239752	2.662965013	1				
TGME49_240280	1.874469118	1			2.584962501	0
TGME49_242070	2.115477217	1	2.415037499	0	2	0
TGME49_242330	1.415037499	0				
TGME49_242660	3.662965013	1				
TGME49_243200	3.584962501	0				
TGME49_243390	3.68182404	0			1.584962501	0
TGME49_243570	1.925999419	0	1.502500341	0	1.222392421	0
TGME49_243710	4.087462841	0	3.459431619	0	3.321928095	0
TGME49_243800	1.874469118	0				
TGME49_243950	2.807354922	0	1.807354922	0	2.201633861	0
TGME49_244040	3.874469118	1				
TGME49_244110	1.874469118	0	3	0	2.807354922	0
TGME49_244320	1.070389328	0	1	0	2.874469118	0
TGME49_244380	5.824428435	0	5.437405312	0	2.645716532	0
TGME49_244470	2.115477217	0	4.169925001	0		
TGME49_244560	3.222392421	0			2	0
TGME49_244840	2.502500341	0			2.662965013	0
TGME49_245460	0.2163179069	0	0.07400058144	0	0.2746223801	0
TGME49_245560	4.857980995	0	5.169925001	0	3.459431619	0
TGME49_245680	1.584962501	0			2.115477217	0
TGME49_246100	3.544320516	0			3	0
TGME49_246220	2.321928095	0				
TGME49_246340	3	1				
TGME49_246460	1.874469118	1			2.502500341	0
TGME49_246550	2.222392421	0	3.321928095	0	0.5849625007	0
TGME49_246600	3.736965594	1			4.392317423	0
TGME49_246690	2.321928095	0				
TGME49_246982	2.938599455	1			4.874469118	0
TGME49_247000	4.36923381	1	1.736965594	0	5.058893689	0
TGME49_247195	3.273018494	1			5.101538026	1
TGME49_247290	3.459431619	1			2	0
TGME49_247510	3.544320516	0			2.736965594	0
TGME49_247760	3.415037499	1	3.058893689	1	2.807354922	0
TGME49_248340	0.7286979782	0	0.7104933828	0	1.273018494	0
TGME49_248390	2.070389328	0	1.874469118	0	2.115477217	0
TGME49_248480	1.192645078	0			1.874469118	0
TGME49_248700	0.4780472968	0	0.60334103	0	0.3692338097	0
TGME49_248740	1.276840205	0	1.299560282	0	1.452512205	0
TGME49_248880	2.222392421	0	2.502500341	0	2.321928095	0
TGME49_249250	1.736965594	0	2.222392421	0		
TGME49_249310	2.321928095	1			1.584962501	0
TGME49_249340	1.584962501	0				
TGME49_249390	4.392317423	0	4.169925001	0	3.874469118	0
TGME49_249550	1.736965594	0				
TGME49_249710	2.874469118	1				
TGME49_249900	0.8073549221	0	0.6780719051	0	1.691877705	0
TGME49_249970	3.624490865	1				
TGME49_250770	1.245112498	0	0.9358696626	0	1.725825037	0
TGME49_250790	2.502500341	0				
TGME49_250820	1.189477799	0	1.64669149	0	1.506959989	0
