gene_id	surface_apicoplast_log2fc	surface_apicoplast_stringent	surface_mitochondrion_log2fc	surface_mitochondrion_stringent	surface_er_log2fc	surface_er_stringent
TGME49_313580			3.169925001	0		
TGME49_314830			1.736965594	0		
TGME49_315770			4.118941073	1	2.662965013	0
TGME49_318210			4.222392421	0		
TGME49_319900			3	0		
TGME49_320080			3.584962501	0		
TGME49_320220			1.584962501	0		
TGME49_500435			1.736965594	0		
TGME49_202500					2.662965013	0
TGME49_202770					1.584962501	0
TGME49_203780					4.345774837	0
TGME49_203970					2.584962501	0
TGME49_205100					2.415037499	0
TGME49_205440					1.874469118	0
TGME49_206320					4.142957954	1
TGME49_206540					1.584962501	0
TGME49_208370					2.115477217	0
TGME49_209800					2.502500341	0
TGME49_211710					2.502500341	0
TGME49_212130					4.841302254	1
TGME49_212980					3.906890596	0
TGME49_213072					2.222392421	0
TGME49_213910					2.321928095	0
TGME49_214110					2.736965594	0
TGME49_214620					4	0
TGME49_215260					1.222392421	0
TGME49_216020					4.564784619	1
TGME49_216260					1.736965594	0
TGME49_216680					2.321928095	0
TGME49_217780					2	0
TGME49_217890					2.115477217	0
TGME49_219190					2	0
TGME49_220360					2.502500341	0
TGME49_222360					2	0
TGME49_222380					1.874469118	0
TGME49_223600					2.662965013	0
TGME49_223760					4.48112669	0
TGME49_226430					2.874469118	1
TGME49_226580					3.662965013	1
TGME49_226600					2.584962501	0
TGME49_226710					3	1
TGME49_227600					2.321928095	0
TGME49_229930					1.584962501	0
TGME49_230700					3.459431619	0
TGME49_230980					3.222392421	0
TGME49_231000					3	0
TGME49_231850					2.584962501	0
TGME49_232080					5.183221824	0
TGME49_232730					2	0
TGME49_233220					4.544320516	0
TGME49_235660					2.807354922	0
TGME49_236620					2.115477217	0
TGME49_236840					2	0
TGME49_236910					2	0
TGME49_237150					3.169925001	0
TGME49_238040					4.523561956	0
TGME49_239250					3.841302254	0
TGME49_239748					1.874469118	0
TGME49_239770					1.415037499	0
TGME49_240440					3.36923381	0
TGME49_240510					3.544320516	0
TGME49_240650					1.415037499	0
TGME49_241160					1.584962501	0
TGME49_242380					2.115477217	0
TGME49_243290					3	1
TGME49_243410					3.415037499	0
TGME49_244370					3.584962501	0
TGME49_244550					3.544320516	1
TGME49_244910					3.841302254	1
TGME49_245510					2.584962501	0
TGME49_246080					2.115477217	0
TGME49_247380					2.736965594	1
TGME49_248100					2.502500341	0
TGME49_250870					2	0
TGME49_251630					2.584962501	0
TGME49_252340					4.222392421	0
TGME49_252440					1.736965594	0
TGME49_253880					2.584962501	1
TGME49_255980					3.36923381	0
TGME49_256050					1.736965594	0
TGME49_257080					3.321928095	0
TGME49_257090					1.874469118	0
TGME49_257380					2.874469118	0
TGME49_257510					2.321928095	0
TGME49_257520					2.874469118	1
TGME49_258180					2.222392421	1
TGME49_258820					1.736965594	0
TGME49_258826					4.345774837	0
TGME49_259040					2.874469118	1
TGME49_259200					2.807354922	0
TGME49_259550					1.736965594	0
TGME49_259640					4.754887502	0
TGME49_260470					2.938599455	0
TGME49_260630					3.502500341	0
TGME49_261480					2.584962501	1
TGME49_262080					2.584962501	1
TGME49_262610					2.502500341	0
TGME49_263100					1.584962501	0
TGME49_263130					2.115477217	0
TGME49_263710					1.874469118	0
TGME49_263810					2.874469118	0
TGME49_264440					3.841302254	0
TGME49_264870					2.415037499	0
TGME49_266320					1.874469118	0
TGME49_267430					4.437405312	0
TGME49_267530					2.415037499	0
TGME49_267590					3.222392421	0
TGME49_267650					4.624490865	0
TGME49_267720					2.415037499	0
TGME49_268340					3.169925001	0
TGME49_268720					1.874469118	0
TGME49_269150					2.502500341	0
TGME49_269260					1.736965594	0
TGME49_269290					3.544320516	0
TGME49_269980					4.624490865	0
TGME49_270070					2.115477217	0
TGME49_270220					4.584962501	0
TGME49_271888					2.415037499	0
TGME49_271935					2.938599455	1
TGME49_275490					4.502500341	1
TGME49_275568					2.115477217	0
TGME49_275650					1.736965594	0
TGME49_276140					2.222392421	0
TGME49_276170					1.584962501	0
TGME49_276220					2.115477217	0
TGME49_276890					2.415037499	0
TGME49_277000					2	0
TGME49_277870					3.36923381	0
TGME49_277910					4.196397213	0
TGME49_278030					4.718818247	0
TGME49_278630					2.736965594	0
TGME49_278660					2.222392421	0
TGME49_278890					3	0
TGME49_278960					3.321928095	0
TGME49_280400					2.321928095	0
TGME49_280410					2.321928095	0
TGME49_281440					3.502500341	0
TGME49_281640					2.222392421	1
TGME49_286230					2.874469118	0
TGME49_286510					1.736965594	0
TGME49_286750					1.736965594	0
TGME49_288030					3.736965594	1
TGME49_288260					2.321928095	0
TGME49_288630					1.584962501	0
TGME49_289330					2.502500341	0
TGME49_289570					3.736965594	0
TGME49_289880					2.222392421	0
TGME49_290240					1.874469118	0
TGME49_291950					3.624490865	0
TGME49_292340					2	0
TGME49_294050					2	0
TGME49_294250					1.584962501	0
TGME49_295080					2.736965594	0
TGME49_295090					1.874469118	0
TGME49_296950					3.169925001	0
TGME49_297500					1.736965594	0
TGME49_298630					2.321928095	0
TGME49_299110					4	0
TGME49_300290					2.321928095	0
TGME49_304460					1.584962501	0
TGME49_304990					4.222392421	0
TGME49_305540					3.906890596	0
TGME49_306220					1.415037499	0
TGME49_307860					4.222392421	0
TGME49_309265					2.584962501	0
TGME49_309910					2.415037499	0
TGME49_310950					2.115477217	0
TGME49_311920					4.115477217	0
TGME49_312100					2.415037499	0
TGME49_312622					3.415037499	0
TGME49_312700					1.874469118	0
TGME49_313100					2.736965594	0
TGME49_313410					1.736965594	0
TGME49_314850					2.415037499	0
TGME49_315750					1	0
TGME49_316230					3.807354922	0
TGME49_316730					2.415037499	0
TGME49_318160					2.115477217	0
TGME49_319300					1.584962501	0
TGME49_319620					2	0
TGME49_319640					2.415037499	0
TGME49_321340					2.874469118	0
TGME49_321660					2.662965013	1
TGME49_500109					2.662965013	1
TGME49_500125					1.415037499	0
TGME49_500140					2.807354922	0
