gene_id	chromprox_hp1_log2fc	chromprox_hp1_hit	chromprox_h3k27ac_log2fc	chromprox_h3k27ac_hit	chromprox_h3k4me3_log2fc	chromprox_h3k4me3_hit	chromprox_centromere_log2fc	chromprox_centromere_hit
PF3D7_0215700	-0.0277824	0	0.775112	0	0.152391	0	0.0479351	0
PF3D7_0703200	6.05832	1	4.61754	1	1.09959	1	0.700445	0
PF3D7_0606000	1.12671	0	-1.06865	0	-0.383854	0	-0.773035	0
PF3D7_1322200	-0.00152715	0	0.357367	0	0.17143	0	0.631967	0
PF3D7_1449500	1.61019	1	0.566852	0	0.426033	0	0.623088	0
PF3D7_0704300	-0.82726	0	-0.583206	0	-0.163551	0	-1.30139	0
PF3D7_0823800	0.224903	0	0.312275	0	0.138635	0	-0.108179	0
PF3D7_1145400	-0.861081	0	-0.696138	0	-0.234753	0	-0.941191	0
PF3D7_0724700	1.28971	0	3.31037	1	1.38002	1	0.258309	0
PF3D7_1211600	0.635177	0	2.67435	1	1.34384	1	0.161156	0
PF3D7_0723800	-0.509765	0	-0.544218	0	-0.0897388	0	1.55632	1
PF3D7_1417600	0.566139	0	2.21078	1	0.996677	1	0.366781	0
PF3D7_0407800	-0.878877	0	-0.922649	0	-0.0365016	0	-0.871318	0
PF3D7_1104200	0.243963	0	2.20633	1	0.883085	1	0.306511	0
PF3D7_0724600	0.334876	0	-0.648166	0	-0.297472	0	-1.03686	0
PF3D7_1419400	-0.588089	0	-0.9035	0	-0.118329	0	-0.68521	0
PF3D7_1357400	6.32152	1	1.3691	0				
PF3D7_0318200	-0.178362	0	1.1124	0	0.27604	0	0.311799	0
PF3D7_1462300	0.303586	0	0.0448023	0	0.0102851	0	-0.3071	0
PF3D7_1448300	2.3902	1	1.53001	1	0.86447	1	0.496344	0
PF3D7_1309400	5.1042	1	0.524113	0	0.27109	0	0.803907	0
PF3D7_1203000	3.90569	1	1.56105	1	0.570674	0	0.365332	0
PF3D7_0801000	-0.949615	0	-0.829858	0	-0.0446815	0	0.00157625	0
PF3D7_0615400	-0.223921	0	-0.467346	0	-0.215923	0	-0.84153	0
PF3D7_1209300	2.16948	1	0.723008	0	0.405407	0	0.513136	0
PF3D7_0106300	0.17514	0	0.265121	0	0.0531349	0	-0.19677	0
PF3D7_0317700	6.20407	1	2.13908	1	0.985277	0	0.358521	0
PF3D7_1352400	0.277882	0	0.00972557	0	-0.037988	0	-1.37655	0
PF3D7_1427300	0.0230923	0	-0.943695	0	-0.341082	0	-0.609264	0
PF3D7_0706500	-0.425732	0	-0.309787	0	-0.0883662	0	-0.698837	0
PF3D7_1248700	0.269574	0	2.23796	1	1.17628	1	0.527628	0
PF3D7_0917900	0.379205	0	-0.0983175	0	-0.129098	0	-0.15175	0
PF3D7_1338700	4.21975	1	1.20592	0	0.525817	0	0.319909	0
PF3D7_1464500	-0.350093	0	-0.199829	0	0.0446924	0	-1.03546	0
PF3D7_0405400	0.107194	0	0.395044	0	0.208941	0	0.767351	0
PF3D7_0710200	0.23564	0	0.827471	0	0.304156	0	0.268685	0
PF3D7_1322100	3.0818	1	1.71266	1			0.556532	0
PF3D7_0708400	-0.274426	0	-0.534789	0	-0.170181	0	0.703559	0
