gene_id	pvm_proximity_positive
TGME49_225790	0.0
TGME49_225800	0.0
TGME49_225850	0.0
TGME49_225880	0.0
TGME49_225930	0.0
TGME49_225940	0.0
TGME49_226030	0.0
TGME49_226068	0.0
TGME49_226240	0.0
TGME49_226280	0.0
TGME49_226380	1.0
TGME49_226400	0.0
TGME49_226410	0.0
TGME49_226430	0.0
TGME49_226440	0.0
TGME49_226510	0.0
TGME49_226550	0.0
TGME49_226640	0.0
TGME49_226700	0.0
TGME49_226720	0.0
TGME49_226910	0.0
TGME49_226950	0.0
TGME49_226960	0.0
TGME49_226970	0.0
TGME49_227280	1.0
TGME49_227290	0.0
TGME49_227360	0.0
TGME49_227420	0.0
TGME49_227600	0.0
TGME49_227620	1.0
TGME49_227790	0.0
TGME49_227840	0.0
TGME49_227850	0.0
TGME49_227900	0.0
TGME49_227960	0.0
TGME49_228000	0.0
TGME49_228170	1.0
TGME49_228180	0.0
TGME49_228190	0.0
TGME49_228200	0.0
TGME49_228210	0.0
TGME49_228290	0.0
TGME49_228470	0.0
TGME49_228660	0.0
TGME49_228750	0.0
TGME49_229000	0.0
TGME49_229010	1.0
TGME49_229180	0.0
TGME49_229210	0.0
TGME49_229360	0.0
TGME49_229440	0.0
TGME49_229490	0.0
TGME49_229650	0.0
TGME49_229670	0.0
TGME49_229940	0.0
TGME49_229950	0.0
TGME49_229990	0.0
TGME49_230060	0.0
TGME49_230180	1.0
TGME49_230210	0.0
TGME49_230410	0.0
TGME49_230420	0.0
TGME49_230440	0.0
TGME49_230450	0.0
TGME49_230690	0.0
TGME49_230705	1.0
TGME49_230890	0.0
TGME49_230960	0.0
TGME49_231000	0.0
TGME49_231040	0.0
TGME49_231080	0.0
TGME49_231140	0.0
TGME49_231170	0.0
TGME49_231190	0.0
TGME49_231370	0.0
TGME49_231410	0.0
TGME49_231430	0.0
TGME49_231440	0.0
TGME49_231480	0.0
TGME49_231600	0.0
TGME49_231630	0.0
TGME49_231640	0.0
TGME49_231850	0.0
TGME49_231890	0.0
TGME49_231920	0.0
TGME49_231940	0.0
TGME49_231960	1.0
TGME49_231970	0.0
TGME49_232000	1.0
TGME49_232030	0.0
TGME49_232050	0.0
TGME49_232190	0.0
TGME49_232230	0.0
TGME49_232250	0.0
TGME49_232340	0.0
TGME49_232350	0.0
TGME49_232370	0.0
TGME49_232380	0.0
TGME49_232390	0.0
TGME49_232410	0.0
TGME49_232440	0.0
TGME49_232520	0.0
TGME49_232660	0.0
TGME49_232710	0.0
TGME49_232720	0.0
TGME49_232730	0.0
TGME49_232815	0.0
TGME49_233110	0.0
TGME49_233130	0.0
TGME49_233140	0.0
TGME49_233190	0.0
TGME49_233230	0.0
TGME49_233260	0.0
TGME49_233350	0.0
TGME49_233400	0.0
TGME49_233410	0.0
TGME49_233450	0.0
TGME49_233520	0.0
TGME49_233540	0.0
TGME49_233680	0.0
TGME49_233810	0.0
TGME49_233860	0.0
TGME49_234190	0.0
TGME49_234360	0.0
TGME49_234420	0.0
TGME49_234450	0.0
TGME49_234505	0.0
TGME49_234520	0.0
TGME49_234610	0.0
TGME49_234900	0.0
TGME49_234970	0.0
TGME49_235020	0.0
TGME49_235150	0.0
TGME49_235170	0.0
TGME49_235340	0.0
TGME49_235450	0.0
TGME49_235470	0.0
TGME49_235540	0.0
TGME49_235700	0.0
TGME49_235750	0.0
TGME49_235880	0.0
TGME49_235930	0.0
TGME49_235970	0.0
TGME49_236040	0.0
TGME49_236110	0.0
TGME49_236130	0.0
TGME49_236250	0.0
TGME49_236540	0.0
TGME49_236570	0.0
TGME49_236620	0.0
TGME49_236640	0.0
TGME49_236650	0.0
TGME49_236840	0.0
TGME49_236870	1.0
TGME49_236890	1.0
TGME49_236910	0.0
TGME49_236970	0.0
TGME49_237000	0.0
TGME49_237015	1.0
TGME49_237110	0.0
TGME49_237140	0.0
TGME49_237150	0.0
TGME49_237200	0.0
TGME49_237230	1.0
TGME49_237470	0.0
TGME49_237820	0.0
TGME49_237880	1.0
TGME49_237890	0.0
TGME49_238010	0.0
TGME49_238050	0.0
TGME49_238070	0.0
TGME49_238180	0.0
TGME49_238190	0.0
TGME49_238240	0.0
TGME49_238250	0.0
TGME49_238400	0.0
TGME49_238940	0.0
TGME49_239010	1.0
TGME49_239020	0.0
TGME49_239100	0.0
TGME49_239260	0.0
TGME49_239310	0.0
TGME49_239320	0.0
TGME49_239330	0.0
TGME49_239490	0.0
TGME49_239500	0.0
TGME49_239540	0.0
TGME49_239590	0.0
TGME49_239620	0.0
TGME49_239630	0.0
TGME49_239710	0.0
TGME49_239740	1.0
TGME49_239760	0.0
TGME49_239790	0.0
TGME49_239820	0.0
TGME49_239870	0.0
TGME49_239930	0.0
TGME49_240060	1.0
TGME49_240090	1.0
TGME49_240430	0.0
TGME49_240450	0.0
TGME49_240550	0.0
TGME49_240590	0.0
TGME49_240600	0.0
TGME49_240670	0.0
TGME49_240690	0.0
TGME49_240710	0.0
TGME49_240740	0.0
TGME49_240850	0.0
TGME49_240890	0.0
TGME49_241160	0.0
TGME49_242000	0.0
TGME49_242070	0.0
TGME49_242290	0.0
TGME49_242330	0.0
TGME49_242380	0.0
TGME49_242460	0.0
TGME49_242580	0.0
TGME49_242680	0.0
TGME49_242730	0.0
TGME49_242800	0.0
TGME49_242840	0.0
TGME49_243410	0.0
TGME49_243440	0.0
TGME49_243490	0.0
TGME49_243540	0.0
TGME49_243570	0.0
TGME49_243600	0.0
TGME49_243710	0.0
TGME49_243910	0.0
TGME49_243960	0.0
TGME49_244000	0.0
TGME49_244020	0.0
TGME49_244100	0.0
TGME49_244110	0.0
TGME49_244150	0.0
TGME49_244210	0.0
TGME49_244290	0.0
TGME49_244310	0.0
TGME49_244320	0.0
TGME49_244350	0.0
TGME49_244380	0.0
TGME49_244390	0.0
TGME49_244440	0.0
TGME49_244530	1.0
TGME49_244650	0.0
TGME49_244700	0.0
TGME49_244880	0.0
TGME49_244910	0.0
TGME49_245460	0.0
TGME49_245470	0.0
TGME49_245500	0.0
TGME49_245620	0.0
TGME49_245670	0.0
TGME49_245680	0.0
TGME49_245710	0.0
TGME49_245730	0.0
TGME49_246030	0.0
TGME49_246040	0.0
TGME49_246100	0.0
TGME49_246170	0.0
TGME49_246330	0.0
TGME49_246500	0.0
TGME49_246510	0.0
TGME49_246540	0.0
TGME49_246600	0.0
TGME49_246620	0.0
TGME49_246630	0.0
TGME49_246910	0.0
TGME49_247020	0.0
TGME49_247360	0.0
TGME49_247410	0.0
TGME49_247440	1.0
TGME49_247460	0.0
TGME49_247470	0.0
TGME49_247510	0.0
TGME49_247540	0.0
TGME49_247550	0.0
TGME49_247610	0.0
TGME49_247670	0.0
TGME49_247700	0.0
TGME49_247730	0.0
TGME49_247760	0.0
TGME49_248250	0.0
TGME49_248270	0.0
TGME49_248290	0.0
TGME49_248370	0.0
TGME49_248390	0.0
TGME49_248400	0.0
TGME49_248460	0.0
TGME49_248480	0.0
TGME49_248550	0.0
TGME49_248630	0.0
TGME49_248700	0.0
TGME49_248810	0.0
TGME49_248870	0.0
TGME49_248950	0.0
TGME49_249030	0.0
TGME49_249250	0.0
TGME49_249320	0.0
TGME49_249380	0.0
TGME49_249530	0.0
TGME49_249590	0.0
TGME49_249702	0.0
TGME49_249820	0.0
TGME49_249850	0.0
TGME49_249900	0.0
TGME49_249920	0.0
TGME49_250730	0.0
TGME49_250750	0.0
TGME49_250770	0.0
TGME49_250800	0.0
TGME49_250830	0.0
TGME49_250880	0.0
TGME49_251490	0.0
TGME49_251540	1.0
TGME49_251550	0.0
TGME49_251680	0.0
TGME49_251690	0.0
TGME49_251760	0.0
TGME49_251810	0.0
TGME49_251870	0.0
TGME49_251950	0.0
TGME49_252210	0.0
TGME49_252220	0.0
TGME49_252420	0.0
TGME49_252490	0.0
TGME49_253070	0.0
TGME49_253090	0.0
TGME49_253290	0.0
TGME49_253380	0.0
TGME49_253420	0.0
TGME49_253430	0.0
TGME49_253520	0.0
TGME49_253650	0.0
TGME49_253700	0.0
TGME49_253750	0.0
TGME49_253800	0.0
TGME49_253940	0.0
TGME49_253950	0.0
TGME49_254000	1.0
TGME49_254030	0.0
TGME49_254060	0.0
TGME49_254210	0.0
TGME49_254250	0.0
TGME49_254260	0.0
TGME49_254365	0.0
TGME49_254390	0.0
TGME49_254410	0.0
TGME49_254440	0.0
TGME49_254470	1.0
TGME49_254480	0.0
TGME49_254490	0.0
TGME49_254520	0.0
TGME49_254540	0.0
TGME49_254580	0.0
TGME49_254650	0.0
TGME49_254690	0.0
TGME49_254710	0.0
TGME49_254720	1.0
TGME49_254900	0.0
TGME49_254940	0.0
TGME49_255220	0.0
TGME49_255310	0.0
TGME49_255320	0.0
TGME49_255340	0.0
TGME49_255350	0.0
TGME49_255870	0.0
TGME49_255890	0.0
TGME49_255900	0.0
TGME49_256050	0.0
TGME49_256060	0.0
TGME49_256760	0.0
TGME49_256770	0.0
TGME49_256990	0.0
TGME49_257040	0.0
TGME49_257060	0.0
TGME49_257080	0.0
TGME49_257350	0.0
TGME49_257480	0.0
TGME49_257490	0.0
TGME49_257510	0.0
TGME49_257530	0.0
TGME49_257560	0.0
TGME49_257680	0.0
TGME49_257740	0.0
TGME49_257960	0.0
TGME49_257990	0.0
TGME49_258050	0.0
TGME49_258110	0.0
TGME49_258150	0.0
TGME49_258240	0.0
TGME49_258410	0.0
TGME49_258470	0.0
TGME49_258580	1.0
TGME49_258625	0.0
TGME49_258650	0.0
TGME49_258930	0.0
TGME49_259010	0.0
TGME49_259240	0.0
TGME49_259260	0.0
TGME49_259660	0.0
TGME49_259690	0.0
TGME49_259710	0.0
TGME49_259980	0.0
TGME49_260010	0.0
TGME49_260170	0.0
TGME49_260180	0.0
TGME49_260310	0.0
TGME49_260320	0.0
TGME49_260440	0.0
TGME49_260500	0.0
TGME49_260510	0.0
TGME49_260520	1.0
TGME49_260540	0.0
TGME49_260630	0.0
TGME49_260660	0.0
TGME49_260870	0.0
TGME49_261010	0.0
TGME49_261030	0.0
TGME49_261070	0.0
TGME49_261210	0.0
TGME49_261470	0.0
TGME49_261520	0.0
TGME49_261540	0.0
TGME49_261570	0.0
TGME49_261580	0.0
TGME49_261600	0.0
TGME49_261760	0.0
TGME49_261850	0.0
TGME49_261940	0.0
TGME49_261950	0.0
TGME49_262000	0.0
TGME49_262040	0.0
TGME49_262070	0.0
TGME49_262100	0.0
TGME49_262140	0.0
TGME49_262390	0.0
TGME49_262430	0.0
TGME49_262620	0.0
TGME49_262640	0.0
TGME49_262670	0.0
TGME49_262690	0.0
TGME49_262720	0.0
TGME49_262730	1.0
TGME49_262750	0.0
TGME49_262910	0.0
TGME49_263000	0.0
TGME49_263040	0.0
TGME49_263050	0.0
TGME49_263090	1.0
TGME49_263130	0.0
TGME49_263180	0.0
TGME49_263260	0.0
TGME49_263300	0.0
TGME49_263323	0.0
TGME49_263430	0.0
TGME49_263440	0.0
TGME49_263470	0.0
TGME49_263520	0.0
TGME49_263530	0.0
TGME49_263550	0.0
TGME49_263580	0.0
TGME49_263650	0.0
TGME49_263700	0.0
TGME49_263710	0.0
TGME49_263720	0.0
TGME49_263740	0.0
TGME49_263870	0.0
TGME49_264050	0.0
TGME49_264160	0.0
TGME49_264440	0.0
TGME49_264450	0.0
TGME49_264460	0.0
TGME49_264610	0.0
TGME49_264640	0.0
TGME49_264650	0.0
TGME49_264820	0.0
TGME49_264870	0.0
TGME49_265000	0.0
TGME49_265250	0.0
TGME49_265330	0.0
TGME49_265410	0.0
TGME49_265450	0.0
TGME49_265530	0.0
TGME49_265830	0.0
TGME49_266060	0.0
TGME49_266070	0.0
TGME49_266140	0.0
TGME49_266460	0.0
TGME49_266640	0.0
TGME49_266960	0.0
TGME49_267050	0.0
TGME49_267060	0.0
TGME49_267080	0.0
TGME49_267100	0.0
TGME49_267390	0.0
TGME49_267400	0.0
TGME49_267420	0.0
TGME49_267430	0.0
TGME49_267440	0.0
TGME49_267550	0.0
TGME49_267560	0.0
TGME49_267580	0.0
TGME49_267600	0.0
TGME49_267620	0.0
TGME49_267720	0.0
TGME49_267740	1.0
TGME49_267800	0.0
TGME49_267840	0.0
TGME49_268200	0.0
TGME49_268370	0.0
TGME49_268570	0.0
TGME49_268640	0.0
TGME49_268650	0.0
TGME49_268730	0.0
TGME49_268790	1.0
TGME49_268810	0.0
TGME49_268850	0.0
TGME49_268870	0.0
TGME49_269000	0.0
TGME49_269010	0.0
TGME49_269180	0.0
TGME49_269200	0.0
TGME49_269250	0.0
TGME49_269442	0.0
TGME49_269480	0.0
TGME49_269690	1.0
TGME49_269770	0.0
TGME49_269800	0.0
TGME49_269840	0.0
TGME49_269900	0.0
TGME49_270120	0.0
TGME49_270140	0.0
