gene_id	secretome_soluble_over_vesicle_log2
TGGT1_361650	0.13750352374993502
TGGT1_363030	-0.13750352374993502
TGGT1_410360	1.584962500721156
TGGT1_410370	1.8073549220576042
TGGT1_411470	0.48542682717024166
TGGT1_411760	0.13750352374993502
TGME49_200360	0.2630344058337938
TGME49_201780	4.053111336459563
TGME49_202390	-0.37851162325372983
TGME49_203310	1.0
TGME49_203990	3.4982508675278257
TGME49_204020	1.070389327891398
TGME49_204340	0.8479969065549501
TGME49_205250	0.0
TGME49_205510	2.722466024471091
TGME49_205700	3.711494906650088
TGME49_206470	4.91169158187234
TGME49_206590	3.4329594072761065
TGME49_208830	-0.13750352374993502
TGME49_209030	-0.37851162325372983
TGME49_211680	6.011227255423254
TGME49_212300	-1.4854268271702418
TGME49_213280	-1.2630344058337937
TGME49_214770	-2.321928094887362
TGME49_215980	4.8529975876133165
TGME49_216650	0.37851162325372983
TGME49_216860	2.84799690655495
TGME49_216880	3.3074285251922473
TGME49_217530	0.37851162325372983
TGME49_218410	4.867896463992655
TGME49_218520	3.807354922057604
TGME49_219540	1.9634741239748859
TGME49_219800	2.4059923596758366
TGME49_219850	-1.5360529002402097
TGME49_220240	3.137503523749935
TGME49_220950	1.3785116232537298
TGME49_221620	-0.48542682717024166
TGME49_223920	-0.37851162325372983
TGME49_224460	3.4982508675278257
TGME49_224850	0.6780719051126377
TGME49_225050	2.4059923596758366
TGME49_226380	1.070389327891398
TGME49_226860	0.5849625007211562
TGME49_226960	1.070389327891398
TGME49_227280	0.37851162325372983
TGME49_227620	0.5849625007211562
TGME49_228170	0.925999418556223
TGME49_229210	1.9634741239748859
TGME49_230960	3.9726926540042644
TGME49_232250	2.2016338611696504
TGME49_232280	-0.8479969065549501
TGME49_232350	2.4059923596758366
TGME49_232710	-0.925999418556223
TGME49_233460	0.0
TGME49_234380	3.6322682154995127
TGME49_235470	2.9818526532897405
TGME49_235970	3.0
TGME49_236040	2.6322682154995127
TGME49_237015	1.2016338611696504
TGME49_237180	2.37851162325373
TGME49_239260	0.5849625007211562
TGME49_239740	0.925999418556223
TGME49_239820	2.944858445807539
TGME49_240060	2.321928094887362
TGME49_242070	2.608809242675524
TGME49_243580	3.1858665453113337
TGME49_243930	5.133399125417198
TGME49_244110	0.925999418556223
TGME49_244560	4.572889668420581
TGME49_245460	-2.0
TGME49_245470	0.6780719051126377
TGME49_246130	5.646738698307846
TGME49_247440	3.7548875021634687
TGME49_247510	0.37851162325372983
TGME49_247550	3.1210154009613658
TGME49_248340	0.48542682717024166
TGME49_248880	-0.765534746362977
TGME49_249390	0.925999418556223
TGME49_249590	3.1858665453113337
TGME49_249780	1.2630344058337937
TGME49_251540	2.263034405833794
TGME49_251690	3.4059923596758366
TGME49_251810	4.357552004618084
TGME49_251870	2.1043366598147357
TGME49_254390	4.504620392403552
TGME49_254440	1.1375035237499351
TGME49_254720	0.2630344058337938
TGME49_255260	3.321928094887362
TGME49_256760	3.0531113364595623
TGME49_256970	3.0874628412503395
TGME49_256990	1.4329594072761063
TGME49_257340	-1.5360529002402097
TGME49_258870	1.0
TGME49_260260	4.247927513443585
TGME49_261240	2.035623909730721
TGME49_261250	-1.584962500721156
TGME49_261950	1.5360529002402097
TGME49_262050	0.2630344058337938
TGME49_262620	5.070389327891398
TGME49_262670	-2.5109619192773796
TGME49_262730	3.4982508675278257
TGME49_263060	1.070389327891398
TGME49_263090	3.350497247084133
TGME49_263180	-0.2630344058337938
TGME49_263700	-0.48542682717024166
TGME49_266060	1.3219280948873624
TGME49_266640	2.169925001442312
TGME49_268850	2.5109619192773796
TGME49_269250	0.48542682717024166
TGME49_269840	0.6780719051126377
TGME49_270240	0.48542682717024166
TGME49_270250	5.749534267669262
TGME49_270510	-1.4329594072761063
TGME49_271050	-0.6780719051126377
TGME49_273090	3.263034405833794
TGME49_273760	2.5360529002402097
TGME49_275440	0.8479969065549501
TGME49_275650	3.722466024471091
TGME49_275750	3.1538053360790355
TGME49_276140	-2.608809242675524
TGME49_278830	3.1210154009613658
TGME49_279100	2.035623909730721
TGME49_280380	5.675251386050259
TGME49_283780	2.700439718141092
TGME49_286420	0.5849625007211562
