gene_id	gametocyte_proteome_log2	gametocyte_newly_made
PF3D7_0308000	18.88102432	1
PF3D7_0308200	19.34916242	0
PF3D7_0308500	18.40304116	1
PF3D7_0308600	13.61328301	1
PF3D7_0308900	13.87126676	0
PF3D7_0309000	15.55481765	0
PF3D7_0309100	19.19088807	0
PF3D7_0309200	12.37819369	0
PF3D7_0309300	14.85624395	0
PF3D7_0309500	18.95650945	1
PF3D7_0309600	12.55940657	1
PF3D7_0309800	13.41721522	0
PF3D7_0310300	17.32357379	0
PF3D7_0310500	11.97898329	1
PF3D7_0310600	15.45187649	1
PF3D7_0310700	15.06378267	0
PF3D7_0310800	13.95113898	0
PF3D7_0311300	14.93324804	0
PF3D7_0311600	15.39082055	0
PF3D7_0311800	17.93816294	1
PF3D7_0312100	13.25703862	0
PF3D7_0312200	15.84065992	0
PF3D7_0312300	15.18177603	1
PF3D7_0312400	17.74859907	1
PF3D7_0312500	13.68734652	0
PF3D7_0312800	17.73771167	0
PF3D7_0313000	15.35326057	0
PF3D7_0313600	15.8570074	1
PF3D7_0314000	15.22899276	0
PF3D7_0314100	14.09778251	0
PF3D7_0314400	14.98200721	1
PF3D7_0314700	15.51284641	1
PF3D7_0315100	18.25438125	1
PF3D7_0315300	13.91802154	0
PF3D7_0315400	10.61573997	0
PF3D7_0315700	13.58946584	0
PF3D7_0315800	11.55275074	0
PF3D7_0316300	18.36666941	1
PF3D7_0316500	12.3028074	0
PF3D7_0316600	15.20906619	0
PF3D7_0316700	16.3187405	1
PF3D7_0316800	20.18044339	1
PF3D7_0316900	13.82347671	0
PF3D7_0317000	18.90933157	0
PF3D7_0317600	18.01177869	0
PF3D7_0317700	14.8615296	0
PF3D7_0317800	15.41714048	0
PF3D7_0318100	16.16341185	0
PF3D7_0318200	15.12595691	1
PF3D7_0318300	15.19067093	1
PF3D7_0318400	14.59171907	0
PF3D7_0318900	14.35431597	0
PF3D7_0319000	13.99322442	0
PF3D7_0319100		1
PF3D7_0319200	16.34535211	1
PF3D7_0319600	19.05981093	1
PF3D7_0319700	14.58352747	0
PF3D7_0319800	12.43612158	0
PF3D7_0319900	17.23566212	0
PF3D7_0320000	17.90669882	0
PF3D7_0320100	16.3666347	0
PF3D7_0320300	20.18405286	0
PF3D7_0320600	12.89069368	0
PF3D7_0320700	17.61237419	0
PF3D7_0320800	19.24222357	0
PF3D7_0320900	18.32681421	0
PF3D7_0321600	11.56061943	0
PF3D7_0322000	22.51186443	0
PF3D7_0322100	13.24897959	0
PF3D7_0322400	14.44808188	0
PF3D7_0322800	15.89614789	0
PF3D7_0322900	19.76154149	0
PF3D7_0323000	14.95199951	0
PF3D7_0323100	14.00583212	0
PF3D7_0323300	15.52484775	0
PF3D7_0323500	12.48017338	0
PF3D7_0323800	17.6522638	0
PF3D7_0400700	11.47918407	0
PF3D7_0402000	12.63196974	0
PF3D7_0402100	14.2982965	0
PF3D7_0402400	15.73851277	0
PF3D7_0403100	13.20743789	0
PF3D7_0403700	13.96008642	0
PF3D7_0404300	15.64008391	0
PF3D7_0405100	13.15340636	1
PF3D7_0405400	15.68943294	1
PF3D7_0405600	16.9146771	1
PF3D7_0405700	12.66773102	0
PF3D7_0405800	14.93114378	0
PF3D7_0405900	9.796659937	0
PF3D7_0406000	12.34199872	0
PF3D7_0406100	21.17325624	0
PF3D7_0406200	21.82223056	0
PF3D7_0406400	19.43582826	0
PF3D7_0406500	16.21878079	0
PF3D7_0406700	13.33752109	0
