gene_id	sexual_stage_8dpi_log2fc
TGME49_200010	12.7272779873268
TGME49_200130	-1.28205184385505
TGME49_200270	-8.08799301745643
TGME49_200310	-1.54631515189368
TGME49_200330	6.31883075648327
TGME49_200360	11.039017432494
TGME49_200370	-1.32807911614587
TGME49_200385	7.64935355981591
TGME49_200460	3.26311477650266
TGME49_200470	0.59246381104685
TGME49_200590	1.02247698243744
TGME49_201110	-0.486193544627765
TGME49_201120	-0.326582191982834
TGME49_201140	-1.31132569496548
TGME49_201150	-1.14210954283086
TGME49_201170	3.68342330499019
TGME49_201180	-4.94475248513808
TGME49_201190	-1.09597103169707
TGME49_201210	-3.17824165270556
TGME49_201250	1.38294526261068
TGME49_201270	-1.27114919804627
TGME49_201380	2.79076015289078
TGME49_201390	3.88951148285055
TGME49_201520	11.7980962873542
TGME49_201630	4.00508321466892
TGME49_201670	-1.52586404686369
TGME49_201680	-1.74735434534556
TGME49_201700	-1.14275444471481
TGME49_201710	-1.59841551631196
TGME49_201720	-2.33557788332827
TGME49_201740	3.89419837901764
TGME49_201760	8.22337973316425
TGME49_201770	1.44682509087271
TGME49_201785	14.0601624675558
TGME49_201790	-1.21491363690039
TGME49_201800	-0.90636128817714
TGME49_201810	0.942885051808937
TGME49_201820	-1.99304185479822
TGME49_201830	-0.494366784653132
TGME49_201860	7.22380301448838
TGME49_201870	0.527413199354561
TGME49_201880	-0.247388633047634
TGME49_201900	0.370606756564025
TGME49_202010	-2.35998858038491
TGME49_202040	7.25189915177909
TGME49_202070	8.32336984191836
TGME49_202120	4.76501949406429
TGME49_202140	3.43008604049094
TGME49_202160	-1.80038211152041
TGME49_202170	0.268300127788479
TGME49_202180	1.02931625262849
TGME49_202190	5.29794491155128
TGME49_202200	8.36527561708292
TGME49_202220	0.664104307168203
TGME49_202240	-2.54005513285823
TGME49_202250	-0.125395739216631
TGME49_202290	0.472644209829746
TGME49_202300	-1.22855657247428
TGME49_202350	-1.05546265551208
TGME49_202360	-3.22447140762568
TGME49_202370	-0.837921918887424
TGME49_202380	0.428471036915978
TGME49_202390	1.9188114644062
TGME49_202410	0.228421732096648
TGME49_202420	8.97450654087049
TGME49_202430	5.76802185966924
TGME49_202440	-2.02607808622625
TGME49_202450	0.118251249660845
TGME49_202460	0.125243839724904
TGME49_202470	-1.18272507501572
TGME49_202480	-2.18883912868247
TGME49_202500	3.89430647114137
TGME49_202510	-1.94136646816181
TGME49_202530	-1.50832949739836
TGME49_202540	1.72302624473776
TGME49_202572	-3.31979887709739
TGME49_202580	-2.87863125594818
TGME49_202590	0.294501040310307
TGME49_202620	13.5426082507874
TGME49_202630	-1.19887918875267
TGME49_202650	2.03028575435299
TGME49_202680	-2.06163054429391
TGME49_202700	-1.4228353476223
TGME49_202750	-1.46189945199749
TGME49_202760	-2.23676322101574
TGME49_202770	0.450534163251693
TGME49_202790	-0.697656726756978
TGME49_202800	-1.59960230160673
TGME49_202810	-1.32499444089411
TGME49_202820	0.875646899652962
TGME49_202830	6.58378846838427
TGME49_202840	1.22666608117142
TGME49_202850	-2.74402539810556
TGME49_202860	-1.11832036808945
TGME49_202870	0.162286722536439
TGME49_202890	1.57841944371923
TGME49_202900	-2.22549327594069
TGME49_202920	-0.359876916615088
TGME49_202930	-4.76710021704011
TGME49_202940	0.475557674179329
TGME49_202950	-0.433692173300309
TGME49_202980	-2.35956786561205
TGME49_203010	7.114273735668
TGME49_203020	-0.579292504494104
TGME49_203030	0.895033722082677
TGME49_203060	0.262352344963061
TGME49_203080	-1.61598722683846
TGME49_203120	-2.97582170443351
TGME49_203150	0.228624733723053
TGME49_203160	8.40590968903317
TGME49_203170	0.438504051548923
TGME49_203220	-1.22976802004372
TGME49_203240	3.79954977771834
TGME49_203260	2.00069893102932
TGME49_203270	-5.19524832120151
TGME49_203280	0.892404540029732
TGME49_203290	9.1515441932398
TGME49_203300	3.01390455415024
TGME49_203320	-1.53102243285363
TGME49_203350	1.82452348011163
TGME49_203358	-1.22337122830528
TGME49_203362	-0.710345725124546
TGME49_203370	-3.1055297542212
