gene_id	fit_complete_medium_2025	fit_no_glutamine	fit_no_glucose	fit_glucose_dependence	fit_glucose_dependence_fdr
TGGT1_321420	0.4400401242	-0.05846360323	0.02711505631	0.07150210979	0.9746254055
TGGT1_254760	0.9904995172	0.3338039203	0.4205228248	0.07150460139	0.9779081463
TGGT1_269470	0.6399993107	0.1575902541	0.2414724997	0.07188357657	0.9777221879
TGGT1_224160	-0.3128281016	0.1568298838	0.2164183535	0.07194907935	0.9829041233
TGGT1_261070	-1.996779275	-4.054811962	-4.024010544	0.07210164415	1
TGGT1_246590	1.111153153	0.0171745445	0.08213772536	0.07220625692	0.9795700557
TGGT1_223550	1.450880651	0.5456805634	0.6192890001	0.07223856611	0.9751470249
TGGT1_276960	1.37395617	0.351358739	0.4092691392	0.07227973619	0.9788298962
TGGT1_268310	-0.0756816675	0.5030380897	0.5886290129	0.07229668694	0.9830305785
TGGT1_262050	2.03111748	0.3793188553	0.4560137936	0.07252217436	0.9520740664
TGGT1_253850	-0.4188645356	0.1913523433	0.3118402053	0.07260878384	1
TGGT1_243355	-0.2365083664	0.2415224673	0.4009831012	0.0726617303	0.9864508203
TGGT1_226420	0.5835024907	0.03579250187	0.1230212852	0.07274972003	0.9772400151
TGGT1_219650	1.657663401	0.1364641856	0.2371886163	0.07291212416	0.9779081463
TGGT1_271285	0.8841109891	0.05737869998	0.1275779728	0.07297390554	0.9814980451
TGGT1_282160	1.804723014	0.2801684144	0.3497223974	0.07304015005	0.9631835294
TGGT1_264960	-2.128938075	-1.449196382	-1.687935261	0.07324030036	1
TGGT1_273620	-0.3894715083	-0.1329589254	-0.04103458112	0.0732910523	0.9851433533
TGGT1_216270	0.3229410981	0.462468504	0.5311024813	0.0734396658	0.981822397
TGGT1_210450	-0.609021456	0.1817031006	0.2657896346	0.07362940254	0.9861202126
TGGT1_236080	-2.724227686	-1.258164772	-1.065951705	0.07363577284	1
TGGT1_225210	1.630580645	0.6296248938	0.7037098958	0.07382722123	0.9591122917
TGGT1_262500	0.1086100467	0.4689632104	0.5506397654	0.07385220785	0.9738335516
TGGT1_318575	1.368134272	0.3406381155	0.4167552382	0.07388802274	0.9643156167
TGGT1_310050	0.4822935326	-2.324490469	-2.188839599	0.07422881712	1
TGGT1_225220	0.9980494656	0.1883786797	0.2713023941	0.07445049146	0.9742882553
TGGT1_270200	-0.1691393289	0.3735600693	0.4457859541	0.07452990706	0.9834445231
TGGT1_224530	0.5871268928	-0.3792157467	-0.2990525689	0.0746326459	0.9864240292
TGGT1_281920	-2.840143924	-2.842416764	-2.548192391	0.07464208087	1
TGGT1_223450A	1.093586904	-0.3264948946	-0.1675319217	0.07471156585	0.9955485563
TGGT1_219742	1.051153924	0.4229104746	0.4944306625	0.07485802048	0.9643156167
TGGT1_209740	0.6278742228	0.4857848561	0.5630624454	0.07541300083	0.9738335516
TGGT1_267090	0.6925837924	-0.1037701811	-0.03349521238	0.07640647463	0.9848495507
TGGT1_247920	0.9257425145	0.07328900362	0.1462009105	0.07646231065	0.9777221879
TGGT1_222370	0.9624585863	0.3349540747	0.4382964706	0.07659212568	0.9851433533
TGGT1_224610	0.6400335104	0.234317248	0.3239663856	0.0767023769	0.9779081463
TGGT1_203440	0.05587834405	-0.3668090505	-0.223410329	0.07691408464	1
TGGT1_285750	1.035670179	0.1709070455	0.2540324527	0.07700124173	0.9751470249
TGGT1_260450	1.117057413	-0.1987228471	-0.08449731019	0.07705894546	0.9851433533
TGGT1_258618	1.257681931	0.3780553215	0.4645581662	0.07715859818	0.9643156167
TGGT1_365740	0.7455243734	0.3043453682	0.3828536334	0.07734400347	0.9591122917
TGGT1_206290	-0.5113424908	-0.01997901368	0.05640183328	0.07737299416	0.980594258
TGGT1_262890	1.139614083	0.3235062549	0.4064393738	0.07748786802	0.9660002167
TGGT1_232760	-0.492198646	0.1062273746	0.1748682977	0.07763735554	0.9964697299
TGGT1_294270	0.8531802256	0.2276896415	0.2003881278	0.07774393046	0.9851433533
TGGT1_313660	1.331344113	0.473399074	0.563722108	0.07785637818	0.9751470249
TGGT1_237880	1.202161651	0.3627742315	0.4391421179	0.0781682255	0.9591122917
TGGT1_248670	0.8669301155	0.2320147855	0.3127963744	0.07818634087	0.9746254055
TGGT1_239020	0.626722961	-0.04225537684	0.1143467503	0.0783223223	0.9917065611
TGGT1_273500	-0.123746667	-0.941628233	-0.8577486886	0.07855714748	0.9851433533
TGGT1_278330	1.350960466	0.3037939343	0.3860423491	0.07871569132	0.9591122917
TGGT1_263760	-0.3634970376	-2.716206126	-2.642901987	0.07881541137	1
TGGT1_408800	2.412048471	0.3460889416	0.4313387798	0.07904680948	0.9473544351
TGGT1_238860	0.8164488469	0.287053854	0.3627358335	0.07911741497	0.9591122917
TGGT1_242850	-2.465148313	0.04319670258	0.1232177772	0.07921921565	1
TGGT1_245550	-0.3170089494	0.3205376981	0.3778208587	0.0794494044	0.9902479761
TGGT1_248160	-0.4848203333	0.07604918431	0.1781743411	0.07946755797	0.9894996004
TGGT1_249960	1.187661919	0.2988519875	0.3691849711	0.07954943609	0.9671756435
TGGT1_247850	-0.2895334532	0.3329903609	0.4127415631	0.07987087164	0.9812815973
TGGT1_291160	-0.1039381761	0.2076500324	0.2843349358	0.08029345931	0.9885152486
TGGT1_462971	-0.4238543549	-0.1231705029	-0.02168904492	0.08030893973	0.9900627704
TGGT1_272270	1.130747567	0.3697105337	0.4585188647	0.08043671544	0.9643156167
TGGT1_223480	-0.4146413103	-0.6449675051	-0.4051060002	0.08049045436	1
TGGT1_201160	1.700204077	0.3203405697	0.4123534734	0.08068905623	0.9591122917
TGGT1_246720	0.4255506677	-0.2839238463	-0.1844745001	0.08085370135	0.9769880206
TGGT1_277230	0.9997431675	0.2214655049	0.2703578514	0.08087505175	0.9772400151
TGGT1_228150	-0.9108174688	-0.9552316714	-0.9150113089	0.0809433003	1
TGGT1_260825	1.547368427	0.305800741	0.3957229454	0.08094653973	0.961254155
TGGT1_273920	-0.3356666902	-0.06883196219	-0.01793726701	0.08097561338	0.9778015928
TGGT1_288945	0.1351050112	0.006033471249	0.08915526649	0.08101073983	0.9700739233
TGGT1_305270	-0.1016126537	0.02706401778	0.1182573403	0.08131517458	0.9779081463
TGGT1_314695	1.001385887	0.5289891786	0.6139365011	0.08133157249	0.9591122917
TGGT1_229005	1.859121482	0.4779116092	0.5577417736	0.08186172987	0.9486128857
TGGT1_253755	1.0410012	0.4436771756	0.5393203533	0.08189907172	0.961178391
TGGT1_358300	0.6840012682	-0.1654334259	-0.04831324124	0.08204595659	0.9834445231
TGGT1_228680	-0.2614267634	0.6004065156	0.6705172376	0.08241414811	0.9851433533
