category,precision,recall,f1,f1_sd,support
C,0.6528174603174604,0.2685050798258345,0.3673483927426632,0.06542626780890397,264
M,0.5982017543859649,0.2225716928769658,0.32105011302122666,0.13227258296636352,234
S,0.3751282051282051,0.10132978723404255,0.1584688995215311,0.11381698061112523,237
G1b,0.2333333333333333,0.042105263157894736,0.06922943722943722,0.06886795825885741,94
G1a,0.0,0.0,0.0,0.0,44
