fold,selected_structure,category,precision,recall,f1,support
2,e003__hdb_mcs20_ms10_leaf,PM - peripheral 2,0.0,0.0,0.0,9
2,e003__hdb_mcs20_ms10_leaf,apical 1,0.0,0.0,0.0,12
2,e003__hdb_mcs20_ms10_leaf,apical 2,0.0,0.0,0.0,3
2,e003__hdb_mcs20_ms10_leaf,apicoplast,0.0,0.0,0.0,33
2,e003__hdb_mcs20_ms10_leaf,cytosol,0.0,0.0,0.0,119
2,e003__hdb_mcs20_ms10_leaf,dense granules,0.625,0.2631578947368421,0.37037037037037035,38
2,e003__hdb_mcs20_ms10_leaf,endomembrane vesicles,0.0,0.0,0.0,7
2,e003__hdb_mcs20_ms10_leaf,micronemes,0.0,0.0,0.0,12
2,e003__hdb_mcs20_ms10_leaf,mitochondrion - membranes,0.0,0.0,0.0,38
2,e003__hdb_mcs20_ms10_leaf,mitochondrion - soluble,0.0,0.0,0.0,55
2,e003__hdb_mcs20_ms10_leaf,nucleolus,0.0,0.0,0.0,7
2,e003__hdb_mcs20_ms10_leaf,nucleus - chromatin,0.6666666666666666,0.12987012987012986,0.21739130434782608,154
2,e003__hdb_mcs20_ms10_leaf,nucleus - non-chromatin,0.0,0.0,0.0,92
2,e003__hdb_mcs20_ms10_leaf,rhoptries 1,0.0,0.0,0.0,14
2,e003__hdb_mcs20_ms10_leaf,rhoptries 2,0.0,0.0,0.0,11
2,e003__hdb_mcs20_ms10_leaf,tubulin cytoskeleton,0.0,0.0,0.0,2
3,e029__hdb_mcs20_ms10_leaf,19S proteasome,0.0,0.0,0.0,3
3,e029__hdb_mcs20_ms10_leaf,20S proteasome,0.0,0.0,0.0,3
3,e029__hdb_mcs20_ms10_leaf,40S ribosome,0.0,0.0,0.0,6
3,e029__hdb_mcs20_ms10_leaf,60S ribosome,0.0,0.0,0.0,8
3,e029__hdb_mcs20_ms10_leaf,ER,0.0,0.0,0.0,50
3,e029__hdb_mcs20_ms10_leaf,ER 2,0.0,0.0,0.0,4
3,e029__hdb_mcs20_ms10_leaf,Golgi,0.0,0.0,0.0,30
3,e029__hdb_mcs20_ms10_leaf,IMC,0.0,0.0,0.0,19
3,e029__hdb_mcs20_ms10_leaf,PM - integral,0.0,0.0,0.0,27
3,e029__hdb_mcs20_ms10_leaf,PM - peripheral 1,0.6,0.3,0.4,10
3,e029__hdb_mcs20_ms10_leaf,PM - peripheral 2,0.0,0.0,0.0,9
3,e029__hdb_mcs20_ms10_leaf,apical 1,0.0,0.0,0.0,12
3,e029__hdb_mcs20_ms10_leaf,apical 2,0.0,0.0,0.0,3
3,e029__hdb_mcs20_ms10_leaf,apicoplast,0.0,0.0,0.0,34
3,e029__hdb_mcs20_ms10_leaf,cytosol,0.0,0.0,0.0,120
3,e029__hdb_mcs20_ms10_leaf,dense granules,0.5555555555555556,0.5263157894736842,0.5405405405405406,38
3,e029__hdb_mcs20_ms10_leaf,endomembrane vesicles,0.0,0.0,0.0,7
