renderer,light_mode,point_mode,mood,genes,frames,median_ms,p95_ms
"llvmpipe (LLVM 20.1.2, 256 bits)",soft,flat,neutral,8140,30,6.245,7.071
"llvmpipe (LLVM 20.1.2, 256 bits)",soft,glossy 3D,neutral,8140,30,6.992,7.727
"llvmpipe (LLVM 20.1.2, 256 bits)",soft,metallic 3D,neutral,8140,30,6.858,8.899
"llvmpipe (LLVM 20.1.2, 256 bits)",ray traced,flat,neutral,8140,30,15.278,17.048
"llvmpipe (LLVM 20.1.2, 256 bits)",ray traced,glossy 3D,neutral,8140,30,7.713,8.856
"llvmpipe (LLVM 20.1.2, 256 bits)",ray traced,metallic 3D,neutral,8140,30,7.836,8.975
