organism,strategy,parameter,value,runs,skill,skill_low,skill_high,pass_rate
Pf,condition_shift,model,boosted,10,0.6418487723069515,0.6384789240837973,0.6452186205301057,1.0
Pf,condition_shift,model,ridge,10,0.5798297073896541,0.5729514107641279,0.5867080040151803,1.0
Pf,condition_shift,own_kind,include,10,0.6108392398483027,0.5868373791441659,0.6348411005524395,1.0
Pf,condition_shift,own_kind,leave out,10,0.6108392398483027,0.5868373791441659,0.6348411005524395,1.0
Pf,conjunctions,min_cluster_size,15,5,,,,0.0
Pf,conjunctions,min_cluster_size,30,5,,,,0.0
Pf,conjunctions,min_cluster_size,8,5,,,,0.0
Pf,consensus_modules,target,is_exported,15,0.23929826708225688,0.13305202488253334,0.34554450928198044,0.0
Pf,consensus_modules,target,pb_transferred_phenotype,15,0.06731484842614627,0.03866131317216978,0.09596838368012275,0.4666666666666667
Pf,consensus_modules,target,stage_enriched_derived,15,0.017944707168281462,0.003486388682396894,0.03240302565416603,0.06666666666666667
Pf,consensus_modules,threshold,0.3,15,0.1486937158357226,0.05201691926558259,0.2453705124058626,0.2
Pf,consensus_modules,threshold,0.5,15,0.1434770563296974,0.04951254961636002,0.23744156304303476,0.13333333333333333
Pf,consensus_modules,threshold,0.8,15,0.03238705051126455,0.01899148630834433,0.04578261471418477,0.2
Pf,feature_knn,k,15,45,-0.027686770584349388,-0.19764400350364447,0.14227046233494572,0.4222222222222222
Pf,feature_knn,k,5,45,0.04027065383979638,-0.13077886166964478,0.21132016934923756,0.6666666666666666
Pf,feature_knn,k,50,45,-0.09645194272701797,-0.2727476964696294,0.07984381101559344,0.3333333333333333
Pf,feature_knn,min_share,0.0,45,-0.017540595219840836,-0.18286353056158536,0.1477823401219037,0.4666666666666667
Pf,feature_knn,min_share,0.3,45,-0.01754059521984085,-0.18286353056158539,0.14778234012190367,0.4666666666666667
Pf,feature_knn,min_share,0.6,45,-0.048786869031889266,-0.23683729600604625,0.13926355794226775,0.4888888888888889
Pf,feature_knn,target,is_exported,45,-0.568927903334406,-0.777864746490331,-0.359991060178481,0.0
Pf,feature_knn,target,pb_transferred_phenotype,45,0.35794698372052836,0.35021156309020335,0.36568240435085336,1.0
Pf,feature_knn,target,stage_enriched_derived,45,0.12711286014230652,0.06888876453064191,0.18533695575397113,0.4222222222222222
Pf,geneset_hunt,exclude,is_exported,20,0.2112951623078581,0.19354480169208785,0.22904552292362837,1.0
Pf,geneset_hunt,exclude,pb_transferred_phenotype,20,0.4488664436786058,0.42085151586466085,0.4768813714925507,1.0
Pf,geneset_hunt,exclude,stage_enriched_derived,20,0.06026807932787287,0.051080090340942456,0.06945606831480328,0.7
Pf,geneset_hunt,min_cluster_size,"10, 25",30,0.2456111799506359,0.17825892932078463,0.31296343058048715,0.9
Pf,geneset_hunt,min_cluster_size,"20, 50",30,0.23467527692558868,0.17697318599300563,0.29237736785817175,0.9
Pf,geneset_hunt,n_neighbors,"10, 30",30,0.24069262437363528,0.17909022798333982,0.3022950207639308,0.9
Pf,geneset_hunt,n_neighbors,"15, 50",30,0.23959383250258925,0.1757225574684843,0.3034651075366942,0.9
Pf,holdout_search,min_cluster_size,"10, 25",45,0.04844828396338329,0.01827737253809829,0.0786191953886683,0.0
Pf,holdout_search,min_cluster_size,"20, 50",45,0.07928692103509175,0.03645840513477609,0.1221154369354074,0.0
Pf,holdout_search,n_neighbors,"10, 30",30,0.06604826805991651,0.019010082610880344,0.11308645350895268,0.0
Pf,holdout_search,n_neighbors,"15, 50",30,0.061789713276824844,0.016690255997977438,0.10688917055567225,0.0
Pf,holdout_search,n_neighbors,"25, 100",30,0.06376482616097122,0.01593442299830832,0.11159522932363411,0.0
Pf,holdout_search,selection,"eom, leaf",90,0.06386760249923752,0.03798323527629314,0.08975196972218191,0.0
Pf,holdout_search,target,is_exported,30,0.18335558504212107,0.12498549802805542,0.24172567205618672,0.0
Pf,holdout_search,target,pb_transferred_phenotype,30,0.00019639657395659508,-0.00031251083619451196,0.0007053039841077021,0.0
Pf,holdout_search,target,stage_enriched_derived,30,0.00805082588163493,0.0021535670683672393,0.01394808469490262,0.0
Pf,label_outliers,k,15,15,0.7574591658749183,0.6406232812525848,0.8742950504972519,1.0
Pf,label_outliers,k,5,15,0.7462486029032891,0.6266874738281722,0.8658097319784059,1.0
Pf,label_outliers,k,50,15,0.7146155427768381,0.5878727165939008,0.8413583689597754,1.0
Pf,label_outliers,target,is_exported,15,0.9914350741819964,0.9905188789334425,0.9923512694305503,1.0
Pf,label_outliers,target,pb_transferred_phenotype,15,0.5018167175184091,0.4841653909248831,0.519468044111935,1.0
Pf,label_outliers,target,stage_enriched_derived,15,0.7250715198546404,0.6577295652909131,0.7924134744183676,1.0
Pf,layer_propagation,layer,coexpression,45,0.25953849098129556,0.2109414343566935,0.3081355476058976,0.6444444444444445
Pf,layer_propagation,layer,comention,45,0.006593714425006453,0.002598880463756389,0.010588548386256518,0.0
Pf,layer_propagation,layer,cotranslation,45,0.04479963111415611,0.03791833575328558,0.05168092647502664,0.2222222222222222
Pf,layer_propagation,layer,domain,45,0.09940026974455667,0.08531648711276914,0.1134840523763442,0.8
Pf,layer_propagation,layer,ip_ms,45,-0.005545915737161314,-0.007278100742499086,-0.0038137307318235423,0.0
Pf,layer_propagation,layer,orthogroup,45,0.0,0.0,0.0,0.0
Pf,layer_propagation,layer,struct,45,0.01535371175385137,0.007317064020347718,0.02339035948735502,0.022222222222222223
Pf,layer_propagation,layer,xlms,45,0.002489780688991068,0.0006806434068287225,0.004298917971153413,0.0
Pf,layer_propagation,restart,0.2,120,0.04590782986481743,0.029115553888274276,0.06270010584136058,0.225
Pf,layer_propagation,restart,0.5,120,0.043545473233061766,0.0276139419676786,0.05947700449844493,0.2
Pf,layer_propagation,restart,0.8,120,0.04207068271918065,0.026895025588380667,0.057246339849980635,0.20833333333333334
Pf,layer_propagation,target,is_exported,120,0.07087022687061961,0.04855402897589831,0.09318642476534092,0.25833333333333336
Pf,layer_propagation,target,pb_transferred_phenotype,120,0.039034401714576665,0.02901375304884487,0.04905505038030846,0.225
Pf,layer_propagation,target,stage_enriched_derived,120,0.01844478989274598,0.009494515631079413,0.02739506415441255,0.15
Pf,layer_vote,k,15,15,0.49304546925628157,0.3455899115393224,0.6405010269732407,0.7333333333333333
Pf,layer_vote,k,5,15,0.5539663449145427,0.3880866912696854,0.7198459985593999,0.8
Pf,layer_vote,k,50,15,0.31067829218576815,0.06462203192319654,0.5567345524483398,0.6666666666666666
Pf,layer_vote,target,is_exported,15,0.4364837365910286,0.13021914593363787,0.7427483272484194,0.26666666666666666
Pf,layer_vote,target,pb_transferred_phenotype,15,0.4113000112612255,0.3796595951386124,0.4429404273838386,1.0
Pf,layer_vote,target,stage_enriched_derived,15,0.5099063585043381,0.3555989437373911,0.6642137732712851,0.9333333333333333
Pf,link_prediction,layer,struct,5,0.958266107954886,0.9545859076767963,0.9619463082329757,1.0
Pf,map_neighbours,k,15,45,-0.11955814475430052,-0.32017359870368534,0.08105730919508433,0.5333333333333333
Pf,map_neighbours,k,5,45,-0.049035487536164823,-0.22993295894389104,0.1318619838715614,0.5333333333333333
Pf,map_neighbours,k,50,45,-0.08677143057032466,-0.24586695027162223,0.07232408913097291,0.3333333333333333
Pf,map_neighbours,n_neighbors,10,45,-0.04620953669553407,-0.21489313534775406,0.12247406195668592,0.4666666666666667
Pf,map_neighbours,n_neighbors,25,45,-0.09072511015468278,-0.27962273349099803,0.09817251318163246,0.4888888888888889
Pf,map_neighbours,n_neighbors,60,45,-0.11843041601057319,-0.30317405445954515,0.06631322243839874,0.4444444444444444
Pf,map_neighbours,target,is_exported,45,-0.6270643024961337,-0.8598010921400258,-0.39432751285224155,0.0
Pf,map_neighbours,target,pb_transferred_phenotype,45,0.2641560400285927,0.2545503391782935,0.27376174087889193,1.0
Pf,map_neighbours,target,stage_enriched_derived,45,0.10754319960675097,0.05801630572663129,0.15707009348687068,0.4
Pf,masked_imputation,rank,20,5,0.6999243541465692,0.6841345659071392,0.7157141423859992,1.0
Pf,masked_imputation,rank,5,5,0.5260174412489544,0.5128317024122807,0.5392031800856282,1.0
Pf,masked_imputation,rank,60,5,0.671038510028892,0.6353903881549261,0.706686631902858,1.0
Pf,multiplex_modules,agreement,0.3,45,0.017556410343879017,-0.00816913250707298,0.04328195319483101,0.35555555555555557
Pf,multiplex_modules,agreement,0.5,45,0.028588052944000155,0.007003702933475235,0.050172402954525075,0.37777777777777777
Pf,multiplex_modules,resolution,0.5,30,0.013678554377636815,-0.02261956399234958,0.049976672747623206,0.36666666666666664
Pf,multiplex_modules,resolution,1.0,30,0.012882669460748735,-0.013518431177246963,0.03928377009874443,0.3333333333333333
Pf,multiplex_modules,resolution,2.0,30,0.04265547109343321,0.019019612867413518,0.0662913293194529,0.4
Pf,multiplex_modules,target,is_exported,30,-0.021836210424021226,-0.037200580562421905,-0.006471840285620548,0.0
