pmid	pmcid	year	kind	title
32717409	None	2020	pulldown	Molecular study of binding of Plasmodium ribosomal protein P2 to erythrocytes.
32409604	PMC7275706	2020	proximity	Ancient MAPK ERK7 is regulated by an unusual inhibitory scaffold required for Toxoplasma apical complex biogenesis.
32379047	PMC7228768	2020	proximity	Essential function of the alveolin network in the subpellicular microtubules and conoid assembly in Toxoplasma gondii.
32374791	PMC7202600	2020	proximity	Proximity biotinylation reveals novel secreted dense granule proteins of Toxoplasma gondii bradyzoites.
32019789	PMC7002340	2020	proximity	The Toxoplasma gondii Cyst Wall Interactome.
31758461	None	2020	proximity	Using BioID for the Identification of Interacting and Proximal Proteins in Subcellular Compartments in Toxoplasma gondii
31470470	PMC6925623	2019	proximity	The apical annuli of Toxoplasma gondii are composed of coiled-coil and signalling proteins embedded in the inner membran
31348812	PMC6685633	2019	pulldown	Toxoplasma F-box protein 1 is required for daughter cell scaffold function during parasite replication.
31347048	PMC7059822	2019	pulldown	The Methods Employed in Mass Spectrometric Analysis of Posttranslational Modifications (PTMs) and Protein-Protein Intera
31040239	PMC6495374	2019	pulldown	Enrichment and Proteomic Characterization of the Cyst Wall from In Vitro Toxoplasma gondii Cysts.
30362762	None	2018	proximity	Identification of Novel Dense-Granule Proteins in Toxoplasma gondii by Two Proximity-Based Biotinylation Approaches.
30320549	PMC6214654	2018	pulldown	Characterization of a Toxoplasma effector uncovers an alternative GSK3/β-catenin-regulatory pathway of inflammation.
29911335	None	2018	pulldown	A proteomic analysis unravels novel CORVET and HOPS proteins involved in Toxoplasma gondii secretory organelles biogenes
29644258	PMC5890295	2018	proximity	CRISPR-mediated Tagging with BirA Allows Proximity Labeling in Toxoplasma gondii.
29459857	PMC5807661	2018	pulldown	Genome-Wide Bimolecular Fluorescence Complementation-Based Proteomic Analysis of Toxoplasma gondii ROP18's Human Interac
29269729	PMC5740107	2017	proximity	A conserved ankyrin repeat-containing protein regulates conoid stability, motility and cell invasion in Toxoplasma gondi
28604600	PMC5486068	2017	pulldown	Transcriptional Responses in the Murine Spleen after Toxoplasma gondii Infection: Inflammasome and Mucus-Associated Gene
28475612	PMC5435356	2017	proximity	Calmodulin-like proteins localized to the conoid regulate motility and cell invasion by Toxoplasma gondii.
28143887	PMC5383779	2017	pulldown	Comparative Monomethylarginine Proteomics Suggests that Protein Arginine Methyltransferase 1 (PRMT1) is a Significant Co
28138739	PMC11107709	2017	pulldown	Characterization of a nuclear pore protein sheds light on the roles and composition of the Toxoplasma gondii nuclear por
27696623	PMC5909696	2016	proximity	Novel insights into the composition and function of the Toxoplasma IMC sutures.
27591002	None	2016	pulldown	Pull-down method to access the cell surface receptor for Toxoplasma gondii.
27486190	PMC4981711	2016	proximity	In Vivo Biotinylation of the Toxoplasma Parasitophorous Vacuole Reveals Novel Dense Granule Proteins Important for Paras
27064065	PMC4831018	2016	pulldown	Unconventional endosome-like compartment and retromer complex in Toxoplasma gondii govern parasite integrity and host in
26544049	PMC4636360	2015	proximity	Phosphorylation of a Myosin Motor by TgCDPK3 Facilitates Rapid Initiation of Motility during Toxoplasma gondii egress.
26407821	None	2015	pulldown	Identification of TgAtg8-TgAtg3 interaction in Toxoplasma gondii.
25691595	PMC4337574	2015	proximity	Novel components of the Toxoplasma inner membrane complex revealed by BioID.
25726598	None	2014	pulldown	[Interaction between Toxoplasma GRA7 dense granule protein and the protein from host macrophages].
24694366	None	2014	pulldown	Protozoan HSP90-heterocomplex: molecular interaction network and biological significance.
24391497	PMC3879359	2014	pulldown	Lysine acetyltransferase GCN5b interacts with AP2 factors and is required for Toxoplasma gondii proliferation.
24361285	None	2013	pulldown	Characterization and binding analysis of a microneme adhesive repeat domain-containing protein from Toxoplasma gondii.
23533776	PMC3603208	2013	pulldown	Toxoplasmosis and Polygenic Disease Susceptibility Genes: Extensive Toxoplasma gondii Host/Pathogen Interactome Enrichme
23454356	None	2013	pulldown	Toxoplasma gondii Alba proteins are involved in translational control of gene expression.
23027733	PMC3566231	2012	pulldown	Targeted proteomic dissection of Toxoplasma cytoskeleton sub-compartments using MORN1.
21610105	PMC3186202	2011	pulldown	Unusual N-glycan structures required for trafficking Toxoplasma gondii GAP50 to the inner membrane complex regulate host
21483743	PMC3070720	2011	pulldown	Identification of novel proteins in Neospora caninum using an organelle purification and monoclonal antibody approach.
21483487	PMC3068996	2011	pulldown	A novel Toxoplasma gondii nuclear factor TgNF3 is a dynamic chromatin-associated component, modulator of nucleolar archi
20403389	PMC2990952	2010	pulldown	The Hsp90 co-chaperone p23 of Toxoplasma gondii: Identification, functional analysis and dynamic interactome determinati
18974850	PMC2575384	2008	pulldown	In silico identification of specialized secretory-organelle proteins in apicomplexan parasites and in vivo validation in
16520460	PMC1457034	2006	pulldown	Computational modeling of the Plasmodium falciparum interactome reveals protein function on a genome-wide scale.
