target,scope,validation,embedding_mode,selection_labels,reported_labels,cluster_call_min_support,cluster_call_min_probability,permutations,permutation_p,nested_macro_f1_mean,nested_macro_f1_sd,nested_coverage_mean,final_structure,n_structures,n_predictions,seed
compartment,biology,5-fold nested stratified CV,transductive unsupervised fixed-proteome embedding,inner validation only,locked outer folds,5,0.55,1,0.5,0.04345917591906059,0.007276637044116372,0.07210532602945444,e004__kmeans_k40,64,317,42
compartment,target_family,5-fold nested stratified CV,transductive unsupervised fixed-proteome embedding,inner validation only,locked outer folds,5,0.55,1,0.5,0.04773325474414588,0.005760329895641801,0.09849929179678833,e003__kmeans_k40,64,329,42
cellcycle_phase,biology,5-fold nested stratified CV,transductive unsupervised fixed-proteome embedding,inner validation only,locked outer folds,5,0.55,1,0.5,0.13537243280676614,0.015798967540922634,0.2542791461412151,e007__kmeans_k40,48,1426,42
cellcycle_phase,target_family,5-fold nested stratified CV,transductive unsupervised fixed-proteome embedding,inner validation only,locked outer folds,5,0.55,1,0.5,0.15617996808668533,0.025090891390210025,0.27611822660098523,e008__kmeans_k40,64,613,42
