target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,fitness_screens+published_screens,median,rank,15,0.0,60,42,3000,20,2,0.0,0.6301107314740118,0.7817922024903041,,4,1
attention_depth,fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,20,2,0.0,0.6301107314740118,0.7817922024903041,,4,1
attention_depth,fitness_screens+published_screens,median,rank,15,0.25,60,42,3000,20,2,0.0,0.6301107314740118,0.7817922024903041,,4,1
attention_depth,expression_summary+fitness_screens+interactions,median,rank,15,0.0,60,42,3000,16,3,0.0003333333333333333,0.629875795862595,0.7825708061002178,,4,1
attention_depth,fitness_screens+published_screens,median,rank,50,0.0,25,42,3000,20,2,0.0,0.6296698353109514,0.7810457516339869,,4,1
attention_depth,fitness_screens+published_screens,median,rank,50,0.0,60,42,3000,20,2,0.0,0.6296698353109514,0.7810457516339869,,4,1
attention_depth,fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,20,2,0.0,0.6293756274503304,0.7805476093175318,,4,1
attention_depth,fitness_screens+published_screens,median,rank,50,0.25,25,42,3000,20,2,0.0,0.6293756274503304,0.7805476093175318,,4,1
attention_depth,expression_raw,median,rank,15,0.0,25,42,3000,18,4,0.0,0.6289553821135047,0.7830382873610539,,4,1
attention_depth,published_screens,median,rank,15,0.0,60,42,3000,12,2,0.0,0.6288139440835124,0.7800778848124617,,4,1
attention_depth,published_screens,median,rank,15,0.0,25,42,3000,12,2,0.0,0.6288139440835124,0.7800778848124617,,4,1
attention_depth,published_screens,median,rank,15,0.25,60,42,3000,12,2,0.0,0.628714542761614,0.7799180327868852,,4,1
attention_depth,published_screens,median,rank,15,0.25,25,42,3000,12,2,0.0,0.628714542761614,0.7799180327868852,,4,1
attention_depth,published_screens,median,rank,50,0.0,60,42,3000,12,2,0.0,0.6286055239121836,0.7799671592775042,,4,1
attention_depth,published_screens,median,rank,50,0.0,25,42,3000,12,2,0.0,0.6286055239121836,0.7799671592775042,,4,1
attention_depth,expression_summary+expression_raw+published_screens,median,rank,50,0.25,60,42,3000,34,2,0.196,0.6285936594951673,0.7869267798327844,,4,1
attention_depth,published_screens,median,rank,50,0.25,60,42,3000,12,2,0.0,0.6284575281004497,0.7797166906179429,,4,1
attention_depth,published_screens,median,rank,50,0.25,25,42,3000,12,2,0.0,0.6284575281004497,0.7797166906179429,,4,1
attention_depth,expression_summary+fitness_screens,median,rank,50,0.25,60,42,3000,12,2,0.47633333333333333,0.6265354920335475,0.7855477855477856,,4,1
attention_depth,expression_summary,median,rank,50,0.25,60,42,3000,4,3,0.16366666666666665,0.624923193023251,0.780511811023622,,4,1
attention_depth,fitness_screens,median,rank,50,0.0,60,42,3000,8,2,0.0,0.6248823035123421,0.7750722245150641,,4,1
attention_depth,fitness_screens,median,rank,50,0.0,25,42,3000,8,2,0.0,0.6248823035123421,0.7750722245150641,,4,1
attention_depth,fitness_screens,median,rank,50,0.25,60,42,3000,8,2,0.0,0.6248823035123421,0.7750722245150641,,4,1
attention_depth,fitness_screens,median,rank,50,0.25,25,42,3000,8,2,0.0,0.6248823035123421,0.7750722245150641,,4,1
attention_depth,fitness_screens,median,rank,15,0.25,60,42,3000,8,2,0.0,0.6248613119870305,0.7747524752475248,,4,1
attention_depth,fitness_screens,median,rank,15,0.25,25,42,3000,8,2,0.0,0.6248613119870305,0.7747524752475248,,4,1
attention_depth,fitness_screens,median,rank,15,0.0,60,42,3000,8,2,0.0,0.6248613119870305,0.7747524752475248,,4,1
attention_depth,fitness_screens,median,rank,15,0.0,25,42,3000,8,2,0.0,0.6248613119870305,0.7747524752475248,,4,1
attention_depth,expression_summary+expression_raw,median,rank,15,0.25,60,42,3000,22,4,0.30266666666666664,0.6237502173272748,0.7734909769757312,,4,1
attention_depth,expression_summary,median,rank,15,0.0,60,42,3000,4,3,0.045,0.6231530695856388,0.777997799779978,,4,1
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.25,60,42,3000,30,2,0.4116666666666667,0.6230907436168037,0.7837932238910235,,4,1
attention_depth,fitness_screens+interactions,median,rank,50,0.25,60,42,3000,12,4,0.11466666666666667,0.622136923121968,0.7703408808161234,,4,1
attention_depth,expression_summary,median,rank,50,0.0,60,42,3000,4,2,0.06133333333333333,0.6215281749953768,0.777826660800704,,4,1
attention_depth,expression_summary,median,rank,15,0.0,25,42,3000,4,5,0.0,0.621376866957258,0.76994708994709,,4,1
attention_depth,expression_summary+expression_raw,median,rank,50,0.25,60,42,3000,22,4,0.24566666666666667,0.6213166506521322,0.7708213670304421,,4,1
attention_depth,expression_summary+fitness_screens,median,rank,50,0.0,60,42,3000,12,2,0.166,0.6193314235019267,0.7751053806099676,,4,1
attention_depth,fitness_screens+interactions,median,rank,50,0.25,25,42,3000,12,5,0.033666666666666664,0.6039278264621266,0.7485186063048116,,4,1
attention_depth,expression_summary+expression_raw,median,rank,15,0.25,25,42,3000,22,6,0.139,0.6023110139106586,0.7407037684052908,,4,1
attention_depth,expression_summary+interactions,median,rank,50,0.0,25,42,3000,8,5,0.0003333333333333333,0.6007602093735502,0.7456607266836381,,4,1
attention_depth,expression_summary+interactions,median,rank,50,0.0,60,42,3000,8,4,0.0,0.6006887759633124,0.7454881999074502,,4,1
attention_depth,expression_summary+expression_raw,median,rank,15,0.0,60,42,3000,22,4,0.1,0.5969495494939059,0.7344575887238862,,4,1
attention_depth,expression_summary+interactions,median,rank,15,0.0,60,42,3000,8,5,0.0,0.5928114526380768,0.7422434367541766,,4,1
attention_depth,expression_summary+expression_raw,median,rank,15,0.0,25,42,3000,22,5,0.007333333333333333,0.5904416927459947,0.7242980322794604,,4,1
attention_depth,expression_summary+fitness_screens,median,rank,50,0.25,25,42,3000,12,5,0.3433333333333333,0.5800655044043577,0.712884680419344,,4,1
attention_depth,expression_summary+expression_raw+interactions,median,rank,50,0.25,25,42,3000,26,7,0.09833333333333333,0.5773295456738669,0.7140591966173362,,4,1
attention_depth,expression_raw+published_screens,median,rank,15,0.0,60,42,3000,30,2,0.0,0.5602006975053107,0.7000978473581213,,4,1
attention_depth,expression_summary+expression_raw+interactions,median,rank,15,0.0,25,42,3000,26,6,0.0,0.5562381078579748,0.6829992576095025,,4,1
attention_depth,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,38,3,0.488,0.554981726201455,0.6937531742001015,,4,1
attention_depth,expression_summary+fitness_screens+interactions,median,rank,15,0.25,25,42,3000,16,6,0.22533333333333333,0.549863132757194,0.6763444407786209,,4,1
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,25,42,3000,24,4,0.22866666666666666,0.5403496006753834,0.6668900804289545,,4,1
attention_depth,protein_features+interactions,median,rank,50,0.25,60,42,3000,17,2,0.0,0.5340147561536555,0.6511627906976744,,4,1
attention_depth,fitness_screens+published_screens+interactions,median,rank,50,0.25,60,42,3000,24,4,0.33266666666666667,0.5325020732913183,0.6284214473190851,,4,1
attention_depth,expression_raw+protein_features,median,rank,15,0.25,25,42,3000,31,13,0.13666666666666666,0.5272789549858528,0.6333431343722434,,4,1
attention_depth,expression_summary+fitness_screens,median,rank,15,0.25,60,42,3000,12,3,0.621,0.5250268518592591,0.6311738293778064,,4,1
attention_depth,fitness_screens+protein_features,median,rank,15,0.0,25,42,3000,21,16,0.10266666666666667,0.5207499734227782,0.6244677831393698,,4,1
attention_depth,expression_raw+protein_features+interactions,median,rank,15,0.25,60,42,3000,35,3,0.025666666666666667,0.5158581223695237,0.6249298147108365,,4,1
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.25,60,42,3000,24,4,0.2786666666666667,0.5152681622183753,0.6062544420753376,,4,1
attention_depth,expression_raw+published_screens+protein_features,median,rank,50,0.25,60,42,3000,43,2,0.013666666666666667,0.5132565847963695,0.6191673651858061,,4,1
attention_depth,expression_raw+published_screens+protein_features,median,rank,50,0.25,25,42,3000,43,2,0.017333333333333333,0.5128035929406156,0.6187535092644582,,4,1
attention_depth,expression_raw+published_screens+protein_features,median,rank,15,0.0,25,42,3000,43,2,0.0,0.5127503137090282,0.6212952799121844,,4,1
attention_depth,expression_raw+published_screens+protein_features,median,rank,15,0.0,60,42,3000,43,2,0.0,0.5127503137090282,0.6212952799121844,,4,1
attention_depth,expression_summary+protein_features+interactions,median,rank,15,0.25,60,42,3000,21,3,0.007333333333333333,0.5123073143934495,0.6205947136563877,,4,1
attention_depth,published_screens+protein_features+interactions,median,rank,50,0.0,25,42,3000,29,13,0.059666666666666666,0.5114641558610525,0.6382978723404255,,4,1
attention_depth,expression_summary+protein_features+interactions,median,rank,15,0.25,25,42,3000,21,3,0.0,0.5111557582449316,0.6183813443072702,,4,1
attention_depth,expression_summary+protein_features+interactions,median,rank,50,0.25,25,42,3000,21,2,0.0,0.5108202555775284,0.6179219351291919,,4,1
attention_depth,expression_summary+protein_features+interactions,median,rank,50,0.25,60,42,3000,21,2,0.0,0.5108202555775284,0.6179219351291919,,4,1
