fold,selected_structure,n_train,n_test,macro_f1,macro_precision,macro_recall,coverage,covered_accuracy
0,e013__kmeans_k40,698,175,0.16173176417078858,0.3356079854809438,0.11569650742673625,0.3028571428571429,0.5471698113207547
1,e011__kmeans_k80,698,175,0.13200757575757577,0.4606334841628959,0.08598956242472902,0.18285714285714286,0.65625
2,e006__kmeans_k80,698,175,0.10809549071618037,0.3787878787878788,0.06519470092332397,0.14857142857142858,0.6153846153846154
3,e013__kmeans_k80,699,174,0.14945517759077082,0.3717948717948718,0.0937163886610154,0.23563218390804597,0.5121951219512195
4,e014__kmeans_k40,699,174,0.12734351386749954,0.24835164835164836,0.08687261320240044,0.28160919540229884,0.42857142857142855
