category,precision,recall,f1,f1_sd,support
M,0.6468823230433138,0.21785383903792782,0.3227513059046476,0.0496796316580325,234
C,0.4847038019451812,0.15130624092888242,0.22416992302685784,0.09548206227682245,264
S,0.6135897435897436,0.06719858156028369,0.11353047498949138,0.05398182727280759,237
G1b,0.05,0.01111111111111111,0.01818181818181818,0.040655781409087086,94
G1a,0.0,0.0,0.0,0.0,44
