gene_id,proposed,cluster,cluster_training_support,cluster_training_probability,evidence_status,nested_cv_precision,nested_cv_recall,nested_cv_f1
TGME49_312210,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_218760,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_214340,S,14,5,0.7142857142857143,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_217580,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_224110,C,24,10,0.5882352941176471,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_213069,M,67,33,0.75,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_208450,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_251540,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_247460,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_309760,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_290700,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_320050,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_271970,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_313440,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_242270,S,41,5,0.5555555555555556,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_293790,C,7,10,0.625,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_262470,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_319650,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_305250,M,67,33,0.75,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_263500,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_219840,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_240500,C,24,10,0.5882352941176471,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_268760,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_216055,C,24,10,0.5882352941176471,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_275460,M,67,33,0.75,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_319510,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_297090,C,7,10,0.625,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_263290,C,7,10,0.625,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
