fold,selected_structure,category,precision,recall,f1,support
2,e003__kmeans_k40,endomembrane vesicles,0.0,0.0,0.0,7
2,e003__kmeans_k40,micronemes,0.0,0.0,0.0,12
2,e003__kmeans_k40,mitochondrion - membranes,0.0,0.0,0.0,38
2,e003__kmeans_k40,mitochondrion - soluble,0.0,0.0,0.0,55
2,e003__kmeans_k40,nucleolus,0.0,0.0,0.0,7
2,e003__kmeans_k40,nucleus - chromatin,0.7619047619047619,0.1038961038961039,0.18285714285714286,154
2,e003__kmeans_k40,nucleus - non-chromatin,0.0,0.0,0.0,92
2,e003__kmeans_k40,rhoptries 1,0.0,0.0,0.0,14
2,e003__kmeans_k40,rhoptries 2,0.0,0.0,0.0,11
2,e003__kmeans_k40,tubulin cytoskeleton,0.0,0.0,0.0,2
3,e003__kmeans_k40,19S proteasome,0.0,0.0,0.0,3
3,e003__kmeans_k40,20S proteasome,0.0,0.0,0.0,3
3,e003__kmeans_k40,40S ribosome,0.0,0.0,0.0,6
3,e003__kmeans_k40,60S ribosome,0.0,0.0,0.0,8
3,e003__kmeans_k40,ER,0.0,0.0,0.0,50
3,e003__kmeans_k40,ER 2,0.0,0.0,0.0,4
3,e003__kmeans_k40,Golgi,0.0,0.0,0.0,30
3,e003__kmeans_k40,IMC,0.0,0.0,0.0,19
3,e003__kmeans_k40,PM - integral,0.0,0.0,0.0,27
3,e003__kmeans_k40,PM - peripheral 1,1.0,0.5,0.6666666666666666,10
3,e003__kmeans_k40,PM - peripheral 2,0.0,0.0,0.0,9
3,e003__kmeans_k40,apical 1,0.0,0.0,0.0,12
3,e003__kmeans_k40,apical 2,0.0,0.0,0.0,3
3,e003__kmeans_k40,apicoplast,0.0,0.0,0.0,34
3,e003__kmeans_k40,cytosol,0.0,0.0,0.0,120
3,e003__kmeans_k40,dense granules,0.6666666666666666,0.3157894736842105,0.42857142857142855,38
3,e003__kmeans_k40,endomembrane vesicles,0.0,0.0,0.0,7
3,e003__kmeans_k40,micronemes,0.0,0.0,0.0,11
3,e003__kmeans_k40,mitochondrion - membranes,0.0,0.0,0.0,38
3,e003__kmeans_k40,mitochondrion - soluble,0.0,0.0,0.0,55
3,e003__kmeans_k40,nucleolus,0.0,0.0,0.0,7
3,e003__kmeans_k40,nucleus - chromatin,0.5833333333333334,0.045454545454545456,0.08433734939759036,154
3,e003__kmeans_k40,nucleus - non-chromatin,0.0,0.0,0.0,92
3,e003__kmeans_k40,rhoptries 1,0.0,0.0,0.0,14
3,e003__kmeans_k40,rhoptries 2,0.0,0.0,0.0,10
3,e003__kmeans_k40,tubulin cytoskeleton,0.0,0.0,0.0,1
4,e003__kmeans_k40,19S proteasome,0.0,0.0,0.0,3
4,e003__kmeans_k40,20S proteasome,0.0,0.0,0.0,3
4,e003__kmeans_k40,40S ribosome,0.0,0.0,0.0,6
4,e003__kmeans_k40,60S ribosome,0.0,0.0,0.0,8
4,e003__kmeans_k40,ER,0.0,0.0,0.0,50
4,e003__kmeans_k40,ER 2,0.0,0.0,0.0,4
4,e003__kmeans_k40,Golgi,0.0,0.0,0.0,30
4,e003__kmeans_k40,IMC,0.0,0.0,0.0,20
4,e003__kmeans_k40,PM - integral,0.0,0.0,0.0,27
4,e003__kmeans_k40,PM - peripheral 1,1.0,0.1111111111111111,0.2,9
4,e003__kmeans_k40,PM - peripheral 2,0.0,0.0,0.0,9
4,e003__kmeans_k40,apical 1,0.0,0.0,0.0,11
4,e003__kmeans_k40,apical 2,0.0,0.0,0.0,3
4,e003__kmeans_k40,apicoplast,0.0,0.0,0.0,34
4,e003__kmeans_k40,cytosol,0.0,0.0,0.0,120
4,e003__kmeans_k40,dense granules,0.6296296296296297,0.4358974358974359,0.5151515151515151,39
4,e003__kmeans_k40,endomembrane vesicles,0.0,0.0,0.0,7
4,e003__kmeans_k40,micronemes,0.0,0.0,0.0,11
4,e003__kmeans_k40,mitochondrion - membranes,0.0,0.0,0.0,39
4,e003__kmeans_k40,mitochondrion - soluble,0.0,0.0,0.0,55
4,e003__kmeans_k40,nucleolus,0.0,0.0,0.0,6
4,e003__kmeans_k40,nucleus - chromatin,0.5333333333333333,0.05228758169934641,0.09523809523809523,153
4,e003__kmeans_k40,nucleus - non-chromatin,0.0,0.0,0.0,92
4,e003__kmeans_k40,rhoptries 1,0.0,0.0,0.0,14
4,e003__kmeans_k40,rhoptries 2,0.0,0.0,0.0,10
4,e003__kmeans_k40,tubulin cytoskeleton,0.0,0.0,0.0,2
