label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
substantive,5,452,87,0.09497816593886463,0.19247787610619468,0.12719298245614036,expression_raw+published_screens+interactions,median,rank,50,0.0,25,attention_depth
focal,0,277,161,0.04463543110618242,0.5812274368231047,0.08290422245108135,expression_raw+published_screens+interactions,median,rank,50,0.0,25,attention_depth
incidental,2,1735,876,0.2427265170407315,0.5048991354466859,0.32784431137724546,expression_raw+published_screens+interactions,median,rank,50,0.0,60,attention_depth
substantive,0,451,94,0.08801498127340825,0.20842572062084258,0.12376563528637262,expression_raw+published_screens+interactions,median,rank,50,0.0,60,attention_depth
focal,2,277,161,0.044610695483513436,0.5812274368231047,0.08286155429747812,expression_raw+published_screens+interactions,median,rank,50,0.0,60,attention_depth
incidental,2,1554,787,0.23812405446293494,0.5064350064350064,0.3239349660423955,expression_raw+published_screens+interactions,median,rank,50,0.25,25,attention_depth
substantive,10,398,71,0.09125964010282776,0.17839195979899497,0.12074829931972789,expression_raw+published_screens+interactions,median,rank,50,0.25,25,attention_depth
focal,2,229,129,0.03903177004538578,0.5633187772925764,0.0730050933786078,expression_raw+published_screens+interactions,median,rank,50,0.25,25,attention_depth
incidental,3,1474,753,0.23516552154903186,0.510854816824966,0.32207014542343887,expression_raw+published_screens+interactions,median,rank,50,0.25,60,attention_depth
substantive,2,387,82,0.08788853161843516,0.21188630490956073,0.12424242424242425,expression_raw+published_screens+interactions,median,rank,50,0.25,60,attention_depth
focal,2,220,43,0.04608788853161844,0.19545454545454546,0.0745880312228968,expression_raw+published_screens+interactions,median,rank,50,0.25,60,attention_depth
incidental,12,1660,334,0.31069767441860463,0.20120481927710843,0.24424131627056672,expression_raw+protein_features+interactions,median,rank,15,0.0,25,attention_depth
substantive,12,425,83,0.07720930232558139,0.1952941176470588,0.11066666666666666,expression_raw+protein_features+interactions,median,rank,15,0.0,25,attention_depth
focal,5,263,31,0.543859649122807,0.11787072243346007,0.19375,expression_raw+protein_features+interactions,median,rank,15,0.0,25,attention_depth
incidental,7,1647,335,0.3116279069767442,0.2034001214329083,0.24614254224834686,expression_raw+protein_features+interactions,median,rank,15,0.0,60,attention_depth
substantive,7,408,83,0.07720930232558139,0.2034313725490196,0.11193526635198922,expression_raw+protein_features+interactions,median,rank,15,0.0,60,attention_depth
focal,4,247,30,0.30303030303030304,0.1214574898785425,0.17341040462427745,expression_raw+protein_features+interactions,median,rank,15,0.0,60,attention_depth
incidental,0,1669,850,0.24644824586836764,0.5092869982025164,0.3321610003907776,expression_raw+protein_features+interactions,median,rank,15,0.25,25,attention_depth
substantive,0,429,205,0.05943751812119455,0.47785547785547783,0.10572460030943787,expression_raw+protein_features+interactions,median,rank,15,0.25,25,attention_depth
focal,7,255,25,0.5434782608695652,0.09803921568627451,0.16611295681063123,expression_raw+protein_features+interactions,median,rank,15,0.25,25,attention_depth
incidental,1,1816,850,0.24644824586836764,0.46806167400881055,0.32288698955365625,expression_raw+protein_features+interactions,median,rank,15,0.25,60,attention_depth
substantive,1,464,205,0.05943751812119455,0.4418103448275862,0.1047789419882443,expression_raw+protein_features+interactions,median,rank,15,0.25,60,attention_depth
focal,1,286,129,0.03740214554943462,0.45104895104895104,0.06907630522088354,expression_raw+protein_features+interactions,median,rank,15,0.25,60,attention_depth
incidental,6,1621,336,0.3113994439295644,0.20727945712523133,0.24888888888888888,expression_raw+protein_features+interactions,median,rank,50,0.0,25,attention_depth
substantive,6,413,83,0.07692307692307693,0.2009685230024213,0.11126005361930295,expression_raw+protein_features+interactions,median,rank,50,0.0,25,attention_depth
focal,2,242,29,0.5272727272727272,0.11983471074380166,0.19528619528619529,expression_raw+protein_features+interactions,median,rank,50,0.0,25,attention_depth
incidental,5,1699,336,0.31197771587743733,0.19776339022954678,0.24207492795389052,expression_raw+protein_features+interactions,median,rank,50,0.0,60,attention_depth
substantive,5,419,83,0.07706592386258125,0.19809069212410502,0.11096256684491979,expression_raw+protein_features+interactions,median,rank,50,0.0,60,attention_depth
focal,9,233,23,0.05032822757111598,0.09871244635193133,0.06666666666666667,expression_raw+protein_features+interactions,median,rank,50,0.0,60,attention_depth
incidental,8,1512,312,0.3089108910891089,0.20634920634920634,0.24742268041237114,expression_raw+protein_features+interactions,median,rank,50,0.25,25,attention_depth
substantive,9,393,43,0.12044817927170869,0.10941475826972011,0.11466666666666668,expression_raw+protein_features+interactions,median,rank,50,0.25,25,attention_depth
focal,10,230,17,0.6296296296296297,0.07391304347826087,0.13229571984435798,expression_raw+protein_features+interactions,median,rank,50,0.25,25,attention_depth
incidental,0,1574,926,0.241901776384535,0.5883100381194409,0.34283598667160314,expression_raw+protein_features+interactions,median,rank,50,0.25,60,attention_depth
