target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,expression_raw+fitness_screens,median,rank,50,0.0,25,42,8140,26,33,0.4504914004914005,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1674565878150897,0.2804232804232804,dense granules,21,0
compartment,expression_raw+protein_features,median,rank,50,0.0,25,42,8140,31,21,0.06928746928746929,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16740704460957978,0.326797385620915,PM - peripheral 1,24,0
compartment,expression_summary+expression_raw+protein_features,median,rank,15,0.0,60,42,8140,35,8,0.018796068796068797,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16716936677612565,0.28610354223433243,ER,24,0
compartment,fitness_screens+protein_features+interactions,median,rank,15,0.0,25,42,8140,25,32,0.05638820638820639,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16669003145772265,0.2857142857142857,PM - peripheral 1,24,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.25,25,42,8140,35,14,0.14115479115479115,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1666857162986124,0.2993197278911565,PM - peripheral 1,24,0
compartment,expression_summary+protein_features+interactions,median,rank,50,0.0,60,42,8140,21,24,0.12334152334152335,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1666516546536551,0.34375000000000006,PM - peripheral 1,24,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.0,25,42,8140,35,12,0.023955773955773956,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1666365900099221,0.28885832187070154,ER,24,0
compartment,expression_raw+published_screens,median,rank,15,0.25,25,42,8140,30,15,0.3347665847665848,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1661156939788493,0.3018867924528302,dense granules,22,0
compartment,expression_raw+published_screens,median,rank,50,0.25,25,42,8140,30,14,0.3361179361179361,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16493612340261987,0.28213166144200624,dense granules,21,0
compartment,expression_raw+fitness_screens,median,rank,50,0.0,60,42,8140,26,14,0.36523341523341524,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.164361142456605,0.27,dense granules,22,0
compartment,expression_raw+protein_features+interactions,median,rank,50,0.25,60,42,8140,35,13,0.1414004914004914,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16415354469804333,0.36734693877551017,PM - peripheral 1,24,0
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.25,25,42,8140,16,26,0.44717444717444715,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16327328580312508,0.2787550744248985,cytosol,20,0
compartment,expression_raw+fitness_screens,median,rank,15,0.0,60,42,8140,26,14,0.4267813267813268,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1631709960695533,0.2717391304347826,dense granules,21,0
compartment,expression_summary+expression_raw+published_screens,median,rank,50,0.0,60,42,8140,34,14,0.32444717444717447,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16113179542069545,0.29906542056074764,dense granules,23,0
compartment,protein_features,median,rank,50,0.25,25,42,8140,13,55,0.09398034398034398,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16108043662255925,0.47619047619047616,40S ribosome,23,0
compartment,expression_summary+expression_raw+published_screens,median,rank,50,0.25,25,42,8140,34,20,0.4631449631449631,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16061544711883813,0.3392226148409894,dense granules,21,0
compartment,expression_raw+protein_features+interactions,median,rank,50,0.0,25,42,8140,35,39,0.09975429975429975,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16047456670112348,0.3364485981308411,PM - peripheral 1,24,0
compartment,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,25,42,8140,24,13,0.47297297297297297,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15992369624017894,0.2692307692307692,nucleus - chromatin,20,0
compartment,expression_raw+protein_features+interactions,median,rank,15,0.0,25,42,8140,35,47,0.07862407862407862,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15981305702894272,0.32727272727272727,PM - peripheral 1,24,0
compartment,expression_summary+protein_features,median,rank,15,0.0,60,42,8140,17,20,0.11031941031941032,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15954023260532382,0.27114716106604864,nucleus - chromatin,24,0
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.0,25,42,8140,26,61,0.2557739557739558,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1595200596640973,0.2685851318944844,cytosol,22,0
compartment,published_screens+protein_features+interactions,median,rank,15,0.25,25,42,8140,29,21,0.04901719901719902,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15861480451929272,0.31496062992125984,60S ribosome,24,0
compartment,published_screens+protein_features+interactions,median,rank,15,0.0,60,42,8140,29,18,0.043366093366093365,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15790675617646702,0.27492877492877493,nucleus - chromatin,24,0
compartment,expression_raw+protein_features+interactions,median,rank,15,0.0,60,42,8140,35,24,0.0807125307125307,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1577548286609437,0.3495145631067961,PM - peripheral 1,23,0
compartment,published_screens+protein_features+interactions,median,rank,50,0.0,60,42,8140,29,17,0.05331695331695332,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15724450303224186,0.27298444130127303,nucleus - chromatin,23,0
compartment,expression_summary+fitness_screens+interactions,median,rank,15,0.25,25,42,8140,16,19,0.25184275184275184,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1572077421879563,0.2838569880823402,nucleus - chromatin,22,0
compartment,expression_raw+protein_features+interactions,median,rank,15,0.25,25,42,8140,35,23,0.08992628992628993,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15718281899059183,0.34615384615384615,PM - peripheral 1,24,0
compartment,fitness_screens+protein_features,median,rank,15,0.0,25,42,8140,21,19,0.05245700245700246,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15682324013291898,0.31451612903225806,PM - peripheral 1,24,0
compartment,expression_summary+published_screens+protein_features,median,rank,15,0.0,25,42,8140,29,24,0.0773955773955774,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15668878392846114,0.28136882129277563,ER,24,0
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.25,60,42,8140,26,11,0.19852579852579852,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15632958456066157,0.27462867535616853,nucleus - chromatin,22,0
compartment,expression_raw+published_screens,median,rank,15,0.0,60,42,8140,30,12,0.1300982800982801,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15623433729928396,0.255863539445629,nucleus - chromatin,24,0
compartment,expression_summary+protein_features+interactions,median,rank,15,0.0,60,42,8140,21,15,0.029115479115479116,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15583309044368288,0.24958768554150634,nucleus - chromatin,24,0
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.25,60,42,8140,26,11,0.24324324324324326,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1558078286655703,0.2727272727272727,nucleus - chromatin,22,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,60,42,8140,30,9,0.515970515970516,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15564994199132992,0.2884012539184953,dense granules,20,0
compartment,published_screens+protein_features,median,rank,50,0.0,25,42,8140,25,55,0.17027027027027028,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15540220696850562,0.4150943396226415,PM - peripheral 1,22,0
compartment,expression_raw+published_screens,median,rank,50,0.0,60,42,8140,30,10,0.10184275184275185,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15464768641512666,0.2617521367521368,nucleus - chromatin,24,0
compartment,protein_features,median,rank,15,0.25,60,42,8140,13,24,0.04901719901719902,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1545816568038548,0.30708661417322836,PM - peripheral 1,23,0
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.0,25,42,8140,26,28,0.1257985257985258,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.154129763499909,0.25635910224438907,nucleus - chromatin,21,0
compartment,expression_summary+published_screens,median,rank,15,0.0,25,42,8140,16,35,0.1613022113022113,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15409117885120877,0.2715025906735751,nucleus - chromatin,24,0
compartment,expression_raw+published_screens,median,rank,50,0.0,25,42,8140,30,20,0.128992628992629,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15273759811747645,0.2415502478593961,nucleus - chromatin,22,0
compartment,expression_summary+fitness_screens+interactions,median,rank,15,0.25,60,42,8140,16,9,0.22481572481572482,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15259281387682605,0.26395089285714285,nucleus - chromatin,21,0
compartment,published_screens+protein_features,median,rank,15,0.0,25,42,8140,25,35,0.048525798525798525,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1523059641183763,0.42168674698795183,PM - peripheral 1,23,0
compartment,expression_summary+protein_features+interactions,median,rank,50,0.0,25,42,8140,21,45,0.15257985257985257,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15229768569368468,0.3548387096774194,PM - peripheral 1,23,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.25,60,42,8140,35,9,0.13255528255528257,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15182875573100224,0.25859247135842883,nucleus - chromatin,24,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,60,42,8140,38,10,0.15761670761670762,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15171717863900133,0.2603174603174603,dense granules,24,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,60,42,8140,38,8,0.05196560196560197,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15124079997416223,0.25994694960212206,dense granules,24,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,25,42,8140,38,16,0.42702702702702705,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15103342748953738,0.25688073394495414,dense granules,21,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.0,25,42,8140,30,38,0.5152334152334153,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15100648640992398,0.3016759776536313,dense granules,19,0
compartment,published_screens+protein_features,median,rank,50,0.0,60,42,8140,25,13,0.05036855036855037,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1509767329706707,0.42038216560509556,PM - peripheral 1,24,0
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.25,25,42,8140,26,17,0.19926289926289925,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15084071739141602,0.2530120481927711,cytosol,22,0
compartment,published_screens+protein_features,median,rank,15,0.0,60,42,8140,25,17,0.02628992628992629,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15025143018489465,0.4250000000000001,PM - peripheral 1,24,0
compartment,expression_raw+published_screens+interactions,median,rank,50,0.25,25,42,8140,34,16,0.14963144963144964,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15014471276541752,0.2528678304239402,nucleus - chromatin,23,0
compartment,expression_raw+published_screens+interactions,median,rank,50,0.25,60,42,8140,34,11,0.21326781326781327,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14959103513457833,0.25218733916623776,nucleus - chromatin,23,0
compartment,expression_summary+protein_features+interactions,median,rank,15,0.25,25,42,8140,21,30,0.1318181818181818,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1495067371326082,0.3423423423423424,PM - peripheral 1,24,0
compartment,expression_summary+published_screens,median,rank,50,0.0,25,42,8140,16,32,0.20810810810810812,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14948524582679237,0.2655072463768116,nucleus - chromatin,23,0
compartment,expression_raw+interactions,median,rank,15,0.0,25,42,8140,22,46,0.1542997542997543,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14893864255821876,0.25386313465783666,cytosol,23,0
compartment,expression_raw+fitness_screens+interactions,median,rank,50,0.0,25,42,8140,30,15,0.061547911547911546,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14847429648420152,0.2498155888861569,nucleus - chromatin,24,0
compartment,published_screens+protein_features,median,rank,15,0.25,60,42,8140,25,10,0.024201474201474203,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1484668817459351,0.4782608695652174,PM - peripheral 1,24,0
compartment,fitness_screens+published_screens+protein_features,median,rank,50,0.0,60,42,8140,33,10,0.05442260442260442,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14792089663602295,0.4393939393939394,PM - peripheral 1,23,0
compartment,published_screens+protein_features,median,rank,15,0.25,25,42,8140,25,12,0.005528255528255528,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14770611733394662,0.43137254901960786,PM - peripheral 1,24,0
compartment,expression_raw+protein_features,median,rank,50,0.0,60,42,8140,31,4,0.0035626535626535625,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14736820772810566,0.2796271637816245,ER,24,0
compartment,expression_summary+published_screens+interactions,median,rank,50,0.0,25,42,8140,20,24,0.10171990171990172,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14733159119053538,0.24894908921064923,nucleus - chromatin,23,0
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.0,60,42,8140,26,12,0.0671990171990172,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14731990521058863,0.26025673294739493,nucleus - chromatin,23,0
compartment,fitness_screens+published_screens+protein_features,median,rank,15,0.25,25,42,8140,33,9,0.047788697788697786,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14705011409671603,0.44285714285714284,PM - peripheral 1,24,0
compartment,protein_features,median,rank,50,0.0,60,42,8140,13,31,0.06486486486486487,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14688933814106214,0.30952380952380953,PM - peripheral 1,23,0
compartment,protein_features,median,rank,15,0.0,60,42,8140,13,32,0.04238329238329238,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14684419384612896,0.30588235294117644,PM - peripheral 1,24,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,25,42,8140,38,27,0.3409090909090909,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14683094420064005,0.2745098039215686,dense granules,22,0
compartment,expression_raw+protein_features,median,rank,15,0.0,60,42,8140,31,15,0.048525798525798525,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14631607991018603,0.33540372670807456,PM - peripheral 1,24,0
compartment,published_screens+protein_features+interactions,median,rank,15,0.0,25,42,8140,29,66,0.1348894348894349,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14631042795238916,0.36,PM - peripheral 1,22,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,25,42,8140,38,12,0.06756756756756757,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14625532959036908,0.2649350649350649,dense granules,24,0
compartment,expression_raw+protein_features,median,rank,15,0.25,25,42,8140,31,20,0.05847665847665848,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14614516569370012,0.3443708609271523,PM - peripheral 1,24,0
compartment,fitness_screens+published_screens+interactions,median,rank,50,0.0,60,42,8140,24,10,0.07186732186732187,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14588777513396917,0.24500126550240447,nucleus - chromatin,24,0
compartment,fitness_screens+published_screens+protein_features,median,rank,50,0.0,25,42,8140,33,20,0.08759213759213759,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14554582671534252,0.435374149659864,PM - peripheral 1,22,0
compartment,expression_summary+published_screens+interactions,median,rank,50,0.25,25,42,8140,20,14,0.17751842751842753,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14522087302571485,0.2501718213058419,nucleus - chromatin,22,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.0,60,42,8140,35,8,0.013144963144963145,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14442867368243695,0.24581724581724582,cytosol,24,0
