target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,published_screens,median,rank,15,0.0,25,42,8140,12,2,0.0,1,attention_depth,0.29546993466533605,0.376879599018876,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,15,0.0,25,42,8140,22,5,0.0013513513513513514,1,attention_depth,0.2946093293241637,0.37535503604981435,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,15,0.0,60,42,8140,22,4,0.007002457002457003,1,attention_depth,0.2945913973191437,0.375642287088663,incidental,3,0
attention_depth,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,60,42,8140,38,3,0.08796068796068796,1,attention_depth,0.29300443658571945,0.37511436413540716,incidental,3,0
attention_depth,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,25,42,8140,38,4,0.08132678132678132,1,attention_depth,0.2928058838720757,0.3749563598277668,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,15,0.0,25,42,8140,12,4,0.0,1,attention_depth,0.2924998873590341,0.37318153067678683,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,15,0.0,60,42,8140,12,3,0.0,1,attention_depth,0.2924998873590341,0.37318153067678683,incidental,3,0
attention_depth,expression_summary+expression_raw+protein_features,median,rank,15,0.25,25,42,8140,35,13,0.11216216216216217,1,attention_depth,0.29247060164229577,0.3587428953527248,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,15,0.25,60,42,8140,12,3,0.015601965601965601,1,attention_depth,0.2922929475765848,0.3731845927173227,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,50,0.25,25,42,8140,20,14,0.17751842751842753,1,attention_depth,0.2919652955613101,0.3636711281070746,incidental,3,0
attention_depth,expression_summary,median,rank,50,0.0,25,42,8140,4,5,0.0012285012285012285,1,attention_depth,0.29156469028177556,0.37201974582501834,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.0,60,42,8140,4,3,0.0,1,attention_depth,0.2910695417441154,0.3716630310584813,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.0,25,42,8140,4,4,0.00036855036855036854,1,attention_depth,0.2910613146965792,0.3717402597402597,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,50,0.25,60,42,8140,12,3,0.038943488943488945,1,attention_depth,0.2908093305174548,0.3718099305926321,incidental,3,0
attention_depth,expression_summary+published_screens,median,rank,50,0.25,25,42,8140,16,3,0.05331695331695332,1,attention_depth,0.29067157858502746,0.37137582799435337,incidental,3,0
attention_depth,expression_raw+fitness_screens,median,rank,15,0.25,60,42,8140,26,2,0.1613022113022113,1,attention_depth,0.2902657254770366,0.37282818532818535,incidental,3,0
