target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,30,0.25,25,42,8140,35,13,0.10233415233415233,1,cellcycle_phase,0.3511069605465294,0.42124542124542125,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,30,0.25,40,42,8140,35,11,0.164987714987715,1,cellcycle_phase,0.3507646606826549,0.3824175824175824,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,50,0.25,60,42,8140,35,9,0.13255528255528257,1,cellcycle_phase,0.3499533706585785,0.4246823956442831,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,40,42,8140,38,11,0.07235872235872236,1,cellcycle_phase,0.34980545719275347,0.3912310286677909,S,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,30,0.25,60,42,8140,35,9,0.1800982800982801,1,cellcycle_phase,0.3495550243202915,0.38497652582159625,M,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,40,42,8140,38,10,0.13378378378378378,1,cellcycle_phase,0.3486466101488599,0.38733705772811916,S,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,25,42,8140,38,12,0.06756756756756757,1,cellcycle_phase,0.3480445352297564,0.39189189189189194,S,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,50,0.25,40,42,8140,35,11,0.10196560196560196,1,cellcycle_phase,0.34685109540938686,0.4166666666666667,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,30,0.25,40,42,8140,38,9,0.36363636363636365,1,cellcycle_phase,0.34590519784546064,0.41642228739002934,C,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,15,0.0,25,42,8140,39,3,0.0025798525798525797,1,cellcycle_phase,0.34571502892641015,0.42857142857142855,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,50,0.25,25,42,8140,35,14,0.14115479115479115,1,cellcycle_phase,0.3429084138499106,0.3773584905660377,M,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,50,0.0,60,42,8140,35,8,0.013144963144963145,1,cellcycle_phase,0.3417982127316147,0.4075993091537133,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,30,0.0,25,42,8140,38,14,0.12592137592137592,1,cellcycle_phase,0.34178283482940625,0.3889908256880734,S,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,30,0.0,60,42,8140,38,10,0.13046683046683047,1,cellcycle_phase,0.3407789165543216,0.38321167883211676,S,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,25,42,8140,38,16,0.42702702702702705,1,cellcycle_phase,0.3405944753693624,0.4303030303030303,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,30,0.0,40,42,8140,38,10,0.11965601965601966,1,cellcycle_phase,0.3386807170406366,0.3846153846153846,S,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,30,0.25,25,42,8140,38,18,0.4180589680589681,1,cellcycle_phase,0.33492547956586194,0.4107142857142857,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,30,0.0,60,42,8140,35,10,0.027518427518427518,1,cellcycle_phase,0.3298862894863865,0.4097222222222222,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,30,0.0,40,42,8140,35,11,0.024938574938574938,1,cellcycle_phase,0.3282800772710217,0.4104347826086957,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,15,0.0,40,42,8140,35,11,0.025675675675675677,1,cellcycle_phase,0.32769598700679264,0.41052631578947374,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,50,0.0,40,42,8140,35,11,0.02972972972972973,1,cellcycle_phase,0.32755051957478504,0.4125874125874126,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,15,0.0,60,42,8140,35,8,0.018796068796068797,1,cellcycle_phase,0.32686802353741845,0.4083769633507854,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,50,0.0,25,42,8140,35,12,0.023955773955773956,1,cellcycle_phase,0.32557301822223417,0.4118673647469459,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,25,42,8140,24,13,0.47297297297297297,1,cellcycle_phase,0.3216321059180304,0.38022813688212925,M,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,25,42,8140,38,27,0.3409090909090909,1,cellcycle_phase,0.3164092682824285,0.4127764127764128,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,15,0.0,25,42,8140,35,30,0.11425061425061425,1,cellcycle_phase,0.2932097419653732,0.339622641509434,S,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,30,0.0,25,42,8140,35,28,0.10651105651105651,1,cellcycle_phase,0.29176834767068216,0.3356643356643356,S,5,0
cellcycle_phase,expression_summary+fitness_screens,median,rank,50,0.0,25,42,8140,12,45,0.46425061425061426,1,cellcycle_phase,0.22081323701723146,0.3157894736842105,C,5,0
