target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,50,0.0,25,42,8140,24,4,0.006633906633906634,1,cellcycle_phase,0.39468888197109037,0.4625,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,30,0.25,40,42,8140,24,4,0.13624078624078625,1,cellcycle_phase,0.39386461707989073,0.46940822467402205,C,5,0
cellcycle_phase,expression_summary+fitness_screens,median,rank,50,0.0,60,42,8140,12,11,0.3303439803439803,1,cellcycle_phase,0.3884656159768675,0.47201946472019457,C,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,60,42,8140,39,2,0.017936117936117935,1,cellcycle_phase,0.38769923808118323,0.4418604651162791,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,40,42,8140,39,2,0.013759213759213759,1,cellcycle_phase,0.38687365861598455,0.4399421128798843,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,30,0.25,60,42,8140,39,2,0.011425061425061426,1,cellcycle_phase,0.38664711888664216,0.4399421128798842,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,30,0.25,40,42,8140,39,2,0.006511056511056511,1,cellcycle_phase,0.3860060539432194,0.43867243867243866,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,25,42,8140,39,2,0.010196560196560197,1,cellcycle_phase,0.3858173227704435,0.4393063583815029,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,25,42,8140,39,2,0.006142506142506142,1,cellcycle_phase,0.3852378643696806,0.43965517241379304,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,30,0.25,25,42,8140,39,2,0.0042997542997543,1,cellcycle_phase,0.3851673514375088,0.4380403458213256,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,40,42,8140,39,2,0.0063882063882063885,1,cellcycle_phase,0.3848397311301564,0.43965517241379304,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,60,42,8140,39,2,0.00601965601965602,1,cellcycle_phase,0.38454766335107526,0.43965517241379304,S,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,15,0.25,60,42,8140,35,2,0.0035626535626535625,1,cellcycle_phase,0.38422312665693964,0.4361549497847919,S,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,15,0.25,40,42,8140,35,2,0.0034398034398034397,1,cellcycle_phase,0.38422312665693964,0.4361549497847919,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,15,0.0,40,42,8140,39,2,0.0,1,cellcycle_phase,0.3835461005172132,0.4365192582025677,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,15,0.0,60,42,8140,39,2,0.0,1,cellcycle_phase,0.3835461005172132,0.4365192582025677,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,50,0.0,25,42,8140,39,2,0.0,1,cellcycle_phase,0.3828370482516783,0.4342857142857143,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,50,0.0,40,42,8140,39,2,0.0,1,cellcycle_phase,0.3828370482516783,0.4342857142857143,S,5,0
